experiment,metric_id,event_type,ks_0p4_4kyr_p_value,ks_0p6_4kyr_p_value,ks_0p4_4kyr_significant_at_0p05,ks_0p6_4kyr_significant_at_0p05,consistent_significance_decision,ks_0p4_4kyr_n_events,ks_0p6_4kyr_n_events,ks_0p4_4kyr_mean_phase_deg,ks_0p4_4kyr_mean_resultant_length,ks_0p6_4kyr_mean_phase_deg,ks_0p6_4kyr_mean_resultant_length,ks_0p4_4kyr_LR_statistic,ks_0p6_4kyr_LR_statistic,ks_0p4_4kyr_pre_phase_preferred_deg,ks_0p6_4kyr_pre_phase_preferred_deg,ks_0p4_4kyr_pre_phase_rate_ratio_max_vs_min,ks_0p6_4kyr_pre_phase_rate_ratio_max_vs_min
lohmann_randomness,poisson_ES_null,strong_monsoon_start,0.08318336332733453,0.46030793841231754,False,False,True,96.0,87.0,,,,,,,,,,
lohmann_randomness,fixed_n_ES_null,strong_monsoon_start,0.04879024195160968,0.41351729654069186,True,False,False,96.0,87.0,,,,,,,,,,
rayleigh_phase,precession_phase_uniformity,strong_monsoon_start,0.0019154376890144474,0.0010204299851717573,True,True,True,96.0,87.0,21.91629807682798,0.25388593869817744,21.54697172518903,0.2793680776901269,,,,,,
poisson_hazard,climate_lr04_co2_vs_stationary,strong_monsoon_start,0.009196449786985226,0.012321999390499685,True,True,True,,,,,,,9.377875524243791,8.792738091708316,,,,
poisson_hazard,phase_after_lr04_co2,strong_monsoon_start,0.0005248244056791511,0.00030254475197677476,True,True,True,,,,,,,15.104893633383426,16.206562702032784,,,,
poisson_hazard,lr04_after_co2_and_phase,strong_monsoon_start,0.04498769873893922,0.03409210104220317,True,True,True,,,,,,,4.019100592995073,4.490079056875402,,,,
poisson_hazard,co2_after_lr04_and_phase,strong_monsoon_start,0.9051759910785067,0.9355286478694844,False,False,True,,,,,,,0.014190865934210706,0.006543351765458283,,,,
poisson_hazard,full_vs_stationary,strong_monsoon_start,6.39098246292067e-05,5.032610606249418e-05,True,True,True,,,,,,,24.482769157627217,24.9993007937411,,,,
poisson_hazard,full_model_preferred_phase_and_rate_ratio,strong_monsoon_start,,,,,,,,,,,,,,10.815601516011776,11.065421488556913,3.18003392377064,3.542560360665395
lohmann_randomness,poisson_ES_null,weak_monsoon_start,0.028194361127774445,0.21695660867826436,True,False,False,100.0,90.0,,,,,,,,,,
lohmann_randomness,fixed_n_ES_null,weak_monsoon_start,0.008198360327934412,0.16656668666266747,True,False,False,100.0,90.0,,,,,,,,,,
rayleigh_phase,precession_phase_uniformity,weak_monsoon_start,0.0027094913683490683,0.0012447884329675127,True,True,True,100.0,90.0,225.32661865293403,0.24192682144200942,226.59153636473528,0.2708225339827694,,,,,,
poisson_hazard,climate_lr04_co2_vs_stationary,weak_monsoon_start,4.284053764998884e-05,0.0011988544200176618,True,True,True,,,,,,,20.116051524553995,13.452777656283956,,,,
poisson_hazard,phase_after_lr04_co2,weak_monsoon_start,0.0024333932170133494,0.0011151163928096695,True,True,True,,,,,,,12.036937220134405,13.597592982696028,,,,
poisson_hazard,lr04_after_co2_and_phase,weak_monsoon_start,0.5051727605772034,0.6309267143851882,False,False,True,,,,,,,0.44405288199254755,0.2308061625232085,,,,
poisson_hazard,co2_after_lr04_and_phase,weak_monsoon_start,0.05655212785181215,0.11025757819276334,False,False,True,,,,,,,3.6357203180676834,2.550525483799106,,,,
poisson_hazard,full_vs_stationary,weak_monsoon_start,1.7801882290909403e-06,1.94181714391663e-05,True,True,True,,,,,,,32.1529887446884,27.050370638979985,,,,
poisson_hazard,full_model_preferred_phase_and_rate_ratio,weak_monsoon_start,,,,,,,,,,,,,,238.18156457167385,236.37471848910974,2.7120811260690196,3.082532010377157
