Dataset,Bin width (kyr),Bins,empty bins (%),Multi-event bins,Max events/bin,Best core model,full Delta AICc among core models,LR04 p,CO2 p,pre phase p,phase after climate p,phase-after-climate Delta AICc,preferred phase (deg),phase shift vs 0.2 kyr (deg),phase rate ratio,matches 0.2 kyr
Strong monsoon starts,0.2,3200,97.0,0,1,climate_lr04_co2_pre_phase,0.0,0.002,0.013,0.001,5.2e-04,-11.09,10.8,0.0,3.18,yes
Strong monsoon starts,0.4,1600,94.0,0,1,climate_lr04_co2_pre_phase,0.0,0.002,0.014,0.001,5.5e-04,-11.0,10.6,-0.2,3.17,yes
Strong monsoon starts,0.6,1067,91.0,0,1,climate_lr04_co2_pre_phase,0.0,0.002,0.009,0.001,5.0e-04,-11.15,11.5,0.7,3.19,yes
Strong monsoon starts,0.8,800,88.1,1,2,climate_lr04_co2_pre_phase,0.0,0.002,0.011,0.001,5.6e-04,-10.94,10.5,-0.3,3.16,yes
Strong monsoon starts,1.0,640,85.0,0,1,climate_lr04_co2_pre_phase,0.0,0.002,0.012,0.001,6.0e-04,-10.78,11.1,0.3,3.15,yes
Weak monsoon starts,0.2,3200,96.9,0,1,climate_lr04_co2_pre_phase,0.0,7.7e-05,8.7e-06,0.004,0.002,-8.03,238.2,0.0,2.71,yes
Weak monsoon starts,0.4,1600,93.8,0,1,climate_lr04_co2_pre_phase,0.0,7.6e-05,1.1e-05,0.003,0.002,-8.37,238.4,0.2,2.75,yes
Weak monsoon starts,0.6,1067,90.7,1,2,climate_lr04_co2_pre_phase,0.0,8.0e-05,9.9e-06,0.004,0.002,-8.02,237.4,-0.7,2.71,yes
Weak monsoon starts,0.8,800,87.8,2,2,climate_lr04_co2_pre_phase,0.0,5.6e-05,1.2e-05,0.003,0.002,-8.65,239.0,0.8,2.79,yes
Weak monsoon starts,1.0,640,84.7,2,2,climate_lr04_co2_pre_phase,0.0,6.3e-05,7.5e-06,0.004,0.002,-8.23,238.3,0.1,2.74,yes
