dataset_id,dataset_label,driver_id,driver_label,best_lag_ka,best_info_bits_per_event,best_info_bits_per_bin,best_LR_p_value,best_LR_q_value_BH,best_delta_AICc_full_minus_reduced,analysis_type,lr04_control_lag_ka,co2_control_lag_ka
strong_monsoon_start,Strong monsoon starts,pre_phase,Precession phase,0.0,0.1192857041453053,0.003501612605555736,0.0005399078909025434,0.001412579330770742,-11.033989982864796,pre_phase_after_best_lr04_co2_lags,4.0,4.0
strong_monsoon_start,Strong monsoon starts,pre_phase,Precession phase,0.0,0.15977560896411455,0.004690187230882072,4.199041534938332e-05,0.0005746236170744734,-16.141904315531065,pre_phase_after_lr04_co2_same_lag,0.0,0.0
strong_monsoon_start,Strong monsoon starts,co2,CO2,4.0,0.10233569421143728,0.0030040477978196104,0.00032684298882537877,0.0052612456236672146,-10.906055799705086,single_driver_given_y_history,,
strong_monsoon_start,Strong monsoon starts,lr04,LR04,4.0,0.11465343722970607,0.0033656331573881457,0.00014287532106852855,0.0023935050515111085,-12.459973409308532,single_driver_given_y_history,,
strong_monsoon_start,Strong monsoon starts,pre_phase,Precession phase,0.0,0.14810407723571772,0.0043475712995001015,8.767523825620265e-05,0.00020655170637408514,-14.674692735283543,single_driver_given_y_history,,
weak_monsoon_start,Weak monsoon starts,pre_phase,Precession phase,0.0,0.11356702971173031,0.0035169144684922935,0.0005224444063436967,0.006447014534641698,-11.099749930405892,pre_phase_after_best_lr04_co2_lags,0.0,0.8
weak_monsoon_start,Weak monsoon starts,pre_phase,Precession phase,1.2,0.11326536898565609,0.0035075727169751564,0.0005330374721336281,0.00516721231124678,-11.059603636307202,pre_phase_after_lr04_co2_same_lag,1.2,1.2
weak_monsoon_start,Weak monsoon starts,co2,CO2,0.8,0.14895143382489262,0.004612689563609578,8.495020857488546e-06,0.0002418597744673067,-17.819213927532473,single_driver_given_y_history,,
weak_monsoon_start,Weak monsoon starts,lr04,LR04,0.0,0.12082600681669496,0.0037417085981944244,6.072068630885706e-05,0.003424469478965127,-14.076162324439338,single_driver_given_y_history,,
weak_monsoon_start,Weak monsoon starts,pre_phase,Precession phase,0.0,0.07684540533537332,0.0023797286813534964,0.006015252809893661,0.06419778173296828,-6.217864447448619,single_driver_given_y_history,,
