analysis_type,dataset_id,dataset_label,driver_id,driver_label,lag_ka,lr04_control_lag_ka,co2_control_lag_ka,reduced_terms,full_terms,ok,n_bins,n_events,df,loglik_reduced,loglik_full,ll_gain_nats,info_nats_per_bin,info_bits_per_bin,info_bits_per_event,LR_statistic,LR_p_value,delta_AICc_full_minus_reduced,expected_events_reduced,expected_events_full,max_rate_full_per_kyr,converged_reduced,converged_full,LR_q_value_BH
pre_phase_after_lr04_co2_same_lag,strong_monsoon_start,Strong monsoon starts,pre_phase,Precession phase,0.0,0.0,0.0,event_history_2ka+lr04_lag+co2_lag,event_history_2ka+lr04_lag+co2_lag+pre_phase_sin_lag+pre_phase_cos_lag,True,3100,91,2,-406.96790073508635,-396.88983156339543,10.078069171690913,0.0032509900553841656,0.004690187230882072,0.15977560896411455,20.156138343381826,4.199041534938332e-05,-16.141904315531065,90.99998560263097,90.99998740773282,0.5340476417844554,True,True,0.0005746236170744734
pre_phase_after_lr04_co2_same_lag,strong_monsoon_start,Strong monsoon starts,pre_phase,Precession phase,0.2,0.2,0.2,event_history_2ka+lr04_lag+co2_lag,event_history_2ka+lr04_lag+co2_lag+pre_phase_sin_lag+pre_phase_cos_lag,True,3100,91,2,-406.75461496489135,-396.84086980233997,9.913745162551379,0.003197982310500445,0.0046137132202096216,0.1571704503587893,19.827490325102758,4.948974099224373e-05,-15.813256297251996,90.9999908178996,91.00001421217002,0.5251893639228872,True,True,0.0005746236170744734
pre_phase_after_lr04_co2_same_lag,strong_monsoon_start,Strong monsoon starts,pre_phase,Precession phase,0.4,0.4,0.4,event_history_2ka+lr04_lag+co2_lag,event_history_2ka+lr04_lag+co2_lag+pre_phase_sin_lag+pre_phase_cos_lag,True,3100,91,2,-406.63876703573,-396.90899114556566,9.72977589016432,0.003138637383923974,0.004528096588935827,0.15425383984286883,19.45955178032864,5.948562387430568e-05,-15.445317752477877,90.99997775075272,91.00001561416737,0.5182985854012492,True,True,0.0005746236170744734
pre_phase_after_lr04_co2_same_lag,strong_monsoon_start,Strong monsoon starts,pre_phase,Precession phase,0.6,0.6,0.6,event_history_2ka+lr04_lag+co2_lag,event_history_2ka+lr04_lag+co2_lag+pre_phase_sin_lag+pre_phase_cos_lag,True,3100,91,2,-406.55343351802765,-397.0139516021597,9.539481915867952,0.003077252230925146,0.004439536533120208,0.1512369588205785,19.078963831735905,7.195411628823669e-05,-15.064729803885143,91.00000185735574,90.999968793459,0.5096925593903392,True,True,0.0005746236170744734
pre_phase_after_lr04_co2_same_lag,strong_monsoon_start,Strong monsoon starts,pre_phase,Precession phase,0.8,0.8,0.8,event_history_2ka+lr04_lag+co2_lag,event_history_2ka+lr04_lag+co2_lag+pre_phase_sin_lag+pre_phase_cos_lag,True,3100,91,2,-406.44264166768505,-397.0820791075094,9.360562560175651,0.003019536309734081,0.00435627005983752,0.1484004086318276,18.721125120351303,8.605167585134754e-05,-14.706891092500541,91.00000198100021,90.99998674771649,0.4955894660727275,True,True,0.0005746236170744734
pre_phase_after_lr04_co2_same_lag,strong_monsoon_start,Strong monsoon starts,pre_phase,Precession phase,1.0,1.0,1.0,event_history_2ka+lr04_lag+co2_lag,event_history_2ka+lr04_lag+co2_lag+pre_phase_sin_lag+pre_phase_cos_lag,True,3100,91,2,-406.2894256059842,-397.10808905059156,9.181336555392647,0.0029617214694814993,0.004272860876515332,0.14555899689228055,18.362673110785295,0.00010294285233675866,-14.348439082934533,91.0000057947158,90.99997119952933,0.48492836679577606,True,True,0.0005746236170744734
pre_phase_after_lr04_co2_same_lag,strong_monsoon_start,Strong monsoon starts,pre_phase,Precession phase,1.2,1.2,1.2,event_history_2ka+lr04_lag+co2_lag,event_history_2ka+lr04_lag+co2_lag+pre_phase_sin_lag+pre_phase_cos_lag,True,3100,91,2,-405.9733886793416,-396.96262707447,9.010761604871618,0.0029066972918940703,0.004193477768380955,0.14285473716462593,18.021523209743236,0.00012208883714857568,-14.007289181892475,91.00000068181387,91.00002745673152,0.4758769808197058,True,True,0.0005746236170744734
pre_phase_after_lr04_co2_same_lag,strong_monsoon_start,Strong monsoon starts,pre_phase,Precession phase,1.4,1.4,1.4,event_history_2ka+lr04_lag+co2_lag,event_history_2ka+lr04_lag+co2_lag+pre_phase_sin_lag+pre_phase_cos_lag,True,3100,91,2,-405.6636101661083,-396.8236074535904,8.8400027125179,0.002851613778231581,0.004114009056385343,0.1401475612614787,17.6800054250358,0.000144822353848928,-13.66577139718504,90.99993110578885,91.00004300088852,0.4679399038071047,True,True,0.0005746236170744734
pre_phase_after_lr04_co2_same_lag,strong_monsoon_start,Strong monsoon starts,pre_phase,Precession phase,1.6,1.6,1.6,event_history_2ka+lr04_lag+co2_lag,event_history_2ka+lr04_lag+co2_lag+pre_phase_sin_lag+pre_phase_cos_lag,True,3100,91,2,-405.3209649167194,-396.6501548952076,8.670810021511784,0.002797035490810253,0.00403526923178238,0.13746521558819097,17.341620043023568,0.00017152011295797277,-13.327386015172806,90.99999412189813,91.00003157796229,0.46320309463042036,True,True,0.0005774510469585082
pre_phase_after_lr04_co2_same_lag,strong_monsoon_start,Strong monsoon starts,pre_phase,Precession phase,1.8,1.8,1.8,event_history_2ka+lr04_lag+co2_lag,event_history_2ka+lr04_lag+co2_lag+pre_phase_sin_lag+pre_phase_cos_lag,True,3100,91,2,-404.9101534967853,-396.4069402943378,8.503213202447512,0.00274297200078952,0.003957272102836319,0.13480817053618227,17.006426404895024,0.00020281563319711135,-12.992192377044262,91.00000314037669,91.0000044005893,0.45862717015099747,True,True,0.0006183049933199593
