realization_id,catalogue_kind,event_type,event_label,n_events,rayleigh_pre_n_phase_events_used,rayleigh_pre_n_extrapolated,rayleigh_pre_mean_phase_deg,rayleigh_pre_mean_resultant_length,rayleigh_pre_z,rayleigh_pre_p_value,n_hazard_bins_after_history_filter,n_hazard_events_after_history_filter,precession_phase_after_adjusted_climate_LR_statistic,precession_phase_after_adjusted_climate_LR_p_value,precession_phase_after_adjusted_climate_delta_AICc,precession_phase_after_adjusted_climate_bits_per_event,full_vs_adjusted_baseline_LR_statistic,full_vs_adjusted_baseline_LR_p_value,full_vs_adjusted_baseline_delta_AICc,full_model_converged,full_model_log_likelihood,adjusted_climate_model_log_likelihood,adjusted_baseline_log_likelihood,stationary_log_likelihood,full_model_pre_phase_preferred_deg,full_model_pre_phase_rate_ratio_max_vs_min
0,published_catalogue,strong_monsoon_start,Strong monsoon starts,96,96,0,21.938658902906,0.2541122839598758,6.199013074493237,0.001893816080589878,3175,95,19.750400362337928,5.1434562918147624e-05,-15.733969081367036,0.14996739293850797,33.48337619498329,9.509817475918441e-07,-25.45558008688056,True,-403.32700494892265,-413.2022051300916,-420.0686930464143,-428.3726718739949,2.011557064601044,4.0271345327385895
0,published_catalogue,weak_monsoon_start,Weak monsoon starts,100,100,0,225.2446277244155,0.2419546088051652,5.854203272206052,0.002705758359739593,3175,98,14.593876208545566,0.0006776103743750483,-10.577444927574675,0.10742098384395977,36.28673336902398,2.526121783686766e-07,-28.258937260921243,True,-414.57401845675815,-421.87095656103094,-432.71738514127014,-438.85335240030884,232.78133168054615,3.2206759534004656
1,age_randomized,strong_monsoon_start,Strong monsoon starts,96,96,0,20.52033917447654,0.2063999031696516,4.089688322730389,0.016368188907645066,3175,95,13.891078345983715,0.0009629210114064781,-9.874647065012823,0.10547678864395142,27.242628668255293,1.7755167030195395e-05,-19.21483256015256,True,-410.25871934193435,-417.2042585149262,-423.880033676062,-428.37267187399476,358.72311558481147,3.1575096931956135
1,age_randomized,weak_monsoon_start,Weak monsoon starts,100,100,0,222.10974128486578,0.20675778323421798,4.274878092792787,0.013572468167516134,3175,99,12.598982610862663,0.0018372391329261372,-8.582551329891771,0.0918004531966558,38.4615851553491,8.998824835909795e-08,-30.433789047246364,True,-418.7975946254336,-425.0970859308649,-438.02838720310814,-442.3263630580292,227.65500298338907,2.9244550291956686
2,age_randomized,strong_monsoon_start,Strong monsoon starts,96,96,0,21.29905376771284,0.22343312926199665,4.792546872173578,0.008000149279087146,3175,95,16.18311387747633,0.00030611278706647535,-12.166682596505439,0.12288051651145508,31.26010360583973,2.709245446978289e-06,-23.232307497736997,True,-406.51660176464077,-414.60815870337893,-422.14665356756063,-428.37267187399357,0.044209657529637666,3.462117279141074
2,age_randomized,weak_monsoon_start,Weak monsoon starts,100,100,0,224.8636852878774,0.1991486062191334,3.966016735902346,0.018575881284634874,3175,98,10.401837894556706,0.005511497317457431,-6.385406613585815,0.07656469360514213,33.47678517203485,9.53943660975539e-07,-25.448989063932117,True,-418.16146389200327,-423.3623828392816,-434.8998564780207,-438.85335240030884,233.03813365912836,2.6606914247307434
3,age_randomized,strong_monsoon_start,Strong monsoon starts,96,96,0,12.941605503036524,0.2502057100753032,6.009878146011521,0.0023002332467272142,3175,95,20.833200201300087,2.9931470660137703e-05,-16.816768920329196,0.1581892348224347,33.9033226842796,7.799947269479991e-07,-25.875526576176867,True,-404.9842328637984,-415.40083296444845,-421.9358942059382,-428.37267187399505,354.74152351928103,4.174633309931477
3,age_randomized,weak_monsoon_start,Weak monsoon starts,100,100,0,219.19288865066756,0.21727540078566007,4.720859978656922,0.008619320037607235,3175,99,11.682732580524657,0.0029048710162618515,-7.666301299553766,0.0851243452421962,33.772827761604276,8.295582910966756e-07,-25.74503165350154,True,-420.2384426898935,-426.0798089801558,-437.1248565706956,-442.32636305802663,227.6480233698643,2.8163100346791445
4,age_randomized,strong_monsoon_start,Strong monsoon starts,96,96,0,16.7195166331116,0.23248383063802738,5.188678224780576,0.005337587795352966,3175,95,18.348907018744512,0.00010365385685822109,-14.33247573777362,0.1393256692719758,31.6191406689843,2.2884817592194084e-06,-23.591344560881566,True,-407.14152579474796,-416.3159793041202,-422.9510961292401,-428.3726718739923,357.77691580154783,3.8491212175215193
4,age_randomized,weak_monsoon_start,Weak monsoon starts,100,100,0,225.96921012280396,0.22086059834695596,4.877940390217541,0.007343647024004829,3175,98,11.28630351854315,0.003541688248119766,-7.269872237572258,0.08307496998045848,29.06809341285941,7.5723089053069765e-06,-21.040297304756677,True,-419.0632344223588,-424.70638618163036,-433.5972811287885,-438.85335240031,234.0179031648962,2.763565923342132
