driver,driver_label,age_ka,value,source,extremum_type,half_cycle_index,anchor_phase_unwrapped_rad,anchor_phase_rad,anchor_phase_deg
pre,Precession index,-54.4,0.011622,data/raw/pre_1000_60_inter100.txt,maximum,0,3.141592653589793,3.141592653589793,180.0
pre,Precession index,-43.9,-0.008576,data/raw/pre_1000_60_inter100.txt,minimum,1,6.283185307179586,0.0,0.0
pre,Precession index,-34.2,0.004698,data/raw/pre_1000_60_inter100.txt,maximum,2,9.42477796076938,3.141592653589793,180.0
pre,Precession index,-26.4,-0.002389,data/raw/pre_1000_60_inter100.txt,minimum,3,12.566370614359172,0.0,0.0
pre,Precession index,-18.3,0.005879,data/raw/pre_1000_60_inter100.txt,maximum,4,15.707963267948966,3.141592653589793,180.0
pre,Precession index,-9.0,-0.011896,data/raw/pre_1000_60_inter100.txt,minimum,5,18.84955592153876,0.0,0.0
pre,Precession index,1.0,0.017116,data/raw/pre_1000_60_inter100.txt,maximum,6,21.991148575128552,3.141592653589793,180.0
pre,Precession index,11.5,-0.019617,data/raw/pre_1000_60_inter100.txt,minimum,7,25.132741228718345,0.0,0.0
pre,Precession index,22.4,0.018494,data/raw/pre_1000_60_inter100.txt,maximum,8,28.274333882308138,3.141592653589793,180.0
pre,Precession index,33.6,-0.01524,data/raw/pre_1000_60_inter100.txt,minimum,9,31.41592653589793,0.0,0.0
pre,Precession index,47.1,0.013982,data/raw/pre_1000_60_inter100.txt,maximum,10,34.55751918948772,3.1415926535897896,179.9999999999998
pre,Precession index,60.2,-0.018454,data/raw/pre_1000_60_inter100.txt,minimum,11,37.69911184307752,0.0,0.0
pre,Precession index,71.7,0.02409,data/raw/pre_1000_60_inter100.txt,maximum,12,40.840704496667314,3.1415926535897967,180.0000000000002
pre,Precession index,83.0,-0.030527,data/raw/pre_1000_60_inter100.txt,minimum,13,43.98229715025711,7.105427357601002e-15,4.0711099922733015e-13
pre,Precession index,94.5,0.037204,data/raw/pre_1000_60_inter100.txt,maximum,14,47.12388980384689,3.1415926535897896,179.9999999999998
pre,Precession index,105.5,-0.042289,data/raw/pre_1000_60_inter100.txt,minimum,15,50.26548245743669,0.0,0.0
pre,Precession index,116.1,0.043869,data/raw/pre_1000_60_inter100.txt,maximum,16,53.40707511102649,3.1415926535897967,180.0000000000002
pre,Precession index,127.0,-0.040942,data/raw/pre_1000_60_inter100.txt,minimum,17,56.54866776461628,7.105427357601002e-15,4.0711099922733015e-13
pre,Precession index,138.5,0.034177,data/raw/pre_1000_60_inter100.txt,maximum,18,59.690260418206066,3.1415926535897896,179.9999999999998
pre,Precession index,150.6,-0.02827,data/raw/pre_1000_60_inter100.txt,minimum,19,62.83185307179586,0.0,0.0
pre,Precession index,163.4,0.02981,data/raw/pre_1000_60_inter100.txt,maximum,20,65.97344572538566,3.1415926535897967,180.0000000000002
pre,Precession index,175.6,-0.036235,data/raw/pre_1000_60_inter100.txt,minimum,21,69.11503837897546,7.105427357601002e-15,4.0711099922733015e-13
pre,Precession index,186.9,0.042162,data/raw/pre_1000_60_inter100.txt,maximum,22,72.25663103256524,3.1415926535897896,179.9999999999998
pre,Precession index,197.9,-0.046542,data/raw/pre_1000_60_inter100.txt,minimum,23,75.39822368615503,0.0,0.0
pre,Precession index,209.1,0.049339,data/raw/pre_1000_60_inter100.txt,maximum,24,78.53981633974483,3.1415926535897967,180.0000000000002
pre,Precession index,220.3,-0.049675,data/raw/pre_1000_60_inter100.txt,minimum,25,81.68140899333463,7.105427357601002e-15,4.0711099922733015e-13
pre,Precession index,231.1,0.046425,data/raw/pre_1000_60_inter100.txt,maximum,26,84.82300164692442,3.1415926535898038,180.0000000000006
pre,Precession index,241.7,-0.039015,data/raw/pre_1000_60_inter100.txt,minimum,27,87.96459430051421,0.0,0.0
pre,Precession index,253.2,0.028251,data/raw/pre_1000_60_inter100.txt,maximum,28,91.106186954104,3.1415926535897967,180.0000000000002
pre,Precession index,266.5,-0.020607,data/raw/pre_1000_60_inter100.txt,minimum,29,94.2477796076938,7.105427357601002e-15,4.0711099922733015e-13
pre,Precession index,279.7,0.025131,data/raw/pre_1000_60_inter100.txt,maximum,30,97.38937226128358,3.1415926535897896,179.9999999999998
pre,Precession index,291.2,-0.031805,data/raw/pre_1000_60_inter100.txt,minimum,31,100.53096491487338,0.0,0.0
pre,Precession index,302.3,0.035684,data/raw/pre_1000_60_inter100.txt,maximum,32,103.67255756846318,3.1415926535897967,180.0000000000002
