experiment,metric_id,event_class,event_class_label,cheng_p_value,ch4_p_value,cheng_significant_at_0p05,ch4_significant_at_0p05,same_significance_decision,cheng_n_events,ch4_n_events,cheng_mean_phase_deg,cheng_mean_resultant_length,ch4_mean_phase_deg,ch4_mean_resultant_length,cheng_LR_statistic,cheng_delta_AICc_full_minus_reduced,ch4_LR_statistic,ch4_delta_AICc_full_minus_reduced,cheng_pre_phase_preferred_deg,ch4_pre_phase_preferred_deg,cheng_pre_phase_rate_ratio_max_vs_min,ch4_pre_phase_rate_ratio_max_vs_min
lohmann_randomness,poisson_ES_null,strong_or_gi_start,Strong/GI start,0.08318336332733453,0.9922015596880623,False,False,True,96.0,100.0,,,,,,,,,,,,
lohmann_randomness,fixed_n_ES_null,strong_or_gi_start,Strong/GI start,0.04879024195160968,0.9932013597280543,True,False,False,96.0,100.0,,,,,,,,,,,,
rayleigh_phase,pre_phase_uniformity,strong_or_gi_start,Strong/GI start,0.0019154376890144474,0.14319590773439622,True,False,False,96.0,100.0,21.91629807682798,0.25388593869817744,333.26516547723395,0.1394210292397711,,,,,,,,
rayleigh_phase,obl_phase_uniformity,strong_or_gi_start,Strong/GI start,0.6816798080082592,0.32237924106533733,False,False,True,96.0,99.0,268.0547303399248,0.063312621253399,40.73180577055116,0.10705042783671123,,,,,,,,
poisson_hazard,climate_lr04_co2_vs_stationary,strong_or_gi_start,Strong/GI start,0.009196449786985226,0.5474088631572495,True,False,False,,,,,,,9.377875524243791,-5.371616919248936,1.205118582268483,2.801140022726372,,,,
poisson_hazard,pre_phase_vs_stationary,strong_or_gi_start,Strong/GI start,0.001226740341650594,0.11258218481779227,True,False,False,,,,,,,13.406789512289606,-9.400530907294751,4.368143584664722,-0.3618849796698669,,,,
poisson_hazard,phase_after_lr04_co2,strong_or_gi_start,Strong/GI start,0.0005248244056791511,0.14689951616185967,True,False,False,,,,,,,15.104893633383426,-11.093617797825004,3.8360129789284656,0.17526285662995633,,,,
poisson_hazard,lr04_after_co2_and_phase,strong_or_gi_start,Strong/GI start,0.04498769873893922,0.42175971748940677,True,False,False,,,,,,,4.019100592995073,-2.012834932518558,0.6454066713121165,1.3608589891643987,,,,
poisson_hazard,co2_after_lr04_and_phase,strong_or_gi_start,Strong/GI start,0.9051759910785067,0.44792908480792026,False,False,True,,,,,,,0.014190865934210706,1.9920747945423045,0.5758868269711002,1.430378833505415,,,,
poisson_hazard,full_vs_stationary,strong_or_gi_start,Strong/GI start,6.39098246292067e-05,0.28310311867061366,True,False,False,,,,,,,24.482769157627217,-16.46523471707394,5.0411315611969485,2.9764028793563284,,,,
poisson_hazard,full_model_preferred_phase_and_rate_ratio,strong_or_gi_start,Strong/GI start,,,,,,96.0,100.0,,,,,,,,,10.815601516011776,338.53107633846895,3.18003392377064,1.7656122707277218
lohmann_randomness,poisson_ES_null,weak_or_gs_start,Weak/GS start,0.028194361127774445,0.9994001199760048,True,False,False,100.0,77.0,,,,,,,,,,,,
lohmann_randomness,fixed_n_ES_null,weak_or_gs_start,Weak/GS start,0.008198360327934412,0.9994001199760048,True,False,False,100.0,77.0,,,,,,,,,,,,
rayleigh_phase,pre_phase_uniformity,weak_or_gs_start,Weak/GS start,0.0027094913683490683,0.300933827171647,True,False,False,100.0,77.0,225.32661865293403,0.24192682144200942,106.91660421023846,0.12504545303463538,,,,,,,,
rayleigh_phase,obl_phase_uniformity,weak_or_gs_start,Weak/GS start,0.7042883923334237,0.26943621327296324,False,False,True,99.0,76.0,351.05003712149227,0.059631270796894655,232.64362305602396,0.13151015292952425,,,,,,,,
poisson_hazard,climate_lr04_co2_vs_stationary,weak_or_gs_start,Weak/GS start,4.284053764998884e-05,0.4120680570322668,True,False,False,,,,,,,20.116051524553995,-16.10979291955914,1.7731335126059093,2.2331250923889456,,,,
poisson_hazard,pre_phase_vs_stationary,weak_or_gs_start,Weak/GS start,0.003965141805855952,0.3049709708601259,True,False,False,,,,,,,11.060427320264694,-7.054168715269839,2.37507736882435,1.6311812361705051,,,,
poisson_hazard,phase_after_lr04_co2,weak_or_gs_start,Weak/GS start,0.0024333932170133494,0.44185255969567894,True,False,False,,,,,,,12.036937220134405,-8.025661384575983,1.6335580558044285,2.3777177797539935,,,,
poisson_hazard,lr04_after_co2_and_phase,weak_or_gs_start,Weak/GS start,0.5051727605772034,0.33387507606949174,False,False,True,,,,,,,0.44405288199254755,1.5622127784839677,0.933809134390799,1.0724565260857162,,,,
poisson_hazard,co2_after_lr04_and_phase,weak_or_gs_start,Weak/GS start,0.05655212785181215,0.5504417997055783,False,False,True,,,,,,,3.6357203180676834,-1.6294546575911681,0.35652629603816877,1.6497393644383465,,,,
poisson_hazard,full_vs_stationary,weak_or_gs_start,Weak/GS start,1.7801882290909403e-06,0.4922071576325756,True,False,False,,,,,,,32.1529887446884,-24.135454304135123,3.406691568410338,4.610842872142939,,,,
poisson_hazard,full_model_preferred_phase_and_rate_ratio,weak_or_gs_start,Weak/GS start,,,,,,100.0,77.0,,,,,,,,,238.18156457167385,101.8998874397029,2.7120811260690196,1.532785925329048
