event_age_ka,event_index,event_type,event_label,event_class,event_class_label,catalogue_id,catalogue_label,catalogue_short_label,source
10.824,1,strong_monsoon_start,Strong monsoon starts,strong_or_gi_start,Strong/GI start,cheng_composite_ks_0p4_4kyr,Cheng/Rousseau speleothem starts,Cheng/Rousseau,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv
11.514,2,strong_monsoon_start,Strong monsoon starts,strong_or_gi_start,Strong/GI start,cheng_composite_ks_0p4_4kyr,Cheng/Rousseau speleothem starts,Cheng/Rousseau,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv
14.617,3,strong_monsoon_start,Strong monsoon starts,strong_or_gi_start,Strong/GI start,cheng_composite_ks_0p4_4kyr,Cheng/Rousseau speleothem starts,Cheng/Rousseau,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv
23.685,4,strong_monsoon_start,Strong monsoon starts,strong_or_gi_start,Strong/GI start,cheng_composite_ks_0p4_4kyr,Cheng/Rousseau speleothem starts,Cheng/Rousseau,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv
27.955,5,strong_monsoon_start,Strong monsoon starts,strong_or_gi_start,Strong/GI start,cheng_composite_ks_0p4_4kyr,Cheng/Rousseau speleothem starts,Cheng/Rousseau,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv
29.43,6,strong_monsoon_start,Strong monsoon starts,strong_or_gi_start,Strong/GI start,cheng_composite_ks_0p4_4kyr,Cheng/Rousseau speleothem starts,Cheng/Rousseau,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv
32.675,7,strong_monsoon_start,Strong monsoon starts,strong_or_gi_start,Strong/GI start,cheng_composite_ks_0p4_4kyr,Cheng/Rousseau speleothem starts,Cheng/Rousseau,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv
33.995,8,strong_monsoon_start,Strong monsoon starts,strong_or_gi_start,Strong/GI start,cheng_composite_ks_0p4_4kyr,Cheng/Rousseau speleothem starts,Cheng/Rousseau,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv
35.535,9,strong_monsoon_start,Strong monsoon starts,strong_or_gi_start,Strong/GI start,cheng_composite_ks_0p4_4kyr,Cheng/Rousseau speleothem starts,Cheng/Rousseau,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv
38.305,10,strong_monsoon_start,Strong monsoon starts,strong_or_gi_start,Strong/GI start,cheng_composite_ks_0p4_4kyr,Cheng/Rousseau speleothem starts,Cheng/Rousseau,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv
41.595,11,strong_monsoon_start,Strong monsoon starts,strong_or_gi_start,Strong/GI start,cheng_composite_ks_0p4_4kyr,Cheng/Rousseau speleothem starts,Cheng/Rousseau,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv
43.615,12,strong_monsoon_start,Strong monsoon starts,strong_or_gi_start,Strong/GI start,cheng_composite_ks_0p4_4kyr,Cheng/Rousseau speleothem starts,Cheng/Rousseau,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv
47.25,13,strong_monsoon_start,Strong monsoon starts,strong_or_gi_start,Strong/GI start,cheng_composite_ks_0p4_4kyr,Cheng/Rousseau speleothem starts,Cheng/Rousseau,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv
49.65,14,strong_monsoon_start,Strong monsoon starts,strong_or_gi_start,Strong/GI start,cheng_composite_ks_0p4_4kyr,Cheng/Rousseau speleothem starts,Cheng/Rousseau,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv
