transition_id,age_ka,window_ka,ks_D,delta_ch4_young_minus_old,abs_delta_ch4,sigma_change,direction,event_type,n_old,n_young,score
1,1.0,0.8,1.0,47.66238658727423,47.66238658727423,2.776526677651522,rise,GI,8,8,2.776526677651522
2,8.5,2.4,1.0,-62.615118607683144,62.615118607683144,2.9018541028664897,fall,GS,24,24,2.9018541028664897
3,11.6,1.0,1.0,213.0950000000003,213.0950000000003,14.51025745808593,rise,GI,10,10,14.51025745808593
4,12.8,1.0,1.0,-183.69499999999994,183.69499999999994,6.339407937410578,fall,GS,10,10,6.339407937410578
5,24.0,0.8,1.0,27.556249999999864,27.556249999999864,3.318629316674485,rise,GI,8,8,3.318629316674485
6,27.7,0.8,0.5,16.76250000000016,16.76250000000016,0.6831736020793826,rise,GI,8,8,0.3415868010396913
7,29.2,0.8,0.625,36.33750000000009,36.33750000000009,0.9784191849235053,rise,GI,8,8,0.6115119905771909
8,32.7,0.8,0.75,50.73124999999965,50.73124999999965,1.406786154217248,rise,GI,8,8,1.055089615662936
9,34.0,0.8,0.625,28.362499999999955,28.362499999999955,0.7554656935626831,rise,GI,8,8,0.4721660584766769
10,34.8,0.8,1.0,-95.98124999999902,95.98124999999902,5.158432424503557,fall,GS,8,8,5.158432424503557
11,35.7,0.8,1.0,93.72500000000002,93.72500000000002,4.884599784102329,rise,GI,8,8,4.884599784102329
12,38.4,1.0,1.0,120.98500000000035,120.98500000000035,13.496012908211359,rise,GI,10,10,13.496012908211359
13,43.6,0.8,1.0,72.09999999999934,72.09999999999934,5.278763847996056,rise,GI,8,8,5.278763847996056
14,44.5,0.8,1.0,-48.71249999999969,48.71249999999969,3.4762495445680153,fall,GS,8,8,3.4762495445680153
15,47.0,1.0,1.0,58.10500000000064,58.10500000000064,7.0745152252862376,rise,GI,10,10,7.0745152252862376
16,54.4,1.2,0.9166666666666666,83.12916666666581,83.12916666666581,2.660788387185356,rise,GI,12,12,2.439056021586576
17,56.9,0.8,1.0,-85.60624999999993,85.60624999999993,5.4820242531299685,fall,GS,8,8,5.4820242531299685
18,58.9,0.8,0.375,-30.6000000000015,30.6000000000015,0.3974295904561976,fall,GS,8,8,0.1490360964210741
19,59.8,2.8,1.0,114.97321428571405,114.97321428571405,2.722201295560982,rise,GI,28,28,2.722201295560982
20,64.5,0.8,0.75,37.10624999999965,37.10624999999965,1.052071682460166,rise,GI,8,8,0.7890537618451244
21,67.1,0.8,0.875,8.002010899534412,8.002010899534412,2.0136092220484194,rise,GI,8,8,1.761908069292367
22,70.9,0.8,1.0,-17.998145802016552,17.998145802016552,2.2339149112700345,fall,GS,8,8,2.2339149112700345
23,73.4,0.8,1.0,-19.763402879185946,19.763402879185946,5.806849567285333,fall,GS,8,8,5.806849567285333
24,75.8,0.8,1.0,48.004762926408375,48.004762926408375,6.188025744335846,rise,GI,8,8,6.188025744335846
25,84.7,1.4,1.0,144.53120723213948,144.53120723213948,5.088547447956908,rise,GI,14,14,5.088547447956908
26,88.8,1.0,1.0,-54.78233800268538,54.78233800268538,4.3695143713315385,fall,GS,10,10,4.3695143713315385
27,93.1,0.8,0.625,-1.932225698828688,1.932225698828688,0.2583983146291561,fall,GS,8,8,0.16149894664322256
