event_type,event_label,age_ka_b2k,age_ka
GS,GS-1,12.896,12.846
GI,GI-1,14.692,14.642
GS,GS-2.1,22.9,22.849999999999998
GI,GI-2.1,23.02,22.97
GS,GS-2.2,23.22,23.169999999999998
GI,GI-2.2,23.34,23.29
GS,GS-3,27.54,27.49
GI,GI-3,27.78,27.73
GS,GS-4,28.6,28.55
GI,GI-4,28.9,28.849999999999998
GS,GS-5.1,30.6,30.55
GI,GI-5.1,30.84,30.79
GS,GS-5.2,32.04,31.99
GI,GI-5.2,32.5,32.45
GS,GS-6,33.36,33.31
GI,GI-6,33.74,33.690000000000005
GS,GS-7,34.74,34.690000000000005
GI,GI-7,35.48,35.43
GS,GS-8,36.58,36.53
GI,GI-8,38.22,38.17
GS,GS-9,39.9,39.85
GI,GI-9,40.16,40.11
GS,GS-10,40.8,40.75
GI,GI-10,41.46,41.410000000000004
GS,GS-11,42.24,42.190000000000005
GI,GI-11,43.34,43.290000000000006
GS,GS-12,44.28,44.230000000000004
GI,GI-12,46.86,46.81
GS,GS-13,48.34,48.290000000000006
GI,GI-13,49.28,49.230000000000004
GS,GS-14,49.6,49.550000000000004
GI,GI-14,54.22,54.17
GS,GS-15.1,54.9,54.85
GI,GI-15.1,55.0,54.95
GS,GS-15.2,55.4,55.35
GI,GI-15.2,55.8,55.75
GS,GS-16.1,56.5,56.45
GI,GI-16.1,58.04,57.99
GS,GS-16.2,58.16,58.11
GI,GI-16.2,58.28,58.230000000000004
GS,GS-17.1,58.56,58.510000000000005
GI,GI-17.1,59.08,59.03
GS,GS-17.2,59.3,59.25
GI,GI-17.2,59.44,59.39
GS,GS-18,63.84,63.790000000000006
GI,GI-18,64.1,64.05
GS,GS-19.1,69.4,69.35000000000001
GI,GI-19.1,69.62,69.57000000000001
GS,GS-19.2,70.38,70.33
GI,GI-19.2,72.34,72.29
GS,GS-20,74.1,74.05
GI,GI-20,76.44,76.39
GS,GS-21.1,77.76,77.71000000000001
GI,GI-21.1,84.76,84.71000000000001
GS,GS-21.2,84.96,84.91
GI,GI-21.2,85.06,85.01
GS,GS-22,87.6,87.55
GI,GI-22,90.04,89.99000000000001
GS,GS-23.1,90.14,90.09
GI,GI-23.1,104.04,103.99000000000001
GS,GS-23.2,104.38,104.33
GI,GI-23.2,104.52,104.47
GS,GS-24.1,105.44,105.39
GI,GI-24.1,106.75,106.7
GS,GS-24.2,106.9,106.85000000000001
GI,GI-24.2,108.28,108.23
GS,GS-25,110.64,110.59
GI,GI-25,115.37,115.32000000000001
GS,GS-26,119.14,119.09
