realization_id,catalogue_kind,event_type,event_label,n_events,lohmann_event_count_ES,lohmann_poisson_ES_p_value,lohmann_fixed_n_ES_p_value,rayleigh_pre_n_phase_events_used,rayleigh_pre_n_extrapolated,rayleigh_pre_mean_phase_deg,rayleigh_pre_mean_resultant_length,rayleigh_pre_z,rayleigh_pre_p_value,n_hazard_bins_after_history_filter,n_hazard_events_after_history_filter,precession_phase_after_adjusted_climate_LR_statistic,precession_phase_after_adjusted_climate_LR_p_value,precession_phase_after_adjusted_climate_delta_AICc,precession_phase_after_adjusted_climate_bits_per_event,full_vs_adjusted_baseline_LR_statistic,full_vs_adjusted_baseline_LR_p_value,full_vs_adjusted_baseline_delta_AICc,full_model_converged,full_model_log_likelihood,adjusted_climate_model_log_likelihood,adjusted_baseline_log_likelihood,stationary_log_likelihood,full_model_pre_phase_preferred_deg,full_model_pre_phase_rate_ratio_max_vs_min
0,published_catalogue,strong_monsoon_start,Strong monsoon starts,96,2.0102125586107844,0.07518496300739852,0.046790641871625675,96,0,21.91629807682798,0.25388593869817744,6.187974707390852,0.0019154376890144474,3175,95,19.743773488954957,5.160527074473777e-05,-15.727342207984066,0.14991707421552794,33.47674932160032,9.539597967680915e-07,-25.44895321349759,True,-403.33031838561413,-413.2022051300916,-420.0686930464143,-428.3726718739949,2.122698462484428,4.024232150882664
0,published_catalogue,weak_monsoon_start,Weak monsoon starts,100,2.1914717823966967,0.023195360927814438,0.010797840431913617,100,0,225.32661865293403,0.24192682144200942,5.852858693303391,0.0027094913683490683,3175,98,14.519503355828988,0.0007032826545401922,-10.503072074858096,0.10687354840625074,36.2123605163074,2.616734716892667e-07,-28.184564408204665,True,-414.61120488311644,-421.87095656103094,-432.71738514127014,-438.85335240030884,232.8245910812057,3.2105340624826137
1,age_randomized,strong_monsoon_start,Strong monsoon starts,96,2.0076442112441826,0.07618476304739052,0.04859028194361128,96,0,20.48698198227706,0.2062507330385265,4.083779028377235,0.016466810987042575,3175,95,13.888228623803684,0.0009642940180279527,-9.871797342832792,0.10545515032786172,27.239778946075262,1.7778750983763187e-05,-19.211982837972528,True,-410.26014420302437,-417.2042585149262,-423.880033676062,-428.37267187399476,358.8476622820287,3.1560489016341893
1,age_randomized,weak_monsoon_start,Weak monsoon starts,100,2.1776141962139213,0.026394721055788842,0.01279744051189762,100,0,222.15373049184166,0.20674095996108405,4.274182452563056,0.013582072427601519,3175,99,12.524630480122141,0.0019068259223071064,-8.50819919915125,0.09125869839716652,38.38723302460858,9.322499429453815e-08,-30.359436916505842,True,-418.83477069080385,-425.0970859308649,-438.02838720310814,-442.3263630580292,227.63281701932164,2.9146462223616574
2,age_randomized,strong_monsoon_start,Strong monsoon starts,96,2.019016334516754,0.0691861627674465,0.04279144171165767,96,0,21.29756934053044,0.22327525606348522,4.78577663714063,0.008055612015803048,3175,95,16.176161634497703,0.00030717872389335934,-12.159730353526811,0.1228277272142534,31.253151362861104,2.7181112247001256e-06,-23.22535525475837,True,-406.5200778861301,-414.60815870337893,-422.14665356756063,-428.37267187399357,0.19161627063161926,3.4597134829379677
2,age_randomized,weak_monsoon_start,Weak monsoon starts,100,2.20244383079285,0.022195560887822437,0.009598080383923215,100,0,224.95819558392694,0.1990516769229255,3.9621570085828712,0.018648813881895678,3175,98,10.33328380677085,0.005703690238344095,-6.316852525799959,0.07606008828635988,33.408231084248996,9.853012420204048e-07,-25.38043497614626,True,-418.1957409358962,-423.3623828392816,-434.8998564780207,-438.85335240030884,233.0749073403311,2.651619216739225
3,age_randomized,strong_monsoon_start,Strong monsoon starts,96,2.001531177820734,0.07998400319936012,0.04999000199960008,96,0,12.96161412568441,0.24979697584426896,5.99025879753046,0.0023470659232018957,3175,95,20.77811954663457,3.076724914075387e-05,-16.76168826566368,0.1577710001522512,33.848242029614084,8.005445395821883e-07,-25.82044592151135,True,-405.01177319113117,-415.40083296444845,-421.9358942059382,-428.37267187399505,354.89870222971444,4.16379886679136
3,age_randomized,weak_monsoon_start,Weak monsoon starts,100,2.2096066474830076,0.021395720855828835,0.008798240351929614,100,0,219.3230415603831,0.21723696746046245,4.719190003141803,0.008634003633709723,3175,99,11.623421596276671,0.0029923064585224454,-7.606990315305779,0.08469218532883856,33.71351677735629,8.531108618533468e-07,-25.685720669253556,True,-420.26809818201747,-426.0798089801558,-437.1248565706956,-442.32636305802663,227.70015055377374,2.8083194259802107
4,age_randomized,strong_monsoon_start,Strong monsoon starts,96,2.0154194380141925,0.07118576284743051,0.04499100179964007,96,0,16.663054209835234,0.23231681710374216,5.181225936884505,0.0053784230007248995,3175,95,18.338851345052944,0.00010417632387778019,-14.322420064082053,0.13924931521635675,31.609084995292733,2.299328898147414e-06,-23.58128888719,True,-407.14655363159375,-416.3159793041202,-422.9510961292401,-428.3726718739923,357.88106114166123,3.8456650333643356
4,age_randomized,weak_monsoon_start,Weak monsoon starts,100,2.202205889280346,0.022195560887822437,0.009598080383923215,100,0,226.08515227360218,0.22065734475182797,4.868966379292706,0.007411180263699595,3175,98,11.207598679474131,0.0036838409314530547,-7.191167398503239,0.08249564813852563,28.989388573790393,7.856285659341744e-06,-20.96159246568766,True,-419.1025868418933,-424.70638618163036,-433.5972811287885,-438.85335240031,234.0975548948871,2.7533115600955833
