transition_id,age_ka,jump_direction,event_type,window_label,d_cut,sigma_cut,change_cut,change_cut_setting,edge_nan_ksstat,best_for_window,nearest_opposite_catalogue_age_ka,nearest_error_ka
26,88.977,-1,strong_monsoon_start,0.4-4,0.68,2.0,0.5534439014047682,default,False,0.4-4,89.79,-0.8130000000000024
41,178.815,-1,strong_monsoon_start,0.4-4,0.68,2.0,0.5534439014047682,default,False,0.4-4,177.95,0.8650000000000091
46,200.445,-1,strong_monsoon_start,0.4-4,0.68,2.0,0.5534439014047682,default,False,0.4-4,198.95,1.4950000000000045
47,226.65674003775348,-1,strong_monsoon_start,0.4-4,0.68,2.0,0.5534439014047682,default,False,0.4-4,225.2,1.456740037753491
66,415.9197628950841,-1,strong_monsoon_start,0.4-4,0.68,2.0,0.5534439014047682,default,False,0.4-4,412.25,3.669762895084091
76,506.4511,-1,strong_monsoon_start,0.4-4,0.68,2.0,0.5534439014047682,default,False,0.4-4,504.15,2.3011000000000195
87,606.8133,-1,strong_monsoon_start,0.4-4,0.68,2.0,0.5534439014047682,default,False,0.4-4,604.0,2.8133000000000266
143,246.3985,1,weak_monsoon_start,0.4-4,0.68,2.0,0.5534439014047682,default,False,0.4-4,246.75,-0.35149999999998727
150,285.549,1,weak_monsoon_start,0.4-4,0.68,2.0,0.5534439014047682,default,False,0.4-4,284.7,0.8489999999999895
151,308.48655,1,weak_monsoon_start,0.4-4,0.68,2.0,0.5534439014047682,default,False,0.4-4,307.25,1.2365500000000225
154,326.265,1,weak_monsoon_start,0.4-4,0.68,2.0,0.5534439014047682,default,False,0.4-4,324.15,2.115000000000009
156,342.657,1,weak_monsoon_start,0.4-4,0.68,2.0,0.5534439014047682,default,False,0.4-4,341.15,1.507000000000005
157,345.528,1,weak_monsoon_start,0.4-4,0.68,2.0,0.5534439014047682,default,False,0.4-4,349.55,-4.021999999999991
166,400.892521091661,1,weak_monsoon_start,0.4-4,0.68,2.0,0.5534439014047682,default,False,0.4-4,398.85,2.0425210916610013
168,442.9236302395691,1,weak_monsoon_start,0.4-4,0.68,2.0,0.5534439014047682,default,False,0.4-4,441.85,1.07363023956907
175,479.64401584020396,1,weak_monsoon_start,0.4-4,0.68,2.0,0.5534439014047682,default,False,0.4-4,479.05,0.5940158402039515
183,568.2534,1,weak_monsoon_start,0.4-4,0.68,2.0,0.5534439014047682,default,False,0.4-4,569.5,-1.246599999999944
185,612.01915,1,weak_monsoon_start,0.4-4,0.68,2.0,0.5534439014047682,default,False,0.4-4,614.9,-2.8808500000000095
32,178.815,-1,strong_monsoon_start,0.6-4,0.75,2.0,0.5534439014047682,default,False,0.6-4,177.95,0.8650000000000091
36,226.835689741667,-1,strong_monsoon_start,0.6-4,0.75,2.0,0.5534439014047682,default,False,0.6-4,225.2,1.6356897416670222
45,334.69399999999996,-1,strong_monsoon_start,0.6-4,0.75,2.0,0.5534439014047682,default,False,0.6-4,333.85,0.8439999999999372
54,415.9197628950841,-1,strong_monsoon_start,0.6-4,0.75,2.0,0.5534439014047682,default,False,0.6-4,412.25,3.669762895084091
64,506.10839999999996,-1,strong_monsoon_start,0.6-4,0.75,2.0,0.5534439014047682,default,False,0.6-4,504.15,1.9583999999999833
75,606.8133,-1,strong_monsoon_start,0.6-4,0.75,2.0,0.5534439014047682,default,False,0.6-4,602.7,4.113299999999981
112,170.20999999999998,1,weak_monsoon_start,0.6-4,0.75,2.0,0.5534439014047682,default,False,0.6-4,171.05,-0.8400000000000318
123,235.74704347222223,1,weak_monsoon_start,0.6-4,0.75,2.0,0.5534439014047682,default,False,0.6-4,234.0,1.7470434722222308
130,285.549,1,weak_monsoon_start,0.6-4,0.75,2.0,0.5534439014047682,default,False,0.6-4,284.7,0.8489999999999895
131,308.48655,1,weak_monsoon_start,0.6-4,0.75,2.0,0.5534439014047682,default,False,0.6-4,307.25,1.2365500000000225
134,326.265,1,weak_monsoon_start,0.6-4,0.75,2.0,0.5534439014047682,default,False,0.6-4,324.15,2.115000000000009
136,342.657,1,weak_monsoon_start,0.6-4,0.75,2.0,0.5534439014047682,default,False,0.6-4,341.15,1.507000000000005
137,345.528,1,weak_monsoon_start,0.6-4,0.75,2.0,0.5534439014047682,default,False,0.6-4,349.55,-4.021999999999991
143,372.62850000000003,1,weak_monsoon_start,0.6-4,0.75,2.0,0.5534439014047682,default,False,0.6-4,371.95,0.6785000000000423
146,400.892521091661,1,weak_monsoon_start,0.6-4,0.75,2.0,0.5534439014047682,default,False,0.6-4,398.85,2.0425210916610013
162,568.2534,1,weak_monsoon_start,0.6-4,0.75,2.0,0.5534439014047682,default,False,0.6-4,569.5,-1.246599999999944
164,612.01915,1,weak_monsoon_start,0.6-4,0.75,2.0,0.5534439014047682,default,False,0.6-4,614.9,-2.8808500000000095
