window_label,event_type,event_label,published_age_ka,published_order,source_file,nearest_opposite_catalogue_age_ka,nearest_error_ka,best_for_window
0.4-4,strong_monsoon_start,Strong monsoon starts,58.21,18,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv,59.7829,-1.572899999999997,0.4-4
0.4-4,strong_monsoon_start,Strong monsoon starts,130.45,31,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv,128.939,1.5109999999999957,0.4-4
0.4-4,strong_monsoon_start,Strong monsoon starts,151.75,34,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv,149.12,2.6299999999999955,0.4-4
0.4-4,strong_monsoon_start,Strong monsoon starts,158.15,36,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv,157.05,1.0999999999999943,0.4-4
0.4-4,strong_monsoon_start,Strong monsoon starts,219.05,48,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv,226.65674003775348,-7.606740037753468,0.4-4
0.4-4,strong_monsoon_start,Strong monsoon starts,225.2,49,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv,226.65674003775348,-1.456740037753491,0.4-4
0.4-4,strong_monsoon_start,Strong monsoon starts,230.75,50,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv,226.65674003775348,4.0932599622465204,0.4-4
0.4-4,strong_monsoon_start,Strong monsoon starts,315.45,58,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv,316.44,-0.9900000000000091,0.4-4
0.4-4,strong_monsoon_start,Strong monsoon starts,332.45,60,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv,334.69399999999996,-2.2439999999999714,0.4-4
0.4-4,strong_monsoon_start,Strong monsoon starts,412.25,71,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv,415.9197628950841,-3.669762895084091,0.4-4
0.4-4,strong_monsoon_start,Strong monsoon starts,604.0,91,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv,606.8133,-2.8133000000000266,0.4-4
0.4-4,weak_monsoon_start,Weak monsoon starts,17.835,3,data/raw/rousseau_2023_ks_0p4_4kyr_weak_monsoon_start_times.csv,12.77875,5.05625,0.4-4
0.4-4,weak_monsoon_start,Weak monsoon starts,69.575,22,data/raw/rousseau_2023_ks_0p4_4kyr_weak_monsoon_start_times.csv,70.1533,-0.5782999999999987,0.4-4
0.4-4,weak_monsoon_start,Weak monsoon starts,100.35,28,data/raw/rousseau_2023_ks_0p4_4kyr_weak_monsoon_start_times.csv,98.65,1.6999999999999886,0.4-4
0.4-4,weak_monsoon_start,Weak monsoon starts,105.75,29,data/raw/rousseau_2023_ks_0p4_4kyr_weak_monsoon_start_times.csv,106.10291867522108,-0.35291867522107623,0.4-4
0.4-4,weak_monsoon_start,Weak monsoon starts,139.35,35,data/raw/rousseau_2023_ks_0p4_4kyr_weak_monsoon_start_times.csv,142.523,-3.173000000000002,0.4-4
0.4-4,weak_monsoon_start,Weak monsoon starts,151.05,39,data/raw/rousseau_2023_ks_0p4_4kyr_weak_monsoon_start_times.csv,147.04000000000002,4.009999999999991,0.4-4
0.4-4,weak_monsoon_start,Weak monsoon starts,281.4,63,data/raw/rousseau_2023_ks_0p4_4kyr_weak_monsoon_start_times.csv,285.549,-4.149000000000001,0.4-4
0.4-4,weak_monsoon_start,Weak monsoon starts,284.7,64,data/raw/rousseau_2023_ks_0p4_4kyr_weak_monsoon_start_times.csv,285.549,-0.8489999999999895,0.4-4
0.4-4,weak_monsoon_start,Weak monsoon starts,307.25,65,data/raw/rousseau_2023_ks_0p4_4kyr_weak_monsoon_start_times.csv,308.48655,-1.2365500000000225,0.4-4
0.4-4,weak_monsoon_start,Weak monsoon starts,368.65,72,data/raw/rousseau_2023_ks_0p4_4kyr_weak_monsoon_start_times.csv,369.307,-0.6570000000000391,0.4-4
0.4-4,weak_monsoon_start,Weak monsoon starts,441.85,79,data/raw/rousseau_2023_ks_0p4_4kyr_weak_monsoon_start_times.csv,442.9236302395691,-1.07363023956907,0.4-4
0.4-4,weak_monsoon_start,Weak monsoon starts,513.95,87,data/raw/rousseau_2023_ks_0p4_4kyr_weak_monsoon_start_times.csv,521.93825,-7.988249999999994,0.4-4
0.4-4,weak_monsoon_start,Weak monsoon starts,569.5,94,data/raw/rousseau_2023_ks_0p4_4kyr_weak_monsoon_start_times.csv,568.2534,1.246599999999944,0.4-4
0.4-4,weak_monsoon_start,Weak monsoon starts,639.2,100,data/raw/rousseau_2023_ks_0p4_4kyr_weak_monsoon_start_times.csv,635.16125,4.03875000000005,0.4-4
0.6-4,strong_monsoon_start,Strong monsoon starts,58.21,13,data/raw/rousseau_2023_ks_0p6_4kyr_strong_monsoon_start_times.csv,59.7829,-1.572899999999997,0.6-4
0.6-4,strong_monsoon_start,Strong monsoon starts,151.75,26,data/raw/rousseau_2023_ks_0p6_4kyr_strong_monsoon_start_times.csv,149.12,2.6299999999999955,0.6-4
0.6-4,strong_monsoon_start,Strong monsoon starts,177.95,34,data/raw/rousseau_2023_ks_0p6_4kyr_strong_monsoon_start_times.csv,178.815,-0.8650000000000091,0.6-4
0.6-4,strong_monsoon_start,Strong monsoon starts,192.65,37,data/raw/rousseau_2023_ks_0p6_4kyr_strong_monsoon_start_times.csv,190.485,2.164999999999992,0.6-4
0.6-4,strong_monsoon_start,Strong monsoon starts,219.05,39,data/raw/rousseau_2023_ks_0p6_4kyr_strong_monsoon_start_times.csv,226.835689741667,-7.7856897416669995,0.6-4
0.6-4,strong_monsoon_start,Strong monsoon starts,225.2,40,data/raw/rousseau_2023_ks_0p6_4kyr_strong_monsoon_start_times.csv,226.835689741667,-1.6356897416670222,0.6-4
0.6-4,strong_monsoon_start,Strong monsoon starts,230.75,41,data/raw/rousseau_2023_ks_0p6_4kyr_strong_monsoon_start_times.csv,226.835689741667,3.914310258332989,0.6-4
0.6-4,strong_monsoon_start,Strong monsoon starts,315.45,49,data/raw/rousseau_2023_ks_0p6_4kyr_strong_monsoon_start_times.csv,316.44,-0.9900000000000091,0.6-4
0.6-4,strong_monsoon_start,Strong monsoon starts,332.45,51,data/raw/rousseau_2023_ks_0p6_4kyr_strong_monsoon_start_times.csv,334.69399999999996,-2.2439999999999714,0.6-4
0.6-4,strong_monsoon_start,Strong monsoon starts,333.85,52,data/raw/rousseau_2023_ks_0p6_4kyr_strong_monsoon_start_times.csv,334.69399999999996,-0.8439999999999372,0.6-4
0.6-4,strong_monsoon_start,Strong monsoon starts,412.25,61,data/raw/rousseau_2023_ks_0p6_4kyr_strong_monsoon_start_times.csv,415.9197628950841,-3.669762895084091,0.6-4
0.6-4,strong_monsoon_start,Strong monsoon starts,600.95,81,data/raw/rousseau_2023_ks_0p6_4kyr_strong_monsoon_start_times.csv,606.8133,-5.863299999999981,0.6-4
0.6-4,strong_monsoon_start,Strong monsoon starts,602.7,82,data/raw/rousseau_2023_ks_0p6_4kyr_strong_monsoon_start_times.csv,606.8133,-4.113299999999981,0.6-4
0.6-4,weak_monsoon_start,Weak monsoon starts,44.44,13,data/raw/rousseau_2023_ks_0p6_4kyr_weak_monsoon_start_times.csv,45.72975,-1.289750000000005,0.6-4
0.6-4,weak_monsoon_start,Weak monsoon starts,79.035,21,data/raw/rousseau_2023_ks_0p6_4kyr_weak_monsoon_start_times.csv,77.50971874999999,1.5252812500000061,0.6-4
0.6-4,weak_monsoon_start,Weak monsoon starts,100.35,24,data/raw/rousseau_2023_ks_0p6_4kyr_weak_monsoon_start_times.csv,98.65,1.6999999999999886,0.6-4
0.6-4,weak_monsoon_start,Weak monsoon starts,193.25,40,data/raw/rousseau_2023_ks_0p6_4kyr_weak_monsoon_start_times.csv,191.805,1.4449999999999932,0.6-4
0.6-4,weak_monsoon_start,Weak monsoon starts,281.4,52,data/raw/rousseau_2023_ks_0p6_4kyr_weak_monsoon_start_times.csv,285.549,-4.149000000000001,0.6-4
0.6-4,weak_monsoon_start,Weak monsoon starts,284.7,53,data/raw/rousseau_2023_ks_0p6_4kyr_weak_monsoon_start_times.csv,285.549,-0.8489999999999895,0.6-4
0.6-4,weak_monsoon_start,Weak monsoon starts,307.25,54,data/raw/rousseau_2023_ks_0p6_4kyr_weak_monsoon_start_times.csv,308.48655,-1.2365500000000225,0.6-4
0.6-4,weak_monsoon_start,Weak monsoon starts,513.95,74,data/raw/rousseau_2023_ks_0p6_4kyr_weak_monsoon_start_times.csv,521.93825,-7.988249999999994,0.6-4
0.6-4,weak_monsoon_start,Weak monsoon starts,515.85,75,data/raw/rousseau_2023_ks_0p6_4kyr_weak_monsoon_start_times.csv,521.93825,-6.088250000000016,0.6-4
0.6-4,weak_monsoon_start,Weak monsoon starts,550.75,78,data/raw/rousseau_2023_ks_0p6_4kyr_weak_monsoon_start_times.csv,552.5361499999999,-1.7861499999999069,0.6-4
0.6-4,weak_monsoon_start,Weak monsoon starts,569.5,83,data/raw/rousseau_2023_ks_0p6_4kyr_weak_monsoon_start_times.csv,568.2534,1.246599999999944,0.6-4
0.6-4,weak_monsoon_start,Weak monsoon starts,636.8,89,data/raw/rousseau_2023_ks_0p6_4kyr_weak_monsoon_start_times.csv,635.16125,1.638749999999959,0.6-4
0.6-4,weak_monsoon_start,Weak monsoon starts,639.2,90,data/raw/rousseau_2023_ks_0p6_4kyr_weak_monsoon_start_times.csv,635.16125,4.03875000000005,0.6-4
