window_label,event_type,event_label,d_cut,sigma_cut,change_cut_setting,edge_nan_ksstat,effective_change_cut,match_tolerance_ka,n_detected,n_published,n_matched,n_unmatched_detected,n_unmatched_published,precision,recall,f1,median_abs_age_error_ka,mean_abs_age_error_ka
0.4-4,strong_monsoon_start,Strong monsoon starts,0.68,1.0,default,False,0.5534439014047682,0.8,94,96,84,10,12,0.8936170212765957,0.875,0.8842105263157894,0.020674722115728628,0.09715576681001951
0.4-4,weak_monsoon_start,Weak monsoon starts,0.68,1.0,default,False,0.5534439014047682,0.8,102,100,89,13,11,0.8725490196078431,0.89,0.8811881188118812,0.02594293626793842,0.08070312559604206
0.4-4,strong_monsoon_start,Strong monsoon starts,0.68,1.0,0.0,False,0.0,0.8,160,96,84,76,12,0.525,0.875,0.6562500000000001,0.03183521234073794,0.1201445888066808
0.4-4,weak_monsoon_start,Weak monsoon starts,0.68,1.0,0.0,False,0.0,0.8,165,100,86,79,14,0.5212121212121212,0.86,0.6490566037735849,0.034300000000001774,0.11744718500320625
0.4-4,strong_monsoon_start,Strong monsoon starts,0.68,1.0,0.2,False,0.2,0.8,147,96,84,63,12,0.5714285714285714,0.875,0.691358024691358,0.03183521234073794,0.11158187190897421
0.4-4,weak_monsoon_start,Weak monsoon starts,0.68,1.0,0.2,False,0.2,0.8,153,100,87,66,13,0.5686274509803921,0.87,0.6877470355731226,0.03275609697189452,0.10853974609512311
0.4-4,strong_monsoon_start,Strong monsoon starts,0.68,1.0,0.4,False,0.4,0.8,110,96,85,25,11,0.7727272727272727,0.8854166666666666,0.8252427184466018,0.03017042468147224,0.10697266299264427
0.4-4,weak_monsoon_start,Weak monsoon starts,0.68,1.0,0.4,False,0.4,0.8,121,100,92,29,8,0.7603305785123967,0.92,0.832579185520362,0.034300000000001774,0.10959819154802315
0.4-4,strong_monsoon_start,Strong monsoon starts,0.68,1.5,default,False,0.5534439014047682,0.8,95,96,84,11,12,0.8842105263157894,0.875,0.8795811518324607,0.020674722115728628,0.09541816784270526
0.4-4,weak_monsoon_start,Weak monsoon starts,0.68,1.5,default,False,0.5534439014047682,0.8,102,100,89,13,11,0.8725490196078431,0.89,0.8811881188118812,0.030000000000001137,0.08078920713521456
0.4-4,strong_monsoon_start,Strong monsoon starts,0.68,1.5,0.0,False,0.0,0.8,160,96,85,75,11,0.53125,0.8854166666666666,0.6640625,0.02650000000005548,0.10485077909066538
0.4-4,weak_monsoon_start,Weak monsoon starts,0.68,1.5,0.0,False,0.0,0.8,156,100,87,69,13,0.5576923076923077,0.87,0.6796875000000001,0.034700000000043474,0.11473311820273761
0.4-4,strong_monsoon_start,Strong monsoon starts,0.68,1.5,0.2,False,0.2,0.8,145,96,85,60,11,0.5862068965517241,0.8854166666666666,0.7053941908713692,0.02650000000005548,0.10485077909066538
0.4-4,weak_monsoon_start,Weak monsoon starts,0.68,1.5,0.2,False,0.2,0.8,148,100,87,61,13,0.5878378378378378,0.87,0.7016129032258064,0.034700000000043474,0.10969863544411707
0.4-4,strong_monsoon_start,Strong monsoon starts,0.68,1.5,0.4,False,0.4,0.8,111,96,85,26,11,0.7657657657657657,0.8854166666666666,0.8212560386473429,0.03350000000000364,0.1018095882428406
0.4-4,weak_monsoon_start,Weak monsoon starts,0.68,1.5,0.4,False,0.4,0.8,118,100,92,26,8,0.7796610169491526,0.92,0.8440366972477064,0.03485000000003424,0.10631340937646622
0.4-4,strong_monsoon_start,Strong monsoon starts,0.68,2.0,default,False,0.5534439014047682,0.8,92,96,85,7,11,0.9239130434782609,0.8854166666666666,0.9042553191489361,0.014999999999986358,0.08413476437088636
0.4-4,weak_monsoon_start,Weak monsoon starts,0.68,2.0,default,False,0.5534439014047682,0.8,97,100,86,11,14,0.8865979381443299,0.86,0.8730964467005077,0.028500000000008185,0.08171970499210426
0.4-4,strong_monsoon_start,Strong monsoon starts,0.68,2.0,0.0,False,0.0,0.8,152,96,84,68,12,0.5526315789473685,0.875,0.6774193548387096,0.016869779117442363,0.08778917251075823
0.4-4,weak_monsoon_start,Weak monsoon starts,0.68,2.0,0.0,False,0.0,0.8,143,100,80,63,20,0.5594405594405595,0.8,0.6584362139917697,0.02528494905128298,0.09202232738429597
0.4-4,strong_monsoon_start,Strong monsoon starts,0.68,2.0,0.2,False,0.2,0.8,137,96,84,53,12,0.6131386861313869,0.875,0.721030042918455,0.016869779117442363,0.08963671374417717
0.4-4,weak_monsoon_start,Weak monsoon starts,0.68,2.0,0.2,False,0.2,0.8,138,100,81,57,19,0.5869565217391305,0.81,0.680672268907563,0.025569898102560273,0.09423810112029164
0.4-4,strong_monsoon_start,Strong monsoon starts,0.68,2.0,0.4,False,0.4,0.8,106,96,85,21,11,0.8018867924528302,0.8854166666666666,0.8415841584158416,0.017800000000022465,0.09128913899203245
0.4-4,weak_monsoon_start,Weak monsoon starts,0.68,2.0,0.4,False,0.4,0.8,111,100,86,25,14,0.7747747747747747,0.86,0.8151658767772512,0.02636656804376969,0.08516277061863203
0.4-4,strong_monsoon_start,Strong monsoon starts,0.7,1.0,default,False,0.5534439014047682,0.8,94,96,84,10,12,0.8936170212765957,0.875,0.8842105263157894,0.020674722115728628,0.09888705203694238
0.4-4,weak_monsoon_start,Weak monsoon starts,0.7,1.0,default,False,0.5534439014047682,0.8,102,100,89,13,11,0.8725490196078431,0.89,0.8811881188118812,0.02594293626793842,0.08153458627019934
0.4-4,strong_monsoon_start,Strong monsoon starts,0.7,1.0,0.0,False,0.0,0.8,160,96,84,76,12,0.525,0.875,0.6562500000000001,0.03183521234073794,0.1173745965733352
0.4-4,weak_monsoon_start,Weak monsoon starts,0.7,1.0,0.0,False,0.0,0.8,164,100,86,78,14,0.524390243902439,0.86,0.6515151515151516,0.03162804848592771,0.11676811523576333
