window_label,d_cut,sigma_cut,change_cut_setting,edge_nan_ksstat,match_tolerance_ka,n_detected_total,n_published_total,n_matched_total,n_unmatched_detected_total,n_unmatched_published_total,median_abs_age_error_ka,mean_abs_age_error_ka,precision_total,recall_total,f1_total,unmatched_total
0.4-4,0.68,2.0,default,False,0.8,189,196,171,18,25,0.02174999999999727,0.08292723468149532,0.9047619047619048,0.8724489795918368,0.8883116883116883,43
0.4-4,0.7,2.0,default,False,0.8,189,196,171,18,25,0.02174999999999727,0.08378269326421015,0.9047619047619048,0.8724489795918368,0.8883116883116883,43
0.4-4,0.72,2.0,default,False,0.8,190,196,171,19,25,0.022500000000000853,0.08499780954328026,0.9,0.8724489795918368,0.8860103626943006,44
0.4-4,0.68,1.0,default,False,0.8,196,196,173,23,23,0.023308829191833524,0.08892944620303078,0.8826530612244898,0.8826530612244898,0.8826530612244898,46
0.4-4,0.7,1.0,default,False,0.8,196,196,173,23,23,0.023308829191833524,0.09021081915357086,0.8826530612244898,0.8826530612244898,0.8826530612244898,46
0.4-4,0.72,1.0,default,False,0.8,197,196,173,24,23,0.022866568043760083,0.08969658878164892,0.8781725888324873,0.8826530612244898,0.8804071246819337,47
0.4-4,0.68,1.5,default,False,0.8,197,196,173,24,23,0.025337361057864882,0.08810368748895991,0.8781725888324873,0.8826530612244898,0.8804071246819337,47
0.4-4,0.75,2.0,default,False,0.8,186,196,167,19,29,0.0219348895587288,0.08450278392116103,0.8978494623655914,0.8520408163265306,0.87434554973822,48
0.4-4,0.7,1.5,default,False,0.8,196,196,172,24,24,0.026151385300828167,0.09135166883705423,0.8775510204081632,0.8775510204081632,0.8775510204081631,48
0.4-4,0.75,1.0,default,False,0.8,197,196,172,25,24,0.023013212510328174,0.08810044917046564,0.8730964467005076,0.8775510204081632,0.8753180661577609,49
0.4-4,0.77,2.0,default,False,0.8,184,196,165,19,31,0.021856357692698225,0.08627379369218524,0.8967391304347826,0.8418367346938775,0.8684210526315789,50
0.4-4,0.72,1.5,default,False,0.8,198,196,172,26,24,0.025124999999995623,0.08995361857481658,0.8686868686868687,0.8775510204081632,0.8730964467005075,50
0.4-4,0.75,1.5,default,False,0.8,197,196,171,26,25,0.02427747844332373,0.08728723593297018,0.868020304568528,0.8724489795918368,0.8702290076335879,51
0.4-4,0.77,1.0,default,False,0.8,194,196,169,25,27,0.025249999999978456,0.09603042098296213,0.8711340206185567,0.8622448979591837,0.8666666666666667,52
0.4-4,0.77,1.5,default,False,0.8,195,196,169,26,27,0.026949999999978047,0.09372121948937545,0.8666666666666667,0.8622448979591837,0.8644501278772379,53
0.4-4,0.72,2.0,0.4,False,0.8,214,196,171,43,25,0.023150000000015325,0.08944107108440236,0.7990654205607477,0.8724489795918368,0.8341463414634147,68
0.4-4,0.68,2.0,0.4,False,0.8,217,196,171,46,25,0.022083284021896077,0.08822595480533224,0.7880184331797235,0.8724489795918368,0.8280871670702179,71
0.4-4,0.7,2.0,0.4,False,0.8,217,196,171,46,25,0.022083284021896077,0.08822595480533224,0.7880184331797235,0.8724489795918368,0.8280871670702179,71
0.4-4,0.75,1.5,0.4,False,0.8,225,196,175,50,21,0.0284250000000128,0.10184693766537659,0.7777777777777778,0.8928571428571429,0.8313539192399051,71
0.4-4,0.72,1.5,0.4,False,0.8,227,196,176,51,20,0.030600000000049477,0.10435355293063031,0.775330396475771,0.8979591836734694,0.8321513002364067,71
0.4-4,0.68,1.5,0.4,False,0.8,229,196,177,52,19,0.03417500000001894,0.1040614988096534,0.7729257641921398,0.9030612244897959,0.8329411764705882,71
0.4-4,0.75,2.0,0.4,False,0.8,210,196,167,43,29,0.021894046487105356,0.08846834964377424,0.7952380952380952,0.8520408163265306,0.8226600985221675,72
0.4-4,0.7,1.5,0.4,False,0.8,228,196,176,52,20,0.034250000000014325,0.10558988243348046,0.7719298245614035,0.8979591836734694,0.8301886792452831,72
0.4-4,0.77,2.0,0.4,False,0.8,207,196,165,42,31,0.022362427494613257,0.09029257426435362,0.7971014492753623,0.8418367346938775,0.8188585607940446,73
0.4-4,0.75,1.0,0.4,False,0.8,229,196,176,53,20,0.026825479690486986,0.10547540647141901,0.7685589519650655,0.8979591836734694,0.8282352941176471,73
0.4-4,0.72,1.0,0.4,False,0.8,231,196,177,54,19,0.028099999999980696,0.10702315010713391,0.7662337662337663,0.9030612244897959,0.8290398126463701,73
0.4-4,0.68,1.0,0.4,False,0.8,231,196,177,54,19,0.03223521234073701,0.10828542727033372,0.7662337662337663,0.9030612244897959,0.8290398126463701,73
0.4-4,0.77,1.5,0.4,False,0.8,220,196,171,49,25,0.02933750000001112,0.10257777451088217,0.7772727272727272,0.8724489795918368,0.8221153846153847,74
