order,start_time_ka_BP,original_value_in_table,transition_type,ks_window_kyr,relation_to_other_ks_window,paired_other_window_age_ka,difference_0p4_minus_0p6_ka,source_table,source_pdf_page,source_row_index_in_table,event_age_ka,event_index,event_type,event_label,ks_window_id,ks_window_label,source
1,10.824,10.824,strong_monsoon_start,0.4-4,date_shifted_relative_to_other_window,11.129,-0.305,Rousseau et al. 2023 Scientific Reports Table 1,5,2,10.824,1,strong_monsoon_start,Strong monsoon starts,ks_0p4_4kyr,KS 0.4-4 kyr,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv
2,11.514,11.514,strong_monsoon_start,0.4-4,additional_in_this_window,,,Rousseau et al. 2023 Scientific Reports Table 1,5,3,11.514,2,strong_monsoon_start,Strong monsoon starts,ks_0p4_4kyr,KS 0.4-4 kyr,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv
3,14.617,14.617,strong_monsoon_start,0.4-4,common_same_date,14.617,0.0,Rousseau et al. 2023 Scientific Reports Table 1,5,5,14.617,3,strong_monsoon_start,Strong monsoon starts,ks_0p4_4kyr,KS 0.4-4 kyr,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv
4,23.685,23.685,strong_monsoon_start,0.4-4,common_same_date,23.685,0.0,Rousseau et al. 2023 Scientific Reports Table 1,5,7,23.685,4,strong_monsoon_start,Strong monsoon starts,ks_0p4_4kyr,KS 0.4-4 kyr,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv
5,27.955,27.955,strong_monsoon_start,0.4-4,additional_in_this_window,,,Rousseau et al. 2023 Scientific Reports Table 1,5,11,27.955,5,strong_monsoon_start,Strong monsoon starts,ks_0p4_4kyr,KS 0.4-4 kyr,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv
6,29.43,29.43,strong_monsoon_start,0.4-4,common_same_date,29.43,0.0,Rousseau et al. 2023 Scientific Reports Table 1,5,13,29.43,6,strong_monsoon_start,Strong monsoon starts,ks_0p4_4kyr,KS 0.4-4 kyr,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv
7,32.675,32.675,strong_monsoon_start,0.4-4,common_same_date,32.675,0.0,Rousseau et al. 2023 Scientific Reports Table 1,5,16,32.675,7,strong_monsoon_start,Strong monsoon starts,ks_0p4_4kyr,KS 0.4-4 kyr,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv
8,33.995,33.995,strong_monsoon_start,0.4-4,date_shifted_relative_to_other_window,34.065,-0.07,Rousseau et al. 2023 Scientific Reports Table 1,5,18,33.995,8,strong_monsoon_start,Strong monsoon starts,ks_0p4_4kyr,KS 0.4-4 kyr,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv
9,35.535,35.535,strong_monsoon_start,0.4-4,date_shifted_relative_to_other_window,35.6,-0.065,Rousseau et al. 2023 Scientific Reports Table 1,5,20,35.535,9,strong_monsoon_start,Strong monsoon starts,ks_0p4_4kyr,KS 0.4-4 kyr,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv
10,38.305,38.305,strong_monsoon_start,0.4-4,common_same_date,38.305,0.0,Rousseau et al. 2023 Scientific Reports Table 1,5,22,38.305,10,strong_monsoon_start,Strong monsoon starts,ks_0p4_4kyr,KS 0.4-4 kyr,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv
11,41.595,41.595,strong_monsoon_start,0.4-4,date_shifted_relative_to_other_window,41.635,-0.04,Rousseau et al. 2023 Scientific Reports Table 1,5,24,41.595,11,strong_monsoon_start,Strong monsoon starts,ks_0p4_4kyr,KS 0.4-4 kyr,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv
12,43.615,43.615,strong_monsoon_start,0.4-4,common_same_date,43.615,0.0,Rousseau et al. 2023 Scientific Reports Table 1,5,26,43.615,12,strong_monsoon_start,Strong monsoon starts,ks_0p4_4kyr,KS 0.4-4 kyr,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv
13,47.25,47.25,strong_monsoon_start,0.4-4,common_same_date,47.25,0.0,Rousseau et al. 2023 Scientific Reports Table 1,5,29,47.25,13,strong_monsoon_start,Strong monsoon starts,ks_0p4_4kyr,KS 0.4-4 kyr,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv
14,49.65,49.65,strong_monsoon_start,0.4-4,additional_in_this_window,,,Rousseau et al. 2023 Scientific Reports Table 1,5,32,49.65,14,strong_monsoon_start,Strong monsoon starts,ks_0p4_4kyr,KS 0.4-4 kyr,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv
15,53.8,53.8,strong_monsoon_start,0.4-4,date_shifted_relative_to_other_window,53.745,0.055,Rousseau et al. 2023 Scientific Reports Table 1,5,33,53.8,15,strong_monsoon_start,Strong monsoon starts,ks_0p4_4kyr,KS 0.4-4 kyr,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv
16,54.37,54.37,strong_monsoon_start,0.4-4,additional_in_this_window,,,Rousseau et al. 2023 Scientific Reports Table 1,5,34,54.37,16,strong_monsoon_start,Strong monsoon starts,ks_0p4_4kyr,KS 0.4-4 kyr,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv
17,55.745,55.745,strong_monsoon_start,0.4-4,additional_in_this_window,,,Rousseau et al. 2023 Scientific Reports Table 1,5,36,55.745,17,strong_monsoon_start,Strong monsoon starts,ks_0p4_4kyr,KS 0.4-4 kyr,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv
18,58.21,58.21,strong_monsoon_start,0.4-4,common_same_date,58.21,0.0,Rousseau et al. 2023 Scientific Reports Table 1,5,38,58.21,18,strong_monsoon_start,Strong monsoon starts,ks_0p4_4kyr,KS 0.4-4 kyr,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv
19,59.785,59.785,strong_monsoon_start,0.4-4,common_same_date,59.785,0.0,Rousseau et al. 2023 Scientific Reports Table 1,5,39,59.785,19,strong_monsoon_start,Strong monsoon starts,ks_0p4_4kyr,KS 0.4-4 kyr,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv
20,65.48,65.48,strong_monsoon_start,0.4-4,common_same_date,65.48,0.0,Rousseau et al. 2023 Scientific Reports Table 1,5,40,65.48,20,strong_monsoon_start,Strong monsoon starts,ks_0p4_4kyr,KS 0.4-4 kyr,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv
21,69.18,69.18,strong_monsoon_start,0.4-4,additional_in_this_window,,,Rousseau et al. 2023 Scientific Reports Table 1,5,42,69.18,21,strong_monsoon_start,Strong monsoon starts,ks_0p4_4kyr,KS 0.4-4 kyr,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv
