bin_width_ka,dataset_id,dataset_label,n_bins,n_events,mean_events_per_bin,nonempty_bin_count,empty_bin_fraction,multi_event_bin_count,multi_event_bin_fraction,max_event_count_per_bin
0.2,strong_monsoon_start,Strong monsoon starts,3200,96,0.03,96,0.97,0,0.0,1
0.2,weak_monsoon_start,Weak monsoon starts,3200,94,0.029375,94,0.970625,0,0.0,1
0.4,strong_monsoon_start,Strong monsoon starts,1600,96,0.06,96,0.94,0,0.0,1
0.4,weak_monsoon_start,Weak monsoon starts,1600,94,0.05875,94,0.94125,0,0.0,1
0.6,strong_monsoon_start,Strong monsoon starts,1067,96,0.08997188378631678,96,0.9100281162136832,0,0.0,1
0.6,weak_monsoon_start,Weak monsoon starts,1067,94,0.08809746954076851,93,0.9128397375820057,1,0.0009372071227741331,2
0.8,strong_monsoon_start,Strong monsoon starts,800,96,0.12,95,0.88125,1,0.00125,2
0.8,weak_monsoon_start,Weak monsoon starts,800,94,0.1175,92,0.885,2,0.0025,2
1.0,strong_monsoon_start,Strong monsoon starts,640,96,0.15,96,0.85,0,0.0,1
1.0,weak_monsoon_start,Weak monsoon starts,640,94,0.146875,92,0.85625,2,0.003125,2
