surrogate_id,source,driver,driver_label,event_type,event_label,n_events_total,n_phase_events_used,n_extrapolated_phase_events,mean_phase_rad,mean_phase_deg,mean_resultant_length,rayleigh_R,rayleigh_z,rayleigh_p
1,surrogate_0001,pre,Precession index,strong_monsoon_start,Strong monsoon starts,149,149,0,1.0971289871486583,62.860860545080854,0.15519618951712907,23.124232238052233,3.5887927288548602,0.02736556650427286
1,surrogate_0001,pre,Precession index,weak_monsoon_start,Weak monsoon starts,148,148,0,3.9773230614864263,227.88382518322385,0.19079444697205894,28.237578151864724,5.387573107315324,0.004431640089209271
2,surrogate_0002,pre,Precession index,strong_monsoon_start,Strong monsoon starts,142,142,0,1.0573959169380094,60.584323314913696,0.18483232975545225,26.24619082527422,4.85114459744161,0.007628067005293405
2,surrogate_0002,pre,Precession index,weak_monsoon_start,Weak monsoon starts,142,142,0,3.748663868535117,214.78261848024627,0.20606653751930956,29.261448327741956,6.029805339697976,0.0023029901596275273
3,surrogate_0003,pre,Precession index,strong_monsoon_start,Strong monsoon starts,152,152,0,0.7978706203079026,45.714619141127805,0.2039738257642477,31.00402151616565,6.324008882729358,0.0017121938184864226
3,surrogate_0003,pre,Precession index,weak_monsoon_start,Weak monsoon starts,130,130,0,4.112151081679425,235.6089017003873,0.18714923061590077,24.3293999800671,4.553228487616069,0.010296189586415682
4,surrogate_0004,pre,Precession index,strong_monsoon_start,Strong monsoon starts,149,149,0,1.002694400315089,57.450157279455645,0.15699744737440227,23.39261965878594,3.6725815738296532,0.02514715905913801
4,surrogate_0004,pre,Precession index,weak_monsoon_start,Weak monsoon starts,147,147,0,4.074814073942033,233.46964873738744,0.211078964777825,31.028607822340277,6.549486417636708,0.0013585062524048921
5,surrogate_0005,pre,Precession index,strong_monsoon_start,Strong monsoon starts,145,145,0,0.7590652450742974,43.49123491782074,0.2015885674464222,29.230342279731218,5.892502826139603,0.002650793957307568
5,surrogate_0005,pre,Precession index,weak_monsoon_start,Weak monsoon starts,138,138,0,3.9803762507257834,228.05876004069376,0.19225993162102462,26.531870563701396,5.101015620355106,0.005915267299311604
6,surrogate_0006,pre,Precession index,strong_monsoon_start,Strong monsoon starts,137,137,0,0.8862010473200441,50.77557981151188,0.2110689428450469,28.916445169771425,6.103363512820418,0.0021331705266703317
