variant_id,variant_label,event_type,detected_index,published_index,detected_age_ka,published_age_ka,age_error_ka,abs_age_error_ka
raw,Raw composite,weak_monsoon_start,6,100,26.65,26.65,0.0,0.0
raw,Raw composite,strong_monsoon_start,10,5,29.43,29.43,0.0,0.0
raw,Raw composite,weak_monsoon_start,51,122,98.65,98.65,0.0,0.0
raw,Raw composite,strong_monsoon_start,67,34,157.05,157.05,0.0,0.0
raw,Raw composite,weak_monsoon_start,74,138,166.8,166.8,0.0,0.0
raw,Raw composite,strong_monsoon_start,81,41,176.25,176.25,0.0,0.0
raw,Raw composite,strong_monsoon_start,151,74,458.90002063725,458.9,2.0637250031541043e-05,2.0637250031541043e-05
raw,Raw composite,strong_monsoon_start,50,26,89.79012499999999,89.79,0.0001249999999828333,0.0001249999999828333
raw,Raw composite,weak_monsoon_start,25,111,45.72975,45.73,-0.0002499999999940883,0.0002499999999940883
raw,Raw composite,weak_monsoon_start,2,97,12.77875,12.779,-0.00024999999999941735,0.00024999999999941735
raw,Raw composite,strong_monsoon_start,3,2,14.61675,14.617,-0.0002500000000011937,0.0002500000000011937
raw,Raw composite,strong_monsoon_start,23,11,43.61525,43.615,0.0002500000000011937,0.0002500000000011937
raw,Raw composite,weak_monsoon_start,45,120,77.50971874999999,77.51,-0.0002812500000146656,0.0002812500000146656
raw,Raw composite,strong_monsoon_start,38,20,69.1803,69.18,0.0002999999999957481,0.0002999999999957481
raw,Raw composite,weak_monsoon_start,0,96,3.49957375,3.5,-0.00042624999999985036,0.00042624999999985036
raw,Raw composite,weak_monsoon_start,37,116,68.65435,68.655,-0.0006500000000073669,0.0006500000000073669
raw,Raw composite,strong_monsoon_start,44,23,76.2457,76.245,0.0006999999999948159,0.0006999999999948159
raw,Raw composite,weak_monsoon_start,49,121,88.4242,88.425,-0.0007999999999981355,0.0007999999999981355
raw,Raw composite,strong_monsoon_start,41,21,72.2859,72.285,0.0009000000000014552,0.0009000000000014552
raw,Raw composite,weak_monsoon_start,39,117,69.576,69.575,0.000999999999990564,0.000999999999990564
raw,Raw composite,strong_monsoon_start,34,17,58.211200000000005,58.21,0.0012000000000043087,0.0012000000000043087
raw,Raw composite,weak_monsoon_start,33,115,56.318749999999994,56.32,-0.0012500000000059686,0.0012500000000059686
raw,Raw composite,weak_monsoon_start,7,101,27.5565,27.555,0.0015000000000000568,0.0015000000000000568
raw,Raw composite,weak_monsoon_start,20,108,39.9567,39.955,0.0016999999999995907,0.0016999999999995907
raw,Raw composite,weak_monsoon_start,40,118,70.1533,70.155,-0.0016999999999995907,0.0016999999999995907
raw,Raw composite,strong_monsoon_start,111,54,264.0017,264.0,0.0017000000000280124,0.0017000000000280124
raw,Raw composite,strong_monsoon_start,35,18,59.7829,59.785,-0.0020999999999986585,0.0020999999999986585
raw,Raw composite,strong_monsoon_start,17,8,35.53275,35.535,-0.0022499999999965326,0.0022499999999965326
raw,Raw composite,weak_monsoon_start,12,104,31.972749999999998,31.975,-0.002250000000003638,0.002250000000003638
raw,Raw composite,weak_monsoon_start,14,105,33.417500000000004,33.42,-0.0024999999999977263,0.0024999999999977263
raw,Raw composite,weak_monsoon_start,59,129,135.5525,135.55,0.0024999999999977263,0.0024999999999977263
raw,Raw composite,strong_monsoon_start,127,62,351.4475,351.45,-0.0024999999999977263,0.0024999999999977263
raw,Raw composite,weak_monsoon_start,5,99,24.5925,24.59,0.002500000000001279,0.002500000000001279
raw,Raw composite,strong_monsoon_start,29,13,49.64745,49.65,-0.002549999999999386,0.002549999999999386
raw,Raw composite,strong_monsoon_start,13,6,32.67225,32.675,-0.00274999999999892,0.00274999999999892
raw,Raw composite,strong_monsoon_start,26,12,47.25275,47.25,0.00274999999999892,0.00274999999999892
raw,Raw composite,strong_monsoon_start,15,7,33.998,33.995,0.0030000000000001137,0.0030000000000001137
raw,Raw composite,strong_monsoon_start,19,9,38.308,38.305,0.0030000000000001137,0.0030000000000001137
raw,Raw composite,weak_monsoon_start,27,112,48.4734,48.47,0.0033999999999991815,0.0033999999999991815
raw,Raw composite,strong_monsoon_start,129,63,365.6535,365.65,0.003500000000030923,0.003500000000030923
