variant_id,variant_label,dataset_id,dataset_label,model_id,model_label,terms,bin_width_ka,n_bins,n_events,n_parameters,converged,optimizer_message,log_likelihood,AIC,AICc,BIC,expected_events,max_fitted_rate_per_kyr,mean_fitted_rate_per_kyr,beta_intercept,beta_same_type_history_count,beta_cheng_log_resolution_scaled,beta_lr04_scaled,beta_co2_scaled,beta_pre_phase_sin,beta_pre_phase_cos,pre_phase_amplitude,pre_phase_preferred_rad,pre_phase_preferred_deg,pre_phase_rate_ratio_max_vs_min,delta_AICc,rank_AICc
raw,Raw composite,strong_monsoon_start,Strong monsoon starts,baseline_lr04_pre_phase,Baseline + LR04 + precession phase,same_type_history_count+cheng_log_resolution_scaled+lr04_scaled+pre_phase_sin+pre_phase_cos,0.2,3175,94,6,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,-405.9203443689677,823.8406887379354,823.8672038894505,860.2190662058961,93.99996393066252,1.0435360790718313,0.14803143926088583,-1.9045184850867913,-0.2738904700900863,-2.357361653527691,2.030038302910177,,0.044040781507563076,0.509083486087397,0.5109849178231132,0.08629509069888874,4.944344489744971,2.7786628857467446,0.0,1.0
raw,Raw composite,strong_monsoon_start,Strong monsoon starts,baseline_climate_lr04_co2_pre_phase,Baseline + LR04 + CO2 + precession phase,same_type_history_count+cheng_log_resolution_scaled+lr04_scaled+co2_scaled+pre_phase_sin+pre_phase_cos,0.2,3175,94,7,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,-405.37787565721095,824.7557513144219,824.7911160128747,867.1971916937094,94.00003202607701,1.0540143329253755,0.14803154649775904,-1.8804227007243466,-0.31365992751092364,-2.4450933436060396,1.392520876184121,-0.8751502357363302,0.054653971644641634,0.5191284639964157,0.5219975275303621,0.10489383810867135,6.009974220555386,2.840542500008696,0.923912123424202,2.0
raw,Raw composite,strong_monsoon_start,Strong monsoon starts,baseline_co2_pre_phase,Baseline + CO2 + precession phase,same_type_history_count+cheng_log_resolution_scaled+co2_scaled+pre_phase_sin+pre_phase_cos,0.2,3175,94,6,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,-406.820679135555,825.64135827111,825.6678734226251,862.0197357390707,93.99999030833868,0.9083090570346426,0.14803148080053333,-1.8553194859474653,-0.3294941342838849,-2.5180318141450186,,-2.0710977777661554,0.10282999120139907,0.4962587385275173,0.5068004959107701,0.2043189636046802,11.706614289035247,2.7555057245031533,1.8006695331746414,3.0
raw,Raw composite,strong_monsoon_start,Strong monsoon starts,baseline_lr04,Baseline + LR04,same_type_history_count+cheng_log_resolution_scaled+lr04_scaled,0.2,3175,94,4,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,-411.54688903918,831.09377807836,831.1063963748899,855.3460297236671,93.99998770292964,0.8627804194737838,0.148031476697527,-1.906173541415804,-0.19183442068927267,-2.2670322720996587,1.7592003331270667,,,,,,,,7.239192485439389,4.0
raw,Raw composite,strong_monsoon_start,Strong monsoon starts,baseline_climate_lr04_co2,Baseline + LR04 + CO2,same_type_history_count+cheng_log_resolution_scaled+lr04_scaled+co2_scaled,0.2,3175,94,5,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,-411.2232829211016,832.4465658422032,832.4654992596851,862.7618803988372,93.99987789835305,0.9257680434733891,0.14803130377693394,-1.8843274459885473,-0.22494353271249296,-2.333286718778013,1.2444666838502634,-0.7039323903969894,,,,,,,8.59829537023461,5.0
raw,Raw composite,strong_monsoon_start,Strong monsoon starts,baseline_co2,Baseline + CO2,same_type_history_count+cheng_log_resolution_scaled+co2_scaled,0.2,3175,94,4,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,-412.37938611855293,832.7587722371059,832.7713905336358,857.011023882413,94.00000306168872,0.8581616767558122,0.14803150088454917,-1.8574236381349738,-0.24816391798025217,-2.406663803075346,,-1.8476584843419808,,,,,,,8.904186644185302,6.0
raw,Raw composite,strong_monsoon_start,Strong monsoon starts,baseline_pre_phase,Baseline + precession phase,same_type_history_count+cheng_log_resolution_scaled+pre_phase_sin+pre_phase_cos,0.2,3175,94,5,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,-414.6794137204277,839.3588274408554,839.3777608583373,869.6741419974894,93.99999388027882,0.5479193523951431,0.14803148642563593,-1.9355948535644152,-0.1139935821530888,-1.9115892303798563,,,0.2195278489291221,0.38512151735508116,0.4432956796375615,0.5180853515757741,29.684104072843287,2.4268432998108302,15.510556968886817,7.0
raw,Raw composite,strong_monsoon_start,Strong monsoon starts,history_resolution_baseline,History + resolution,same_type_history_count+cheng_log_resolution_scaled,0.2,3175,94,3,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,-419.0283538566805,844.056707713361,844.064276303711,862.2458964473414,93.99999098396214,0.40990107189057795,0.14803148186450726,-1.9374662529925064,-0.049890394335095706,-1.8822142749478092,,,,,,,,,20.19707241426056,8.0
raw,Raw composite,strong_monsoon_start,Strong monsoon starts,stationary,Stationary,none,0.2,3175,94,1,True,analytic stationary MLE,-424.85820413133877,851.7164082626775,851.717668899299,857.7794711740044,93.99999999999999,0.1480314960629921,0.14803149606299204,-1.9103302166226879,,,,,,,,,,,27.850465009848563,9.0
raw,Raw composite,weak_monsoon_start,Weak monsoon starts,baseline_co2_pre_phase,Baseline + CO2 + precession phase,same_type_history_count+cheng_log_resolution_scaled+co2_scaled+pre_phase_sin+pre_phase_cos,0.2,3175,99,6,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,-419.509795700702,851.019591401404,851.0461065529191,887.3979688693647,98.9999799296566,0.9762987392879184,0.1559054802041836,-1.9666074394389301,-0.15673859030412152,-2.286845278158859,,-2.19651030682845,-0.43496340623465485,-0.45876888504354085,0.6321883063196811,3.900361085002416,223.47422874770496,3.5408847051805163,0.0,1.0
raw,Raw composite,weak_monsoon_start,Weak monsoon starts,baseline_climate_lr04_co2_pre_phase,Baseline + LR04 + CO2 + precession phase,same_type_history_count+cheng_log_resolution_scaled+lr04_scaled+co2_scaled+pre_phase_sin+pre_phase_cos,0.2,3175,99,7,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,-419.3802510331499,852.7605020662998,852.7958667647525,895.2019424455873,98.99987992287745,0.9463248616915033,0.1559053227131928,-1.9665128318768488,-0.1561793314798563,-2.2728673413818,0.45786586371584465,-1.776004656667349,-0.44925196239631104,-0.44871008354664205,0.6349551675460016,3.927594270982141,225.03457536703806,3.560533293151962,1.7497602118334044,2.0
raw,Raw composite,weak_monsoon_start,Weak monsoon starts,baseline_lr04_pre_phase,Baseline + LR04 + precession phase,same_type_history_count+cheng_log_resolution_scaled+lr04_scaled+pre_phase_sin+pre_phase_cos,0.2,3175,99,6,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,-421.13924629266637,854.2784925853327,854.3050077368479,890.6568700532935,99.00006512533287,0.864527276045616,0.1559056143706029,-1.9914612049405647,-0.1029789444910755,-2.1611291016741445,1.8193927851883356,,-0.4774667506522896,-0.41811781215143196,0.6346629048689988,3.993162446377458,228.79135508756326,3.5584526793133446,3.2589011839287423,3.0
raw,Raw composite,weak_monsoon_start,Weak monsoon starts,baseline_co2,Baseline + CO2,same_type_history_count+cheng_log_resolution_scaled+co2_scaled,0.2,3175,99,4,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,-427.88762927153334,863.7752585430667,863.7878768395966,888.0275101883739,99.00007022723331,0.731203771180636,0.15590562240509184,-1.9962663020142997,-0.011310687807079974,-2.1635721990833887,,-1.92796896326885,,,,,,,12.741770286677479,4.0
raw,Raw composite,weak_monsoon_start,Weak monsoon starts,baseline_climate_lr04_co2,Baseline + LR04 + CO2,same_type_history_count+cheng_log_resolution_scaled+lr04_scaled+co2_scaled,0.2,3175,99,5,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,-427.8364477977816,865.6728955955632,865.6918290130451,895.9882101521972,98.9999785646277,0.753358485682437,0.15590547805453175,-1.9957148142983367,-0.01223143882614626,-2.154095758215577,0.2693831718415135,-1.690057963095494,,,,,,,14.645722460125967,5.0
raw,Raw composite,weak_monsoon_start,Weak monsoon starts,baseline_pre_phase,Baseline + precession phase,same_type_history_count+cheng_log_resolution_scaled+pre_phase_sin+pre_phase_cos,0.2,3175,99,5,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,-428.5872965865138,867.1745931730276,867.1935265905095,897.4899077296616,99.00000002554916,0.534834847273373,0.15590551185125853,-2.0690784420600146,0.08368169323078198,-1.7661619740664654,,,-0.3437106049632896,-0.4158469030741984,0.5395049830730317,3.8323033393404446,219.57480715809922,2.941765661283748,16.147420037590337,6.0
raw,Raw composite,weak_monsoon_start,Weak monsoon starts,baseline_lr04,Baseline + LR04,same_type_history_count+cheng_log_resolution_scaled+lr04_scaled,0.2,3175,99,4,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,-429.70404626298557,867.4080925259711,867.4207108225011,891.6603441712783,99.0000013816286,0.6769017407776206,0.15590551398681674,-2.012555036036124,0.03175616089995568,-2.025104968170248,1.5325978111026062,,,,,,,,16.374604269581937,7.0
raw,Raw composite,weak_monsoon_start,Weak monsoon starts,history_resolution_baseline,History + resolution,same_type_history_count+cheng_log_resolution_scaled,0.2,3175,99,3,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,-435.03377412829184,876.0675482565837,876.0751168469337,894.256736990564,99.0000046227902,0.43047160557812214,0.1559055190910082,-2.06987505529839,0.17084233107025515,-1.6961480384798517,,,,,,,,,25.029010294014597,8.0
raw,Raw composite,weak_monsoon_start,Weak monsoon starts,stationary,Stationary,none,0.2,3175,99,1,True,analytic stationary MLE,-442.3263630580261,886.6527261160522,886.6539867526737,892.7157890273791,99.0,0.15590551181102363,0.15590551181102358,-1.8585051487581017,,,,,,,,,,,35.60788019975462,9.0
no_pre_18_25kyr,18-25 kyr removed,strong_monsoon_start,Strong monsoon starts,baseline_lr04,Baseline + LR04,same_type_history_count+cheng_log_resolution_scaled+lr04_scaled,0.2,3175,106,4,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,-447.81924194629204,903.6384838925841,903.651102189114,927.8907355378913,106.00003163165292,0.9816212018917645,0.1669291836718943,-1.7111146253072265,-0.31457714255530983,-3.0575848284318377,1.8308305925939714,,,,,,,,0.0,1.0
no_pre_18_25kyr,18-25 kyr removed,strong_monsoon_start,Strong monsoon starts,baseline_climate_lr04_co2,Baseline + LR04 + CO2,same_type_history_count+cheng_log_resolution_scaled+lr04_scaled+co2_scaled,0.2,3175,106,5,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,-447.7226394585822,905.4452789171644,905.4642123346463,935.7605934737984,106.0000060560149,0.9729935081718181,0.16692914339529902,-1.7030507052805586,-0.3251039055586127,-3.0908211502993765,1.576673771084077,-0.3425612650328737,,,,,,,1.8131101455322778,2.0
no_pre_18_25kyr,18-25 kyr removed,strong_monsoon_start,Strong monsoon starts,baseline_lr04_pre_phase,Baseline + LR04 + precession phase,same_type_history_count+cheng_log_resolution_scaled+lr04_scaled+pre_phase_sin+pre_phase_cos,0.2,3175,106,6,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,-447.0254618912214,906.0509237824429,906.077438933958,942.4293012504036,105.99999189304351,0.9014125103418907,0.16692912109140706,-1.7015742952374417,-0.33554045700818275,-3.1022660389028007,1.9910075300794026,,-0.1726638263511704,0.05408771633996118,0.18093722112682958,5.015961052273795,287.39339849728776,1.4360186273780855,2.4263367448439794,3.0
no_pre_18_25kyr,18-25 kyr removed,strong_monsoon_start,Strong monsoon starts,baseline_co2,Baseline + CO2,same_type_history_count+cheng_log_resolution_scaled+co2_scaled,0.2,3175,106,4,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,-449.90167058510576,907.8033411702115,907.8159594667414,932.0555928155187,105.99960560976749,0.7477480678595871,0.16692851277128734,-1.6950417804666065,-0.3090032550408816,-3.0596454543682228,,-1.720729782236259,,,,,,,4.164857277627448,4.0
no_pre_18_25kyr,18-25 kyr removed,strong_monsoon_start,Strong monsoon starts,baseline_climate_lr04_co2_pre_phase,Baseline + LR04 + CO2 + precession phase,same_type_history_count+cheng_log_resolution_scaled+lr04_scaled+co2_scaled+pre_phase_sin+pre_phase_cos,0.2,3175,106,7,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,-446.9799008496995,907.959801699399,907.9951663978518,950.4012420786866,105.99998052985916,0.8970736618153003,0.16692910319662857,-1.6958950435542879,-0.34246749019479233,-3.1221424107573763,1.8102275665736995,-0.23752123093605437,-0.16775918821491456,0.05305012451587549,0.1759473243379308,5.0186664102359,287.54840409058846,1.4217587316633342,4.344064208737791,5.0
no_pre_18_25kyr,18-25 kyr removed,strong_monsoon_start,Strong monsoon starts,baseline_co2_pre_phase,Baseline + CO2 + precession phase,same_type_history_count+cheng_log_resolution_scaled+co2_scaled+pre_phase_sin+pre_phase_cos,0.2,3175,106,6,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,-449.66453928589283,911.3290785717857,911.3555937233008,947.7074560397464,105.99996105447156,0.7023982426765117,0.1669290725267268,-1.6885350856093408,-0.31869522891027807,-3.0632322352880825,,-1.780285744213171,-0.09486645926093513,0.01809149800627137,0.09657612227055705,4.900831172285833,280.79694227812985,1.213067462360499,7.704491534186786,6.0
no_pre_18_25kyr,18-25 kyr removed,strong_monsoon_start,Strong monsoon starts,history_resolution_baseline,History + resolution,same_type_history_count+cheng_log_resolution_scaled,0.2,3175,106,3,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,-456.67635542663936,919.3527108532787,919.3602794436288,937.5418995872591,106.00000210489847,0.5692045275177524,0.16692913717306843,-1.7810958278939826,-0.12437456531428832,-2.36676244604871,,,,,,,,,15.70917725451477,7.0
no_pre_18_25kyr,18-25 kyr removed,strong_monsoon_start,Strong monsoon starts,baseline_pre_phase,Baseline + precession phase,same_type_history_count+cheng_log_resolution_scaled+pre_phase_sin+pre_phase_cos,0.2,3175,106,5,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,-456.6669179247838,923.3338358495675,923.3527692670494,953.6491504062016,106.00001663097198,0.5647827125346498,0.16692916004877473,-1.7813595153892732,-0.12419933762645155,-2.3678805833813628,,,-0.006155782336348887,-0.0177841624527321,0.018819407278595976,3.4748232013924496,199.09270399392466,1.0383561260238376,19.70166707793544,8.0
no_pre_18_25kyr,18-25 kyr removed,strong_monsoon_start,Strong monsoon starts,stationary,Stationary,none,0.2,3175,106,1,True,analytic stationary MLE,-466.360124624761,934.720249249522,934.7215098861435,940.7833121608488,105.99999999999999,0.16692913385826771,0.16692913385826771,-1.7901859047806246,,,,,,,,,,,31.07040769702951,9.0
no_pre_18_25kyr,18-25 kyr removed,weak_monsoon_start,Weak monsoon starts,baseline_co2,Baseline + CO2,same_type_history_count+cheng_log_resolution_scaled+co2_scaled,0.2,3175,109,4,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,-456.86087352775354,921.7217470555071,921.734365352037,945.9739987008143,109.00000438212344,1.3786841538082149,0.17165355020806833,-1.8050687668636518,-0.16585470018943146,-3.1371204865883815,,-1.8255952292559714,,,,,,,0.0,1.0
no_pre_18_25kyr,18-25 kyr removed,weak_monsoon_start,Weak monsoon starts,baseline_climate_lr04_co2,Baseline + LR04 + CO2,same_type_history_count+cheng_log_resolution_scaled+lr04_scaled+co2_scaled,0.2,3175,109,5,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,-456.6671299280549,923.3342598561098,923.3531932735917,953.6495744127438,108.99998316879785,1.4524996008172022,0.17165351680125643,-1.8040074759522657,-0.16755340334710692,-3.120085486760933,0.4946441107224928,-1.3798554140270507,,,,,,,1.6188279215547254,2.0
no_pre_18_25kyr,18-25 kyr removed,weak_monsoon_start,Weak monsoon starts,baseline_lr04,Baseline + LR04,same_type_history_count+cheng_log_resolution_scaled+lr04_scaled,0.2,3175,109,4,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,-458.07735880145185,924.1547176029037,924.1673358994336,948.4069692482109,108.99998050696283,1.3342299037557082,0.17165351260939024,-1.8153254246615604,-0.14040997598174862,-2.985450722089859,1.560812262069151,,,,,,,,2.4329705473966214,3.0
no_pre_18_25kyr,18-25 kyr removed,weak_monsoon_start,Weak monsoon starts,baseline_co2_pre_phase,Baseline + CO2 + precession phase,same_type_history_count+cheng_log_resolution_scaled+co2_scaled+pre_phase_sin+pre_phase_cos,0.2,3175,109,6,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,-456.82106378554323,925.6421275710865,925.6686427226016,962.0205050390472,108.99999563409764,1.344475218381041,0.17165353643164977,-1.8028180802106977,-0.16904786144093506,-3.14186817677562,,-1.8531278597282137,-0.03199094470111523,0.021680299447312933,0.03864525749681285,5.307991974773815,304.1255378438509,1.0803558903911679,3.934277370564587,4.0
no_pre_18_25kyr,18-25 kyr removed,weak_monsoon_start,Weak monsoon starts,baseline_climate_lr04_co2_pre_phase,Baseline + LR04 + CO2 + precession phase,same_type_history_count+cheng_log_resolution_scaled+lr04_scaled+co2_scaled+pre_phase_sin+pre_phase_cos,0.2,3175,109,7,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,-456.56433300936146,927.1286660187229,927.1640307171757,969.5701063980105,109.00000542607904,1.4085811930969367,0.17165355185209294,-1.800212095195957,-0.1732632647412522,-3.1274286419669464,0.588451700392851,-1.3409022236663808,-0.05303270704998359,0.03614190778758487,0.06417714169060248,5.310592152874536,304.27451707500455,1.1369557358743978,5.429665365138703,5.0
no_pre_18_25kyr,18-25 kyr removed,weak_monsoon_start,Weak monsoon starts,baseline_lr04_pre_phase,Baseline + LR04 + precession phase,same_type_history_count+cheng_log_resolution_scaled+lr04_scaled+pre_phase_sin+pre_phase_cos,0.2,3175,109,6,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,-457.87670163088785,927.7534032617757,927.7799184132908,964.1317807297364,109.00000309033547,1.2780830633605165,0.17165354817375664,-1.8113123766464547,-0.1474744721546501,-3.0001072973152936,1.6433169892721886,,-0.08144903698963671,0.036154683163424975,0.08911288762680096,5.13015299568617,293.93611490921353,1.1950951136797954,6.045553061253827,6.0
no_pre_18_25kyr,18-25 kyr removed,weak_monsoon_start,Weak monsoon starts,history_resolution_baseline,History + resolution,same_type_history_count+cheng_log_resolution_scaled,0.2,3175,109,3,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,-464.93039774859614,935.8607954971923,935.8683640875423,954.0499842311726,108.99999702426851,0.6205218904927909,0.1716535386208953,-1.8556340844526906,-0.020969225388078543,-2.481304818750593,,,,,,,,,14.133998735505315,7.0
no_pre_18_25kyr,18-25 kyr removed,weak_monsoon_start,Weak monsoon starts,baseline_pre_phase,Baseline + precession phase,same_type_history_count+cheng_log_resolution_scaled+pre_phase_sin+pre_phase_cos,0.2,3175,109,5,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,-464.78528027768846,939.5705605553769,939.5894939728588,969.8858751120109,109.00002909239792,0.6105065630989079,0.17165358912188647,-1.8585144503729543,-0.020552952973328188,-2.5046265131739585,,,0.04087328802119601,-0.06067353396299353,0.0731567043901116,2.5487646344287183,146.03345652496972,1.1575589203353445,17.8551286208218,8.0
no_pre_18_25kyr,18-25 kyr removed,weak_monsoon_start,Weak monsoon starts,stationary,Stationary,none,0.2,3175,109,1,True,analytic stationary MLE,-476.516938171643,955.033876343286,955.0351369799075,961.0969392546128,109.0,0.17165354330708663,0.17165354330708665,-1.7622771166635478,,,,,,,,,,,33.30077162787052,9.0
no_pre_15_30kyr,15-30 kyr removed,strong_monsoon_start,Strong monsoon starts,baseline_lr04,Baseline + LR04,same_type_history_count+cheng_log_resolution_scaled+lr04_scaled,0.2,3175,117,4,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,-481.69163592387133,971.3832718477427,971.3958901442726,995.6355234930498,116.99986378779022,1.256987598330661,0.18425175399651997,-1.5886139198087657,-0.3223874415664058,-3.1780021699382903,1.8922991981758643,,,,,,,,0.0,1.0
no_pre_15_30kyr,15-30 kyr removed,strong_monsoon_start,Strong monsoon starts,baseline_climate_lr04_co2,Baseline + LR04 + CO2,same_type_history_count+cheng_log_resolution_scaled+lr04_scaled+co2_scaled,0.2,3175,117,5,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,-481.1746338054053,972.3492676108106,972.3682010282924,1002.6645821674446,116.99999991132941,1.115993736663696,0.1842519683642982,-1.5740977088226864,-0.34197610970845654,-3.254626936053104,1.3054138038170882,-0.7736354439970153,,,,,,,0.972310884019862,2.0
no_pre_15_30kyr,15-30 kyr removed,strong_monsoon_start,Strong monsoon starts,baseline_co2,Baseline + CO2,same_type_history_count+cheng_log_resolution_scaled+co2_scaled,0.2,3175,117,4,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,-482.7061481907023,973.4122963814046,973.4249146779346,997.6645480267118,117.0000505822155,0.8677050987022159,0.1842520481609692,-1.574827747942929,-0.32639783956001867,-3.2369253501146646,,-1.9171593432486131,,,,,,,2.029024533661982,3.0
no_pre_15_30kyr,15-30 kyr removed,strong_monsoon_start,Strong monsoon starts,baseline_lr04_pre_phase,Baseline + LR04 + precession phase,same_type_history_count+cheng_log_resolution_scaled+lr04_scaled+pre_phase_sin+pre_phase_cos,0.2,3175,117,6,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,-481.30405089578437,974.6081017915687,974.6346169430839,1010.9864792595295,116.99998491166926,1.3046069587367908,0.18425194474278617,-1.5876895480198754,-0.32567818615217653,-3.179391483495452,1.9536389568271908,,-0.1138949262357719,-0.027370563331289385,0.11713753437444398,4.476546972545274,256.4872483189102,1.2639921291271228,3.2387267988112853,4.0
no_pre_15_30kyr,15-30 kyr removed,strong_monsoon_start,Strong monsoon starts,baseline_climate_lr04_co2_pre_phase,Baseline + LR04 + CO2 + precession phase,same_type_history_count+cheng_log_resolution_scaled+lr04_scaled+co2_scaled+pre_phase_sin+pre_phase_cos,0.2,3175,117,7,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,-480.8707008571669,975.7414017143338,975.7767664127866,1018.1828420936214,117.00004497530286,1.2215098729498877,0.18425203933118553,-1.5731666953906533,-0.3443984923857136,-3.2467959138590357,1.398632213683137,-0.7189490247160405,-0.09986344748802188,-0.028499293275461125,0.10385045912943115,4.434395973417528,254.07217396663077,1.230844991230858,4.380876268514044,5.0
no_pre_15_30kyr,15-30 kyr removed,strong_monsoon_start,Strong monsoon starts,baseline_co2_pre_phase,Baseline + CO2 + precession phase,same_type_history_count+cheng_log_resolution_scaled+co2_scaled+pre_phase_sin+pre_phase_cos,0.2,3175,117,6,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,-482.5400783996621,977.0801567993242,977.1066719508393,1013.4585342672849,116.99998089364443,0.9088693174681354,0.18425193841518803,-1.573325442938075,-0.3286542165122186,-3.228103609207387,,-1.9287310844130243,-0.05467484013552371,-0.0521442130901248,0.07555367034521498,3.950677169632284,226.35712803861946,1.1631215016463439,5.710781806566729,6.0
no_pre_15_30kyr,15-30 kyr removed,strong_monsoon_start,Strong monsoon starts,history_resolution_baseline,History + resolution,same_type_history_count+cheng_log_resolution_scaled,0.2,3175,117,3,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,-491.8497919662126,989.6995839324252,989.7071525227752,1007.8887726664055,117.00002597257749,0.6565309568593778,0.18425200940563383,-1.682307734242538,-0.11899960273625854,-2.434781762441492,,,,,,,,,18.311262378502647,7.0
