variant_id,variant_label,driver,driver_label,event_type,event_label,n_events_total,n_phase_events_used,n_extrapolated_phase_events,mean_phase_rad,mean_phase_deg,mean_resultant_length,rayleigh_R,rayleigh_z,rayleigh_p
raw,Raw composite,obl,Obliquity,strong_monsoon_start,Strong monsoon starts,95,95,0,4.774849109553237,273.5787017891997,0.07826514670828173,7.435188937286765,0.581916152980542,0.5600436970565846
raw,Raw composite,obl,Obliquity,weak_monsoon_start,Weak monsoon starts,101,100,1,6.126818567700531,351.0408457716285,0.045654642429071454,4.5654642429071455,0.20843463753263713,0.812612030047565
raw,Raw composite,pre,Precession index,strong_monsoon_start,Strong monsoon starts,95,95,0,0.5138365090574061,29.440663328725066,0.19826060253810932,18.834757241120386,3.734190319283545,0.023481147660222905
raw,Raw composite,pre,Precession index,weak_monsoon_start,Weak monsoon starts,101,101,0,3.822337286867579,219.0037944129981,0.2848607767982804,28.770938456626325,8.195711877970092,0.00024186290694246476
no_pre_18_25kyr,18-25 kyr removed,obl,Obliquity,strong_monsoon_start,Strong monsoon starts,107,106,1,4.695843778644795,269.0520297691115,0.08498136802747287,9.008025010912124,0.7655142886530035,0.46613530654303703
no_pre_18_25kyr,18-25 kyr removed,obl,Obliquity,weak_monsoon_start,Weak monsoon starts,111,109,2,1.1498332880234505,65.8805945473941,0.04819866934466423,5.253654958568401,0.253219178198994,0.7770855331612601
no_pre_18_25kyr,18-25 kyr removed,pre,Precession index,strong_monsoon_start,Strong monsoon starts,107,107,0,4.2618942452585244,244.1885529844068,0.02078765074906358,2.224278630149803,0.04623752733215967,0.9550164297908263
no_pre_18_25kyr,18-25 kyr removed,pre,Precession index,weak_monsoon_start,Weak monsoon starts,111,111,0,3.3148486939613475,189.92683988843828,0.03265170934273013,3.624339737043045,0.11834088765323643,0.8888384309852304
no_pre_15_30kyr,15-30 kyr removed,obl,Obliquity,strong_monsoon_start,Strong monsoon starts,118,117,1,4.5115927801166755,258.49522518237916,0.14889532640631875,17.420753189539294,2.5938687324003715,0.07448262980624502
no_pre_15_30kyr,15-30 kyr removed,obl,Obliquity,weak_monsoon_start,Weak monsoon starts,113,111,2,4.285804073665029,245.55848524098155,0.02889951424331097,3.2078460810075176,0.09270519350842603,0.9118248458815897
no_pre_15_30kyr,15-30 kyr removed,pre,Precession index,strong_monsoon_start,Strong monsoon starts,118,118,0,3.3839459466332817,193.88582084248915,0.04484874377289201,5.2921517652012575,0.23734635852476932,0.7894172933694398
no_pre_15_30kyr,15-30 kyr removed,pre,Precession index,weak_monsoon_start,Weak monsoon starts,113,113,0,0.47149370778678457,27.014599523157276,0.027389964355097073,3.095065972125969,0.08477374665320417,0.9190498510069505
