dataset_id,dataset_label,driver_id,driver_label,best_lag_ka,best_info_bits_per_event,best_info_bits_per_bin,best_LR_p_value,best_LR_q_value_BH,best_delta_AICc_full_minus_reduced,analysis_type,lr04_control_lag_ka,co2_control_lag_ka
strong_monsoon_start,Strong monsoon starts,pre_phase,Precession phase,0.0,0.1192857041453053,0.003501612605555736,0.0005399078909025434,0.001412579330770742,-11.033989982864796,pre_phase_after_best_lr04_co2_lags,4.0,4.0
strong_monsoon_start,Strong monsoon starts,pre_phase,Precession phase,0.0,0.15977560896411455,0.004690187230882072,4.199041534938332e-05,0.0005746236170744734,-16.141904315531065,pre_phase_after_lr04_co2_same_lag,0.0,0.0
strong_monsoon_start,Strong monsoon starts,co2,CO2,4.0,0.10233569421143728,0.0030040477978196104,0.00032684298882537877,0.0052612456236672146,-10.906055799705086,single_driver_given_y_history,,
strong_monsoon_start,Strong monsoon starts,lr04,LR04,4.0,0.11465343722970607,0.0033656331573881457,0.00014287532106852855,0.0023935050515111085,-12.459973409308532,single_driver_given_y_history,,
strong_monsoon_start,Strong monsoon starts,pre_phase,Precession phase,0.0,0.14810407723571772,0.0043475712995001015,8.767523825620265e-05,0.00020655170637408514,-14.674692735283543,single_driver_given_y_history,,
weak_monsoon_start,Weak monsoon starts,pre_phase,Precession phase,0.0,0.09207346848819803,0.002673100698044459,0.0032024412870757615,0.034369010221446554,-7.473449687803736,pre_phase_after_best_lr04_co2_lags,0.0,0.6
weak_monsoon_start,Weak monsoon starts,pre_phase,Precession phase,0.8,0.09027004662480882,0.002620743289107353,0.0035837750617409236,0.042859751175496674,-7.248443067409426,pre_phase_after_lr04_co2_same_lag,0.8,0.8
weak_monsoon_start,Weak monsoon starts,co2,CO2,0.6,0.1103740812862523,0.003204408811536357,0.00020650079701808562,0.005375433442159342,-11.76710976456684,single_driver_given_y_history,,
weak_monsoon_start,Weak monsoon starts,lr04,LR04,0.0,0.07442220376787978,0.0021606446255190903,0.0023098781352594907,0.12340344489112454,-7.281520107781489,single_driver_given_y_history,,
weak_monsoon_start,Weak monsoon starts,pre_phase,Precession phase,0.0,0.06707293311995405,0.0019472787034825367,0.015233972631734816,0.1496196769409934,-4.359405253502928,single_driver_given_y_history,,
