analysis_type,dataset_id,dataset_label,curve_id,curve_label,lag_ka,reduced_terms,full_terms,ok,n_bins,n_events,df,loglik_reduced,loglik_full,ll_gain_nats,info_nats_per_bin,info_bits_per_bin,info_bits_per_event,LR_statistic,LR_p_value,delta_AICc_full_minus_reduced,expected_events_reduced,expected_events_full,max_rate_full_per_kyr,converged_reduced,converged_full,LR_q_value_BH
core_component_diagnostic_0_20kyr,strong_monsoon_start,Strong monsoon starts,lr04_after_ep_baseline,LR04 vs EP baseline,0.0,same_type_history_count+cheng_log_resolution_scaled,same_type_history_count+cheng_log_resolution_scaled+lr04_after_ep_baseline_lag,True,3100,91,1,-403.7683434289221,-398.40219242177704,5.366151007145049,0.001731016453917758,0.002497328853764348,0.08507384007329098,10.732302014290099,0.0010528139104254487,-8.72712988119224,90.99999416353539,90.99999618160236,0.8971600323734692,True,True,0.00443059187304043
core_component_diagnostic_0_20kyr,strong_monsoon_start,Strong monsoon starts,co2_after_ep_baseline,CO2 vs EP baseline,0.0,same_type_history_count+cheng_log_resolution_scaled,same_type_history_count+cheng_log_resolution_scaled+co2_after_ep_baseline_lag,True,3100,91,1,-403.7683434289221,-398.4818438668513,5.286499562070787,0.0017053224393776734,0.0024602602264068396,0.0838110626578154,10.572999124141575,0.0011475140429013703,-8.567826991043717,90.99999416353539,90.99999683304291,0.9016097424988996,True,True,0.0035120884343344968
core_component_diagnostic_0_20kyr,strong_monsoon_start,Strong monsoon starts,full_after_climate_state,Full predictive model vs climate-state,0.0,same_type_history_count+cheng_log_resolution_scaled+lr04_lag+co2_lag,same_type_history_count+cheng_log_resolution_scaled+lr04_lag+co2_lag+pre_phase_sin_lag+pre_phase_cos_lag,True,3100,91,2,-398.0069241096045,-387.1288260023947,10.87809810720978,0.003509063905551542,0.005062509094701668,0.17245910102829856,21.75619621441956,1.8866963898502053e-05,-17.73936607705059,91.000013644014,90.99986051688683,1.1654305031004526,True,True,0.0008645794738743556
core_component_diagnostic_0_20kyr,strong_monsoon_start,Strong monsoon starts,lr04_after_ep_baseline,LR04 vs EP baseline,0.2,same_type_history_count+cheng_log_resolution_scaled,same_type_history_count+cheng_log_resolution_scaled+lr04_after_ep_baseline_lag,True,3100,91,1,-403.7683434289221,-398.3257378592518,5.44260556967032,0.001755679216022684,0.0025329096983477493,0.08628593477887937,10.88521113934064,0.0009693512953877958,-8.880039006242782,90.99999416353539,91.00000164431384,0.9134268808857671,True,True,0.004256716558007277
core_component_diagnostic_0_20kyr,strong_monsoon_start,Strong monsoon starts,co2_after_ep_baseline,CO2 vs EP baseline,0.2,same_type_history_count+cheng_log_resolution_scaled,same_type_history_count+cheng_log_resolution_scaled+co2_after_ep_baseline_lag,True,3100,91,1,-403.7683434289221,-398.0890879681359,5.67925546078618,0.0018320178905761873,0.002643043125554125,0.09003773284854712,11.35851092157236,0.0007510301412255377,-9.353338788474503,90.99999416353539,91.00001802064267,0.9159963727959878,True,True,0.0031605851776574712
core_component_diagnostic_0_20kyr,strong_monsoon_start,Strong monsoon starts,full_after_climate_state,Full predictive model vs climate-state,0.2,same_type_history_count+cheng_log_resolution_scaled+lr04_lag+co2_lag,same_type_history_count+cheng_log_resolution_scaled+lr04_lag+co2_lag+pre_phase_sin_lag+pre_phase_cos_lag,True,3100,91,2,-397.74838745485056,-387.02767828591806,10.720709168932501,0.0034582932803008067,0.0049892625654296,0.1699638895915578,21.441418337865002,2.2082852205315478e-05,-17.424588200496032,91.0000368418555,91.00005161722572,1.239384013589814,True,True,0.0008645794738743556
core_component_diagnostic_0_20kyr,strong_monsoon_start,Strong monsoon starts,lr04_after_ep_baseline,LR04 vs EP baseline,0.4,same_type_history_count+cheng_log_resolution_scaled,same_type_history_count+cheng_log_resolution_scaled+lr04_after_ep_baseline_lag,True,3100,91,1,-403.7683434289221,-398.27411398784454,5.49422944107755,0.0017723320777669517,0.0025569346994028137,0.08710436888075519,10.9884588821551,0.0009168101535942024,-8.983286749057243,90.99999416353539,91.0000008735298,0.9287007682175266,True,True,0.004256716558007277
core_component_diagnostic_0_20kyr,strong_monsoon_start,Strong monsoon starts,co2_after_ep_baseline,CO2 vs EP baseline,0.4,same_type_history_count+cheng_log_resolution_scaled,same_type_history_count+cheng_log_resolution_scaled+co2_after_ep_baseline_lag,True,3100,91,1,-403.7683434289221,-398.16043482633904,5.607908602583052,0.0018090027750267909,0.002609839332485525,0.08890661462313326,11.215817205166104,0.0008110308748911875,-9.210645072068246,90.99999416353539,90.99996134937027,0.951912502308456,True,True,0.003276564734560398
core_component_diagnostic_0_20kyr,strong_monsoon_start,Strong monsoon starts,full_after_climate_state,Full predictive model vs climate-state,0.4,same_type_history_count+cheng_log_resolution_scaled+lr04_lag+co2_lag,same_type_history_count+cheng_log_resolution_scaled+lr04_lag+co2_lag+pre_phase_sin_lag+pre_phase_cos_lag,True,3100,91,2,-397.76297504150557,-387.2778088563237,10.485166185181868,0.003382311672639312,0.0048796442768575905,0.16622964020064318,20.970332370363735,2.7947964564535332e-05,-16.953502232994765,91.00001536247014,90.99979030415858,1.2697688136716403,True,True,0.0008645794738743556
core_component_diagnostic_0_20kyr,strong_monsoon_start,Strong monsoon starts,lr04_after_ep_baseline,LR04 vs EP baseline,0.6,same_type_history_count+cheng_log_resolution_scaled,same_type_history_count+cheng_log_resolution_scaled+lr04_after_ep_baseline_lag,True,3100,91,1,-403.7683434289221,-398.2632730907296,5.505070338192468,0.001775829141352409,0.0025619798956952266,0.08727623820500222,11.010140676384935,0.000906147685819706,-9.004968543287077,90.99999416353539,91.00000224462467,0.9420637959679234,True,True,0.004256716558007277
