analysis_type,dataset_id,dataset_label,driver_id,driver_label,lag_ka,lr04_control_lag_ka,co2_control_lag_ka,reduced_terms,full_terms,ok,n_bins,n_events,df,loglik_reduced,loglik_full,ll_gain_nats,info_nats_per_bin,info_bits_per_bin,info_bits_per_event,LR_statistic,LR_p_value,delta_AICc_full_minus_reduced,expected_events_reduced,expected_events_full,max_rate_full_per_kyr,converged_reduced,converged_full,LR_q_value_BH
pre_phase_after_best_lr04_co2_lags,strong_monsoon_start,Strong monsoon starts,pre_phase,Precession phase,0.0,2.4,1.8,same_type_history_count+cheng_log_resolution_scaled+lr04_best_lag+co2_best_lag,same_type_history_count+cheng_log_resolution_scaled+lr04_best_lag+co2_best_lag+pre_phase_sin_lag+pre_phase_cos_lag,True,3100,91,2,-395.99014518554395,-386.64629096907674,9.343854216467207,0.0030141465214410345,0.0043484942389957005,0.14813551803172167,18.687708432934414,8.750153547515346e-05,-14.670878295565444,91.00000696087979,91.0000025973091,1.4230634114358893,True,True,0.00037490301694634146
pre_phase_after_best_lr04_co2_lags,strong_monsoon_start,Strong monsoon starts,pre_phase,Precession phase,0.2,2.4,1.8,same_type_history_count+cheng_log_resolution_scaled+lr04_best_lag+co2_best_lag,same_type_history_count+cheng_log_resolution_scaled+lr04_best_lag+co2_best_lag+pre_phase_sin_lag+pre_phase_cos_lag,True,3100,91,2,-395.99014518554395,-386.6779829797263,9.312162205817629,0.0030039232921992352,0.004333745236866685,0.1476330794976563,18.624324411635257,9.03190455308524e-05,-14.607494274266287,91.00000696087979,91.0000229445574,1.4222762700473652,True,True,0.00037490301694634146
pre_phase_after_best_lr04_co2_lags,strong_monsoon_start,Strong monsoon starts,pre_phase,Precession phase,0.4,2.4,1.8,same_type_history_count+cheng_log_resolution_scaled+lr04_best_lag+co2_best_lag,same_type_history_count+cheng_log_resolution_scaled+lr04_best_lag+co2_best_lag+pre_phase_sin_lag+pre_phase_cos_lag,True,3100,91,2,-395.99014518554395,-386.71037662442797,9.279768561115986,0.0029934737293922536,0.004318669704425595,0.1471195174035093,18.559537122231973,9.329271252785212e-05,-14.542706984863003,91.00000696087979,91.00021875564246,1.421405427136237,True,True,0.00037490301694634146
pre_phase_after_best_lr04_co2_lags,strong_monsoon_start,Strong monsoon starts,pre_phase,Precession phase,0.6,2.4,1.8,same_type_history_count+cheng_log_resolution_scaled+lr04_best_lag+co2_best_lag,same_type_history_count+cheng_log_resolution_scaled+lr04_best_lag+co2_best_lag+pre_phase_sin_lag+pre_phase_cos_lag,True,3100,91,2,-395.99014518554395,-386.7428765420034,9.247268643540565,0.0029829898850130855,0.004303544714130318,0.14660427048136246,18.49453728708113,9.637452608097849e-05,-14.47770714971216,91.00000696087979,91.00000114129767,1.4205692267077101,True,True,0.00037490301694634146
pre_phase_after_best_lr04_co2_lags,strong_monsoon_start,Strong monsoon starts,pre_phase,Precession phase,0.8,2.4,1.8,same_type_history_count+cheng_log_resolution_scaled+lr04_best_lag+co2_best_lag,same_type_history_count+cheng_log_resolution_scaled+lr04_best_lag+co2_best_lag+pre_phase_sin_lag+pre_phase_cos_lag,True,3100,91,2,-395.99014518554395,-386.7755257386316,9.214619446912366,0.002972457886100763,0.004288350251528862,0.14608665692021397,18.42923889382473,9.957300672602752e-05,-14.412408756455761,91.00000696087979,91.00000418748407,1.4197459472140637,True,True,0.00037490301694634146
pre_phase_after_best_lr04_co2_lags,strong_monsoon_start,Strong monsoon starts,pre_phase,Precession phase,1.0,2.4,1.8,same_type_history_count+cheng_log_resolution_scaled+lr04_best_lag+co2_best_lag,same_type_history_count+cheng_log_resolution_scaled+lr04_best_lag+co2_best_lag+pre_phase_sin_lag+pre_phase_cos_lag,True,3100,91,2,-395.99014518554395,-386.8094217566562,9.180723428887745,0.002961523686737982,0.004272575536332088,0.14554927651241178,18.36144685777549,0.00010300598868132181,-14.34461672040652,91.00000696087979,90.99997699432907,1.4188216528847257,True,True,0.00037490301694634146
pre_phase_after_best_lr04_co2_lags,strong_monsoon_start,Strong monsoon starts,pre_phase,Precession phase,1.2,2.4,1.8,same_type_history_count+cheng_log_resolution_scaled+lr04_best_lag+co2_best_lag,same_type_history_count+cheng_log_resolution_scaled+lr04_best_lag+co2_best_lag+pre_phase_sin_lag+pre_phase_cos_lag,True,3100,91,2,-395.99014518554395,-386.8445799691701,9.145565216373825,0.002950182327862524,0.004256213414125522,0.14499188553614414,18.29113043274765,0.00010669191066292587,-14.27430029537868,91.00000696087979,91.00004130923054,1.4177881825437764,True,True,0.00037490301694634146
pre_phase_after_best_lr04_co2_lags,strong_monsoon_start,Strong monsoon starts,pre_phase,Precession phase,1.4,2.4,1.8,same_type_history_count+cheng_log_resolution_scaled+lr04_best_lag+co2_best_lag,same_type_history_count+cheng_log_resolution_scaled+lr04_best_lag+co2_best_lag+pre_phase_sin_lag+pre_phase_cos_lag,True,3100,91,2,-395.99014518554395,-386.8797540466501,9.110391138893874,0.0029388358512560885,0.004239843908593854,0.1444342430400104,18.220782277787748,0.00011051148133787581,-14.203952140418778,91.00000696087979,90.99995465330535,1.4167326870154324,True,True,0.00037490301694634146
pre_phase_after_best_lr04_co2_lags,strong_monsoon_start,Strong monsoon starts,pre_phase,Precession phase,1.6,2.4,1.8,same_type_history_count+cheng_log_resolution_scaled+lr04_best_lag+co2_best_lag,same_type_history_count+cheng_log_resolution_scaled+lr04_best_lag+co2_best_lag+pre_phase_sin_lag+pre_phase_cos_lag,True,3100,91,2,-395.99014518554395,-386.91606243515326,9.074082750390687,0.0029271234678679638,0.004222946511162816,0.1438586174132388,18.148165500781374,0.00011459770840028413,-14.131335363412404,91.00000696087979,90.99997637317236,1.4155721450161667,True,True,0.00037490301694634146
pre_phase_after_best_lr04_co2_lags,strong_monsoon_start,Strong monsoon starts,pre_phase,Precession phase,1.8,2.4,1.8,same_type_history_count+cheng_log_resolution_scaled+lr04_best_lag+co2_best_lag,same_type_history_count+cheng_log_resolution_scaled+lr04_best_lag+co2_best_lag+pre_phase_sin_lag+pre_phase_cos_lag,True,3100,91,2,-395.99014518554395,-386.952387658881,9.037757526662972,0.002915405653762249,0.0042060412788624425,0.14328272488432497,18.075515053325944,0.00011883702674440204,-14.058684915956974,91.00000696087979,90.99999732586923,1.414371417852475,True,True,0.00037490301694634146
