analysis_type,dataset_id,dataset_label,driver_id,driver_label,lag_ka,lr04_control_lag_ka,co2_control_lag_ka,reduced_terms,full_terms,ok,n_bins,n_events,df,loglik_reduced,loglik_full,ll_gain_nats,info_nats_per_bin,info_bits_per_bin,info_bits_per_event,LR_statistic,LR_p_value,delta_AICc_full_minus_reduced,expected_events_reduced,expected_events_full,max_rate_full_per_kyr,converged_reduced,converged_full,LR_q_value_BH
pre_phase_after_lr04_co2_same_lag,strong_monsoon_start,Strong monsoon starts,pre_phase,Precession phase,0.0,0.0,0.0,same_type_history_count+cheng_log_resolution_scaled+lr04_lag+co2_lag,same_type_history_count+cheng_log_resolution_scaled+lr04_lag+co2_lag+pre_phase_sin_lag+pre_phase_cos_lag,True,3100,91,2,-398.0069241096045,-387.1288260023947,10.87809810720978,0.003509063905551542,0.005062509094701668,0.17245910102829856,21.75619621441956,1.8866963898502053e-05,-17.73936607705059,91.000013644014,90.99986051688683,1.1654305031004526,True,True,0.0008645794738743556
pre_phase_after_lr04_co2_same_lag,strong_monsoon_start,Strong monsoon starts,pre_phase,Precession phase,0.2,0.2,0.2,same_type_history_count+cheng_log_resolution_scaled+lr04_lag+co2_lag,same_type_history_count+cheng_log_resolution_scaled+lr04_lag+co2_lag+pre_phase_sin_lag+pre_phase_cos_lag,True,3100,91,2,-397.74838745485056,-387.02767828591806,10.720709168932501,0.0034582932803008067,0.0049892625654296,0.1699638895915578,21.441418337865002,2.2082852205315478e-05,-17.424588200496032,91.0000368418555,91.00005161722572,1.239384013589814,True,True,0.0008645794738743556
pre_phase_after_lr04_co2_same_lag,strong_monsoon_start,Strong monsoon starts,pre_phase,Precession phase,0.4,0.4,0.4,same_type_history_count+cheng_log_resolution_scaled+lr04_lag+co2_lag,same_type_history_count+cheng_log_resolution_scaled+lr04_lag+co2_lag+pre_phase_sin_lag+pre_phase_cos_lag,True,3100,91,2,-397.76297504150557,-387.2778088563237,10.485166185181868,0.003382311672639312,0.0048796442768575905,0.16622964020064318,20.970332370363735,2.7947964564535332e-05,-16.953502232994765,91.00001536247014,90.99979030415858,1.2697688136716403,True,True,0.0008645794738743556
pre_phase_after_lr04_co2_same_lag,strong_monsoon_start,Strong monsoon starts,pre_phase,Precession phase,0.6,0.6,0.6,same_type_history_count+cheng_log_resolution_scaled+lr04_lag+co2_lag,same_type_history_count+cheng_log_resolution_scaled+lr04_lag+co2_lag+pre_phase_sin_lag+pre_phase_cos_lag,True,3100,91,2,-397.80084408449295,-387.56308144648096,10.237762638011986,0.00330250407677806,0.0047645062540832925,0.16230735590833192,20.475525276023973,3.579284166609589e-05,-16.458695138655003,91.00002976919728,90.99988745178274,1.2575983470106973,True,True,0.0008645794738743556
pre_phase_after_lr04_co2_same_lag,strong_monsoon_start,Strong monsoon starts,pre_phase,Precession phase,0.8,0.8,0.8,same_type_history_count+cheng_log_resolution_scaled+lr04_lag+co2_lag,same_type_history_count+cheng_log_resolution_scaled+lr04_lag+co2_lag+pre_phase_sin_lag+pre_phase_cos_lag,True,3100,91,2,-397.6146771946874,-387.5557272636643,10.05894993102305,0.0032448225583945325,0.0046812894135604315,0.1594724965059048,20.1178998620461,4.280096405318592e-05,-16.10106972467713,91.0000168309734,90.99999052711937,1.2669136729371089,True,True,0.0008645794738743556
pre_phase_after_lr04_co2_same_lag,strong_monsoon_start,Strong monsoon starts,pre_phase,Precession phase,1.0,1.0,1.0,same_type_history_count+cheng_log_resolution_scaled+lr04_lag+co2_lag,same_type_history_count+cheng_log_resolution_scaled+lr04_lag+co2_lag+pre_phase_sin_lag+pre_phase_cos_lag,True,3100,91,2,-397.46653517601794,-387.610283814716,9.85625136130193,0.003179435923000622,0.004586956438937222,0.15625895561214714,19.71250272260386,5.2418479777414844e-05,-15.695672585234888,91.00000816030077,91.00007931654046,1.278774812309884,True,True,0.0008823777429198165
pre_phase_after_lr04_co2_same_lag,strong_monsoon_start,Strong monsoon starts,pre_phase,Precession phase,1.2,1.2,1.2,same_type_history_count+cheng_log_resolution_scaled+lr04_lag+co2_lag,same_type_history_count+cheng_log_resolution_scaled+lr04_lag+co2_lag+pre_phase_sin_lag+pre_phase_cos_lag,True,3100,91,2,-397.0728226268318,-387.37347333228615,9.699349294545641,0.003128822353079239,0.004513936492609955,0.1537714629350644,19.398698589091282,6.132338553478486e-05,-15.381868451722312,90.99997359590992,90.99999494453874,1.3765660069120171,True,True,0.0008848088484304673
pre_phase_after_lr04_co2_same_lag,strong_monsoon_start,Strong monsoon starts,pre_phase,Precession phase,1.4,1.4,1.4,same_type_history_count+cheng_log_resolution_scaled+lr04_lag+co2_lag,same_type_history_count+cheng_log_resolution_scaled+lr04_lag+co2_lag+pre_phase_sin_lag+pre_phase_cos_lag,True,3100,91,2,-396.72541511458184,-387.1944650547839,9.53095005979793,0.003074500019289655,0.0044355659310422076,0.1511016965519873,19.06190011959586,7.257064477833733e-05,-15.045069982226892,90.99999277130402,90.99991535610968,1.4430774958823966,True,True,0.0009162043903265089
pre_phase_after_lr04_co2_same_lag,strong_monsoon_start,Strong monsoon starts,pre_phase,Precession phase,1.6,1.6,1.6,same_type_history_count+cheng_log_resolution_scaled+lr04_lag+co2_lag,same_type_history_count+cheng_log_resolution_scaled+lr04_lag+co2_lag+pre_phase_sin_lag+pre_phase_cos_lag,True,3100,91,2,-396.4563107719908,-387.11592058421115,9.340390187779633,0.0030130290928321395,0.0043468821302831,0.14808060004261112,18.680780375559266,8.780516889806934e-05,-14.663950238190296,90.99997216178127,91.00007566549164,1.4445742130927743,True,True,0.0009853691176338892
pre_phase_after_lr04_co2_same_lag,strong_monsoon_start,Strong monsoon starts,pre_phase,Precession phase,1.8,1.8,1.8,same_type_history_count+cheng_log_resolution_scaled+lr04_lag+co2_lag,same_type_history_count+cheng_log_resolution_scaled+lr04_lag+co2_lag+pre_phase_sin_lag+pre_phase_cos_lag,True,3100,91,2,-396.12267038058906,-386.961762224449,9.160908156140067,0.0029551316632709895,0.00426335379577501,0.14523512930662122,18.321816312280134,0.00010506743707172727,-14.304986174911164,91.00000952381943,91.00002438911591,1.4209540279903368,True,True,0.0010611811144244454
pre_phase_after_lr04_co2_same_lag,strong_monsoon_start,Strong monsoon starts,pre_phase,Precession phase,2.0,2.0,2.0,same_type_history_count+cheng_log_resolution_scaled+lr04_lag+co2_lag,same_type_history_count+cheng_log_resolution_scaled+lr04_lag+co2_lag+pre_phase_sin_lag+pre_phase_cos_lag,True,3100,91,2,-396.2756236313918,-387.3702264268445,8.905397204547285,0.0028727087756604142,0.004144442704563486,0.14118431191370118,17.81079440909457,0.000135654790471015,-13.7939642717256,90.9999988979119,90.99997846275684,1.4459394034504653,True,True,0.0012455576215975013
pre_phase_after_lr04_co2_same_lag,strong_monsoon_start,Strong monsoon starts,pre_phase,Precession phase,2.2,2.2,2.2,same_type_history_count+cheng_log_resolution_scaled+lr04_lag+co2_lag,same_type_history_count+cheng_log_resolution_scaled+lr04_lag+co2_lag+pre_phase_sin_lag+pre_phase_cos_lag,True,3100,91,2,-396.7509298609191,-388.19682818379493,8.554101677124152,0.002759387637781984,0.00398095486091838,0.13561494581150527,17.108203354248303,0.0001927528659047663,-13.091373216879333,90.9999982753427,91.00000858656345,1.3751569260109717,True,True,0.0015254913538662344
pre_phase_after_lr04_co2_same_lag,strong_monsoon_start,Strong monsoon starts,pre_phase,Precession phase,2.4,2.4,2.4,same_type_history_count+cheng_log_resolution_scaled+lr04_lag+co2_lag,same_type_history_count+cheng_log_resolution_scaled+lr04_lag+co2_lag+pre_phase_sin_lag+pre_phase_cos_lag,True,3100,91,2,-396.60846707135306,-388.2472678159322,8.361199255420843,0.002697161050135756,0.003891180871509724,0.13255671100747413,16.722398510841685,0.00023376382306877633,-12.705568373472715,90.99996511166756,91.00004075320945,1.3676734548054854,True,True,0.0015254913538662344
pre_phase_after_lr04_co2_same_lag,strong_monsoon_start,Strong monsoon starts,pre_phase,Precession phase,2.6,2.6,2.6,same_type_history_count+cheng_log_resolution_scaled+lr04_lag+co2_lag,same_type_history_count+cheng_log_resolution_scaled+lr04_lag+co2_lag+pre_phase_sin_lag+pre_phase_cos_lag,True,3100,91,2,-396.5708733896249,-388.39676111060527,8.174112279019653,0.002636810412586985,0.0038041133060036244,0.12959067306166194,16.348224558039306,0.00028185655715221573,-12.331394420670335,90.99994627036466,90.99985744754571,1.2431335507197208,True,True,0.0015254913538662344
pre_phase_after_lr04_co2_same_lag,strong_monsoon_start,Strong monsoon starts,pre_phase,Precession phase,2.8,2.8,2.8,same_type_history_count+cheng_log_resolution_scaled+lr04_lag+co2_lag,same_type_history_count+cheng_log_resolution_scaled+lr04_lag+co2_lag+pre_phase_sin_lag+pre_phase_cos_lag,True,3100,91,2,-396.511906379659,-388.50773457358434,8.00417180607468,0.002581990905185381,0.0037250254745313546,0.12689647220930989,16.00834361214936,0.0003340660580084709,-11.99151347478039,91.00002092046296,91.00004605188951,1.2788828181976573,True,True,0.0015254913538662344
pre_phase_after_lr04_co2_same_lag,strong_monsoon_start,Strong monsoon starts,pre_phase,Precession phase,3.0,3.0,3.0,same_type_history_count+cheng_log_resolution_scaled+lr04_lag+co2_lag,same_type_history_count+cheng_log_resolution_scaled+lr04_lag+co2_lag+pre_phase_sin_lag+pre_phase_cos_lag,True,3100,91,2,-396.56288250594196,-388.7501450644859,7.812737441456079,0.002520237884340671,0.0036359346975987786,0.12386151167644191,15.625474882912158,0.00040454910119379426,-11.608644745543188,90.99999516206165,91.00003195181506,1.2658798466681633,True,True,0.0015254913538662344
pre_phase_after_lr04_co2_same_lag,strong_monsoon_start,Strong monsoon starts,pre_phase,Precession phase,3.2,3.2,3.2,same_type_history_count+cheng_log_resolution_scaled+lr04_lag+co2_lag,same_type_history_count+cheng_log_resolution_scaled+lr04_lag+co2_lag+pre_phase_sin_lag+pre_phase_cos_lag,True,3100,91,2,-396.47523775075274,-388.8069954558987,7.668242294854053,0.002473626546727114,0.0035686887519744996,0.12157071572660383,15.336484589708107,0.00046743872148979486,-11.319654452339137,90.99999525235478,90.99985122304338,1.2364846860287038,True,True,0.0015254913538662344
pre_phase_after_lr04_co2_same_lag,strong_monsoon_start,Strong monsoon starts,pre_phase,Precession phase,3.4,3.4,3.4,same_type_history_count+cheng_log_resolution_scaled+lr04_lag+co2_lag,same_type_history_count+cheng_log_resolution_scaled+lr04_lag+co2_lag+pre_phase_sin_lag+pre_phase_cos_lag,True,3100,91,2,-396.60879989230966,-389.1448079120137,7.463991980295987,0.0024077393484825764,0.0034736336178090364,0.11833257379349466,14.927983960591973,0.0005733627440975634,-10.911153823223003,91.00000909689103,91.00002719508001,1.2514481490804084,True,True,0.0015732919526684694
pre_phase_after_lr04_co2_same_lag,strong_monsoon_start,Strong monsoon starts,pre_phase,Precession phase,3.6,3.6,3.6,same_type_history_count+cheng_log_resolution_scaled+lr04_lag+co2_lag,same_type_history_count+cheng_log_resolution_scaled+lr04_lag+co2_lag+pre_phase_sin_lag+pre_phase_cos_lag,True,3100,91,2,-396.6073335370736,-389.3337363224382,7.2735972146354015,0.002346321682140452,0.003385026655154281,0.11531409484591507,14.547194429270803,0.0006936124279407986,-10.530364291901833,91.00000788024343,91.00005770976166,1.2196955494029602,True,True,0.0016982548846964896
pre_phase_after_lr04_co2_same_lag,strong_monsoon_start,Strong monsoon starts,pre_phase,Precession phase,3.8,3.8,3.8,same_type_history_count+cheng_log_resolution_scaled+lr04_lag+co2_lag,same_type_history_count+cheng_log_resolution_scaled+lr04_lag+co2_lag+pre_phase_sin_lag+pre_phase_cos_lag,True,3100,91,2,-396.4332465392357,-389.28566680928725,7.147579729948461,0.002305670880628536,0.0033263799454048776,0.11331623989840792,14.295159459896922,0.0007867659649490732,-10.278329322527952,91.00000981466576,91.00002648532084,1.2227150227212347,True,True,0.0017658524991079198
