driver,driver_label,age_ka,source,value,phase_unwrapped_rad,phase_rad,phase_deg,phase_extrapolated
pre,Precession index,0.0,data/raw/pre_800_inter100.txt,0.01628,2.842393353247908,2.842393353247908,162.85714285714286,True
pre,Precession index,0.1,data/raw/pre_800_inter100.txt,0.016431,2.8723132832820966,2.8723132832820966,164.57142857142858,True
pre,Precession index,0.2,data/raw/pre_800_inter100.txt,0.016568,2.902233213316285,2.902233213316285,166.28571428571428,True
pre,Precession index,0.3,data/raw/pre_800_inter100.txt,0.01669,2.9321531433504737,2.9321531433504737,168.0,True
pre,Precession index,0.4,data/raw/pre_800_inter100.txt,0.016798,2.962073073384662,2.962073073384662,169.71428571428572,True
pre,Precession index,0.5,data/raw/pre_800_inter100.txt,0.016891,2.9919930034188504,2.9919930034188504,171.42857142857142,True
pre,Precession index,0.6,data/raw/pre_800_inter100.txt,0.016968,3.0219129334530392,3.0219129334530392,173.14285714285714,True
pre,Precession index,0.7,data/raw/pre_800_inter100.txt,0.017029,3.0518328634872276,3.0518328634872276,174.85714285714286,True
pre,Precession index,0.8,data/raw/pre_800_inter100.txt,0.017075,3.081752793521416,3.081752793521416,176.57142857142856,True
pre,Precession index,0.9,data/raw/pre_800_inter100.txt,0.017104,3.1116727235556048,3.1116727235556048,178.2857142857143,True
pre,Precession index,1.0,data/raw/pre_800_inter100.txt,0.017116,3.141592653589793,3.141592653589793,180.0,False
pre,Precession index,1.1,data/raw/pre_800_inter100.txt,0.017109,3.1715125836239815,3.1715125836239815,181.7142857142857,False
pre,Precession index,1.2,data/raw/pre_800_inter100.txt,0.017085,3.2014325136581703,3.2014325136581703,183.42857142857144,False
pre,Precession index,1.3,data/raw/pre_800_inter100.txt,0.017045,3.2313524436923586,3.2313524436923586,185.14285714285714,False
pre,Precession index,1.4,data/raw/pre_800_inter100.txt,0.016988,3.261272373726547,3.261272373726547,186.85714285714286,False
pre,Precession index,1.5,data/raw/pre_800_inter100.txt,0.016914,3.291192303760736,3.291192303760736,188.57142857142858,False
pre,Precession index,1.6,data/raw/pre_800_inter100.txt,0.016824,3.321112233794924,3.321112233794924,190.28571428571428,False
