order,start_time_ka_BP,original_value_in_SOM,CI_label,source_table,source_row_index_after_header,event_age_ka,event_index,event_type,event_label,source
1,10.824,"10,824",,Extended Data Table S1,2,10.824,1,strong_monsoon_start,Strong monsoon starts,data/raw/rousseau_2023_strong_monsoon_start_times.csv
2,11.514,"11,514",,Extended Data Table S1,3,11.514,2,strong_monsoon_start,Strong monsoon starts,data/raw/rousseau_2023_strong_monsoon_start_times.csv
3,14.617,"14,617",A1,Extended Data Table S1,5,14.617,3,strong_monsoon_start,Strong monsoon starts,data/raw/rousseau_2023_strong_monsoon_start_times.csv
4,23.685,"23,685",A2,Extended Data Table S1,7,23.685,4,strong_monsoon_start,Strong monsoon starts,data/raw/rousseau_2023_strong_monsoon_start_times.csv
5,27.955,"27,955",A3,Extended Data Table S1,11,27.955,5,strong_monsoon_start,Strong monsoon starts,data/raw/rousseau_2023_strong_monsoon_start_times.csv
6,29.43,"29,430",A4,Extended Data Table S1,13,29.43,6,strong_monsoon_start,Strong monsoon starts,data/raw/rousseau_2023_strong_monsoon_start_times.csv
7,32.675,"32,675",A5,Extended Data Table S1,16,32.675,7,strong_monsoon_start,Strong monsoon starts,data/raw/rousseau_2023_strong_monsoon_start_times.csv
8,33.995,"33,995",A6,Extended Data Table S1,18,33.995,8,strong_monsoon_start,Strong monsoon starts,data/raw/rousseau_2023_strong_monsoon_start_times.csv
9,35.535,"35,535",A7,Extended Data Table S1,20,35.535,9,strong_monsoon_start,Strong monsoon starts,data/raw/rousseau_2023_strong_monsoon_start_times.csv
10,38.305,"38,305",A8,Extended Data Table S1,22,38.305,10,strong_monsoon_start,Strong monsoon starts,data/raw/rousseau_2023_strong_monsoon_start_times.csv
11,41.595,"41,595",A10,Extended Data Table S1,24,41.595,11,strong_monsoon_start,Strong monsoon starts,data/raw/rousseau_2023_strong_monsoon_start_times.csv
12,43.615,"43,615",A11,Extended Data Table S1,26,43.615,12,strong_monsoon_start,Strong monsoon starts,data/raw/rousseau_2023_strong_monsoon_start_times.csv
13,47.25,"47,250",A12,Extended Data Table S1,29,47.25,13,strong_monsoon_start,Strong monsoon starts,data/raw/rousseau_2023_strong_monsoon_start_times.csv
14,49.65,"49,650",A13,Extended Data Table S1,32,49.65,14,strong_monsoon_start,Strong monsoon starts,data/raw/rousseau_2023_strong_monsoon_start_times.csv
15,53.8,"53,800",A14,Extended Data Table S1,33,53.8,15,strong_monsoon_start,Strong monsoon starts,data/raw/rousseau_2023_strong_monsoon_start_times.csv
16,54.37,"54,370",,Extended Data Table S1,34,54.37,16,strong_monsoon_start,Strong monsoon starts,data/raw/rousseau_2023_strong_monsoon_start_times.csv
17,55.745,"55,745",A15,Extended Data Table S1,36,55.745,17,strong_monsoon_start,Strong monsoon starts,data/raw/rousseau_2023_strong_monsoon_start_times.csv
18,58.21,"58,210",A16,Extended Data Table S1,38,58.21,18,strong_monsoon_start,Strong monsoon starts,data/raw/rousseau_2023_strong_monsoon_start_times.csv
19,59.785,"59,785",A17,Extended Data Table S1,39,59.785,19,strong_monsoon_start,Strong monsoon starts,data/raw/rousseau_2023_strong_monsoon_start_times.csv
20,65.48,"65,480",A18,Extended Data Table S1,40,65.48,20,strong_monsoon_start,Strong monsoon starts,data/raw/rousseau_2023_strong_monsoon_start_times.csv
21,69.18,"69,180",,Extended Data Table S1,42,69.18,21,strong_monsoon_start,Strong monsoon starts,data/raw/rousseau_2023_strong_monsoon_start_times.csv
22,72.285,"72,285",A19,Extended Data Table S1,45,72.285,22,strong_monsoon_start,Strong monsoon starts,data/raw/rousseau_2023_strong_monsoon_start_times.csv
23,75.28,"75,280",,Extended Data Table S1,47,75.28,23,strong_monsoon_start,Strong monsoon starts,data/raw/rousseau_2023_strong_monsoon_start_times.csv
24,76.245,"76,245",A20,Extended Data Table S1,48,76.245,24,strong_monsoon_start,Strong monsoon starts,data/raw/rousseau_2023_strong_monsoon_start_times.csv
25,84.13,"84,130",,Extended Data Table S1,51,84.13,25,strong_monsoon_start,Strong monsoon starts,data/raw/rousseau_2023_strong_monsoon_start_times.csv
26,85.0,"85,000",A21,Extended Data Table S1,52,85.0,26,strong_monsoon_start,Strong monsoon starts,data/raw/rousseau_2023_strong_monsoon_start_times.csv
27,89.79,"89,790",A22,Extended Data Table S1,54,89.79,27,strong_monsoon_start,Strong monsoon starts,data/raw/rousseau_2023_strong_monsoon_start_times.csv
28,105.15,"105,150",A23,Extended Data Table S1,57,105.15,28,strong_monsoon_start,Strong monsoon starts,data/raw/rousseau_2023_strong_monsoon_start_times.csv
29,108.55,"108,550",A24,Extended Data Table S1,60,108.55,29,strong_monsoon_start,Strong monsoon starts,data/raw/rousseau_2023_strong_monsoon_start_times.csv
30,128.55,"128,550",,Extended Data Table S1,65,128.55,30,strong_monsoon_start,Strong monsoon starts,data/raw/rousseau_2023_strong_monsoon_start_times.csv
31,130.45,"130,450",?,Extended Data Table S1,66,130.45,31,strong_monsoon_start,Strong monsoon starts,data/raw/rousseau_2023_strong_monsoon_start_times.csv
32,147.65,"147,650",B7,Extended Data Table S1,67,147.65,32,strong_monsoon_start,Strong monsoon starts,data/raw/rousseau_2023_strong_monsoon_start_times.csv
33,149.05,"149,050",B8,Extended Data Table S1,68,149.05,33,strong_monsoon_start,Strong monsoon starts,data/raw/rousseau_2023_strong_monsoon_start_times.csv
34,151.75,"151,750",B10,Extended Data Table S1,70,151.75,34,strong_monsoon_start,Strong monsoon starts,data/raw/rousseau_2023_strong_monsoon_start_times.csv
35,157.05,"157,050",B11,Extended Data Table S1,71,157.05,35,strong_monsoon_start,Strong monsoon starts,data/raw/rousseau_2023_strong_monsoon_start_times.csv
36,158.15,"158,150",,Extended Data Table S1,72,158.15,36,strong_monsoon_start,Strong monsoon starts,data/raw/rousseau_2023_strong_monsoon_start_times.csv
37,160.5,"160,500",B12,Extended Data Table S1,74,160.5,37,strong_monsoon_start,Strong monsoon starts,data/raw/rousseau_2023_strong_monsoon_start_times.csv
38,163.8,"163,800",B13,Extended Data Table S1,76,163.8,38,strong_monsoon_start,Strong monsoon starts,data/raw/rousseau_2023_strong_monsoon_start_times.csv
39,168.75,"168,750",,Extended Data Table S1,79,168.75,39,strong_monsoon_start,Strong monsoon starts,data/raw/rousseau_2023_strong_monsoon_start_times.csv
40,169.55,"169,550",B15,Extended Data Table S1,80,169.55,40,strong_monsoon_start,Strong monsoon starts,data/raw/rousseau_2023_strong_monsoon_start_times.csv
41,173.15,"173,150",B16,Extended Data Table S1,83,173.15,41,strong_monsoon_start,Strong monsoon starts,data/raw/rousseau_2023_strong_monsoon_start_times.csv
42,176.25,"176,250",B17,Extended Data Table S1,86,176.25,42,strong_monsoon_start,Strong monsoon starts,data/raw/rousseau_2023_strong_monsoon_start_times.csv
43,177.95,"177,950",,Extended Data Table S1,87,177.95,43,strong_monsoon_start,Strong monsoon starts,data/raw/rousseau_2023_strong_monsoon_start_times.csv
44,182.55,"182,550",,Extended Data Table S1,90,182.55,44,strong_monsoon_start,Strong monsoon starts,data/raw/rousseau_2023_strong_monsoon_start_times.csv
45,190.65,"190,650",B19,Extended Data Table S1,93,190.65,45,strong_monsoon_start,Strong monsoon starts,data/raw/rousseau_2023_strong_monsoon_start_times.csv
46,192.75,"192,750",B20,Extended Data Table S1,95,192.75,46,strong_monsoon_start,Strong monsoon starts,data/raw/rousseau_2023_strong_monsoon_start_times.csv
