dataset_id,window_center_ka,observed_event_count,expected_event_count,fixed_n_mc_q025,fixed_n_mc_q500,fixed_n_mc_q975
rousseau2023_strong_monsoon_starts,10.0,3.0,3.0,0.0,3.0,7.0
rousseau2023_strong_monsoon_starts,10.2,3.0,3.0,0.0,3.0,7.0
rousseau2023_strong_monsoon_starts,10.399999999999999,3.0,3.0,0.0,3.0,7.0
rousseau2023_strong_monsoon_starts,10.599999999999998,3.0,3.0,0.0,3.0,7.0
rousseau2023_strong_monsoon_starts,10.799999999999997,3.0,3.0,0.0,3.0,7.0
rousseau2023_strong_monsoon_starts,10.999999999999996,3.0,3.0,0.0,3.0,7.0
rousseau2023_strong_monsoon_starts,11.199999999999996,3.0,3.0,0.0,3.0,7.0
rousseau2023_strong_monsoon_starts,11.399999999999995,3.0,3.0,0.0,3.0,7.0
rousseau2023_strong_monsoon_starts,11.599999999999994,3.0,3.0,0.0,3.0,7.0
rousseau2023_strong_monsoon_starts,11.799999999999994,3.0,3.0,0.0,3.0,7.0
rousseau2023_strong_monsoon_starts,11.999999999999993,3.0,3.0,0.0,3.0,7.0
rousseau2023_strong_monsoon_starts,12.199999999999992,3.0,3.0,0.0,3.0,7.0
rousseau2023_strong_monsoon_starts,12.399999999999991,3.0,3.0,0.0,3.0,7.0
rousseau2023_strong_monsoon_starts,12.59999999999999,3.0,3.0,0.0,3.0,7.0
rousseau2023_strong_monsoon_starts,12.79999999999999,3.0,3.0,0.0,3.0,7.0
rousseau2023_strong_monsoon_starts,12.99999999999999,3.0,3.0,0.0,3.0,7.0
rousseau2023_strong_monsoon_starts,13.199999999999989,3.0,3.0,0.0,3.0,7.0
rousseau2023_strong_monsoon_starts,13.399999999999988,3.0,3.0,0.0,3.0,7.0
rousseau2023_strong_monsoon_starts,13.599999999999987,3.0,3.0,0.0,3.0,7.0
rousseau2023_strong_monsoon_starts,13.799999999999986,4.0,3.0,0.0,3.0,7.0
rousseau2023_strong_monsoon_starts,13.999999999999986,4.0,3.0,0.0,3.0,7.0
rousseau2023_strong_monsoon_starts,14.199999999999985,4.0,3.0,0.0,3.0,7.0
rousseau2023_strong_monsoon_starts,14.399999999999984,4.0,3.0,0.0,3.0,7.0
rousseau2023_strong_monsoon_starts,14.599999999999984,4.0,3.0,0.0,3.0,7.0
rousseau2023_strong_monsoon_starts,14.799999999999983,4.0,3.0,0.0,3.0,7.0
rousseau2023_strong_monsoon_starts,14.999999999999982,4.0,3.0,0.0,3.0,7.0
rousseau2023_strong_monsoon_starts,15.199999999999982,4.0,3.0,0.0,3.0,7.0
rousseau2023_strong_monsoon_starts,15.39999999999998,4.0,3.0,0.0,3.0,7.0
rousseau2023_strong_monsoon_starts,15.59999999999998,4.0,3.0,0.0,3.0,7.0
rousseau2023_strong_monsoon_starts,15.79999999999998,4.0,3.0,0.0,3.0,7.0
rousseau2023_strong_monsoon_starts,15.999999999999979,4.0,3.0,0.0,3.0,7.0
rousseau2023_strong_monsoon_starts,16.199999999999978,4.0,3.0,0.0,3.0,7.0
rousseau2023_strong_monsoon_starts,16.399999999999977,4.0,3.0,0.0,3.0,7.0
rousseau2023_strong_monsoon_starts,16.599999999999977,4.0,3.0,0.0,3.0,7.0
rousseau2023_strong_monsoon_starts,16.799999999999976,4.0,3.0,0.0,3.0,7.0
rousseau2023_strong_monsoon_starts,16.999999999999975,4.0,3.0,0.0,3.0,7.0
rousseau2023_strong_monsoon_starts,17.199999999999974,4.0,3.0,0.0,3.0,7.0
rousseau2023_strong_monsoon_starts,17.399999999999974,4.0,3.0,0.0,3.0,7.0
rousseau2023_strong_monsoon_starts,17.599999999999973,4.0,3.0,0.0,3.0,7.0
rousseau2023_strong_monsoon_starts,17.799999999999972,4.0,3.0,0.0,3.0,7.0
rousseau2023_strong_monsoon_starts,17.99999999999997,5.0,3.0,0.0,3.0,7.0
rousseau2023_strong_monsoon_starts,18.19999999999997,5.0,3.0,0.0,3.0,7.0
rousseau2023_strong_monsoon_starts,18.39999999999997,5.0,3.0,0.0,3.0,7.0
rousseau2023_strong_monsoon_starts,18.59999999999997,5.0,3.0,0.0,3.0,7.0
rousseau2023_strong_monsoon_starts,18.79999999999997,5.0,3.0,0.0,3.0,7.0
rousseau2023_strong_monsoon_starts,18.999999999999968,5.0,3.0,0.0,3.0,7.0
rousseau2023_strong_monsoon_starts,19.199999999999967,5.0,3.0,0.0,3.0,7.0
rousseau2023_strong_monsoon_starts,19.399999999999967,5.0,3.0,0.0,3.0,7.0
rousseau2023_strong_monsoon_starts,19.599999999999966,6.0,3.0,0.0,3.0,7.0
rousseau2023_strong_monsoon_starts,19.799999999999965,6.0,3.0,0.0,3.0,7.0
rousseau2023_strong_monsoon_starts,19.999999999999964,6.0,3.0,0.0,3.0,7.0
rousseau2023_strong_monsoon_starts,20.199999999999964,6.0,3.0,0.0,3.0,7.0
rousseau2023_strong_monsoon_starts,20.399999999999963,6.0,3.0,0.0,3.0,7.0
rousseau2023_strong_monsoon_starts,20.599999999999962,6.0,3.0,0.0,3.0,7.0
rousseau2023_strong_monsoon_starts,20.79999999999996,6.0,3.0,0.0,3.0,7.0
rousseau2023_strong_monsoon_starts,20.99999999999996,5.0,3.0,0.0,3.0,7.0
rousseau2023_strong_monsoon_starts,21.19999999999996,5.0,3.0,0.0,3.0,7.0
rousseau2023_strong_monsoon_starts,21.39999999999996,5.0,3.0,0.0,3.0,7.0
rousseau2023_strong_monsoon_starts,21.59999999999996,4.0,3.0,0.0,3.0,7.0
rousseau2023_strong_monsoon_starts,21.799999999999958,4.0,3.0,0.0,3.0,7.0
rousseau2023_strong_monsoon_starts,21.999999999999957,4.0,3.0,0.0,3.0,7.0
rousseau2023_strong_monsoon_starts,22.199999999999957,4.0,3.0,0.0,3.0,7.0
rousseau2023_strong_monsoon_starts,22.399999999999956,4.0,3.0,0.0,3.0,7.0
rousseau2023_strong_monsoon_starts,22.599999999999955,4.0,3.0,0.0,3.0,7.0
rousseau2023_strong_monsoon_starts,22.799999999999955,5.0,3.0,0.0,3.0,7.0
rousseau2023_strong_monsoon_starts,22.999999999999954,5.0,3.0,0.0,3.0,7.0
rousseau2023_strong_monsoon_starts,23.199999999999953,5.0,3.0,0.0,3.0,7.0
rousseau2023_strong_monsoon_starts,23.399999999999952,5.0,3.0,0.0,3.0,7.0
rousseau2023_strong_monsoon_starts,23.59999999999995,5.0,3.0,0.0,3.0,7.0
rousseau2023_strong_monsoon_starts,23.79999999999995,5.0,3.0,0.0,3.0,7.0
rousseau2023_strong_monsoon_starts,23.99999999999995,6.0,3.0,0.0,3.0,7.0
rousseau2023_strong_monsoon_starts,24.19999999999995,6.0,3.0,0.0,3.0,7.0
rousseau2023_strong_monsoon_starts,24.39999999999995,6.0,3.0,0.0,3.0,7.0
rousseau2023_strong_monsoon_starts,24.599999999999948,6.0,3.0,0.0,3.0,7.0
rousseau2023_strong_monsoon_starts,24.799999999999947,5.0,3.0,0.0,3.0,7.0
rousseau2023_strong_monsoon_starts,24.999999999999947,5.0,3.0,0.0,3.0,7.0
rousseau2023_strong_monsoon_starts,25.199999999999946,5.0,3.0,0.0,3.0,7.0
rousseau2023_strong_monsoon_starts,25.399999999999945,5.0,3.0,0.0,3.0,7.0
rousseau2023_strong_monsoon_starts,25.599999999999945,6.0,3.0,0.0,3.0,7.0
rousseau2023_strong_monsoon_starts,25.799999999999944,6.0,3.0,0.0,3.0,7.0
rousseau2023_strong_monsoon_starts,25.999999999999943,6.0,3.0,0.0,3.0,7.0
rousseau2023_strong_monsoon_starts,26.199999999999942,6.0,3.0,0.0,3.0,7.0
rousseau2023_strong_monsoon_starts,26.39999999999994,6.0,3.0,0.0,3.0,7.0
rousseau2023_strong_monsoon_starts,26.59999999999994,6.0,3.0,0.0,3.0,7.0
rousseau2023_strong_monsoon_starts,26.79999999999994,6.0,3.0,0.0,3.0,7.0
rousseau2023_strong_monsoon_starts,26.99999999999994,6.0,3.0,0.0,3.0,7.0
rousseau2023_strong_monsoon_starts,27.19999999999994,6.0,3.0,0.0,3.0,7.0
rousseau2023_strong_monsoon_starts,27.399999999999938,6.0,3.0,0.0,3.0,7.0
rousseau2023_strong_monsoon_starts,27.599999999999937,6.0,3.0,0.0,3.0,7.0
rousseau2023_strong_monsoon_starts,27.799999999999937,6.0,3.0,0.0,3.0,7.0
rousseau2023_strong_monsoon_starts,27.999999999999936,6.0,3.0,0.0,3.0,7.0
rousseau2023_strong_monsoon_starts,28.199999999999935,6.0,3.0,0.0,3.0,7.0
rousseau2023_strong_monsoon_starts,28.399999999999935,7.0,3.0,0.0,3.0,7.0
rousseau2023_strong_monsoon_starts,28.599999999999934,7.0,3.0,0.0,3.0,7.0
rousseau2023_strong_monsoon_starts,28.799999999999933,7.0,3.0,0.0,3.0,7.0
rousseau2023_strong_monsoon_starts,28.999999999999932,7.0,3.0,0.0,3.0,7.0
rousseau2023_strong_monsoon_starts,29.199999999999932,7.0,3.0,0.0,3.0,7.0
rousseau2023_strong_monsoon_starts,29.39999999999993,7.0,3.0,0.0,3.0,7.0
rousseau2023_strong_monsoon_starts,29.59999999999993,7.0,3.0,0.0,3.0,7.0
rousseau2023_strong_monsoon_starts,29.79999999999993,7.0,3.0,0.0,3.0,7.0
rousseau2023_strong_monsoon_starts,29.99999999999993,7.0,3.0,0.0,3.0,7.0
rousseau2023_strong_monsoon_starts,30.19999999999993,7.0,3.0,0.0,3.0,7.0
rousseau2023_strong_monsoon_starts,30.399999999999928,7.0,3.0,0.0,3.0,7.0
rousseau2023_strong_monsoon_starts,30.599999999999927,7.0,3.0,0.0,3.0,7.0
rousseau2023_strong_monsoon_starts,30.799999999999926,7.0,3.0,0.0,3.0,7.0
rousseau2023_strong_monsoon_starts,30.999999999999925,7.0,3.0,0.0,3.0,7.0
rousseau2023_strong_monsoon_starts,31.199999999999925,7.0,3.0,0.0,3.0,7.0
rousseau2023_strong_monsoon_starts,31.399999999999924,7.0,3.0,0.0,3.0,7.0
rousseau2023_strong_monsoon_starts,31.599999999999923,8.0,3.0,0.0,3.0,7.0
rousseau2023_strong_monsoon_starts,31.799999999999923,8.0,3.0,0.0,3.0,7.0
rousseau2023_strong_monsoon_starts,31.999999999999922,8.0,3.0,0.0,3.0,7.0
rousseau2023_strong_monsoon_starts,32.19999999999992,8.0,3.0,0.0,3.0,7.0
rousseau2023_strong_monsoon_starts,32.39999999999992,8.0,3.0,0.0,3.0,7.0
rousseau2023_strong_monsoon_starts,32.59999999999992,8.0,3.0,0.0,3.0,7.0
rousseau2023_strong_monsoon_starts,32.79999999999992,8.0,3.0,0.0,3.0,7.0
rousseau2023_strong_monsoon_starts,32.999999999999915,8.0,3.0,0.0,3.0,7.0
rousseau2023_strong_monsoon_starts,33.19999999999992,8.0,3.0,0.0,3.0,7.0
rousseau2023_strong_monsoon_starts,33.39999999999992,8.0,3.0,0.0,3.0,7.0
rousseau2023_strong_monsoon_starts,33.599999999999916,8.0,3.0,0.0,3.0,7.0
rousseau2023_strong_monsoon_starts,33.79999999999991,8.0,3.0,0.0,3.0,7.0
rousseau2023_strong_monsoon_starts,33.999999999999915,8.0,3.0,0.0,3.0,7.0
rousseau2023_strong_monsoon_starts,34.19999999999992,8.0,3.0,0.0,3.0,7.0
rousseau2023_strong_monsoon_starts,34.39999999999991,8.0,3.0,0.0,3.0,7.0
rousseau2023_strong_monsoon_starts,34.59999999999991,8.0,3.0,0.0,3.0,7.0
rousseau2023_strong_monsoon_starts,34.79999999999991,8.0,3.0,0.0,3.0,7.0
rousseau2023_strong_monsoon_starts,34.999999999999915,8.0,3.0,0.0,3.0,7.0
rousseau2023_strong_monsoon_starts,35.19999999999991,8.0,3.0,0.0,3.0,7.0
rousseau2023_strong_monsoon_starts,35.399999999999906,8.0,3.0,0.0,3.0,7.0
rousseau2023_strong_monsoon_starts,35.59999999999991,8.0,3.0,0.0,3.0,7.0
rousseau2023_strong_monsoon_starts,35.79999999999991,8.0,3.0,0.0,3.0,7.0
rousseau2023_strong_monsoon_starts,35.99999999999991,8.0,3.0,0.0,3.0,7.0
rousseau2023_strong_monsoon_starts,36.1999999999999,8.0,3.0,0.0,3.0,7.0
rousseau2023_strong_monsoon_starts,36.399999999999906,8.0,3.0,0.0,3.0,7.0
rousseau2023_strong_monsoon_starts,36.59999999999991,8.0,3.0,0.0,3.0,7.0
rousseau2023_strong_monsoon_starts,36.799999999999905,8.0,3.0,0.0,3.0,7.0
rousseau2023_strong_monsoon_starts,36.9999999999999,8.0,3.0,0.0,3.0,7.0
rousseau2023_strong_monsoon_starts,37.1999999999999,8.0,3.0,0.0,3.0,7.0
rousseau2023_strong_monsoon_starts,37.399999999999906,9.0,3.0,0.0,3.0,7.0
rousseau2023_strong_monsoon_starts,37.5999999999999,9.0,3.0,0.0,3.0,7.0
rousseau2023_strong_monsoon_starts,37.7999999999999,9.0,3.0,0.0,3.0,7.0
rousseau2023_strong_monsoon_starts,37.9999999999999,8.0,3.0,0.0,3.0,7.0
rousseau2023_strong_monsoon_starts,38.1999999999999,8.0,3.0,0.0,3.0,7.0
rousseau2023_strong_monsoon_starts,38.3999999999999,8.0,3.0,0.0,3.0,7.0
rousseau2023_strong_monsoon_starts,38.599999999999895,8.0,3.0,0.0,3.0,7.0
rousseau2023_strong_monsoon_starts,38.7999999999999,8.0,3.0,0.0,3.0,7.0
rousseau2023_strong_monsoon_starts,38.9999999999999,8.0,3.0,0.0,3.0,7.0
rousseau2023_strong_monsoon_starts,39.199999999999896,8.0,3.0,0.0,3.0,7.0
rousseau2023_strong_monsoon_starts,39.39999999999989,8.0,3.0,0.0,3.0,7.0
rousseau2023_strong_monsoon_starts,39.599999999999895,7.0,3.0,0.0,3.0,7.0
rousseau2023_strong_monsoon_starts,39.7999999999999,8.0,3.0,0.0,3.0,7.0
rousseau2023_strong_monsoon_starts,39.99999999999989,8.0,3.0,0.0,3.0,7.0
rousseau2023_strong_monsoon_starts,40.19999999999989,8.0,3.0,0.0,3.0,7.0
rousseau2023_strong_monsoon_starts,40.39999999999989,8.0,3.0,0.0,3.0,7.0
rousseau2023_strong_monsoon_starts,40.599999999999895,8.0,3.0,0.0,3.0,7.0
rousseau2023_strong_monsoon_starts,40.79999999999989,8.0,3.0,0.0,3.0,7.0
rousseau2023_strong_monsoon_starts,40.999999999999886,8.0,3.0,0.0,3.0,7.0
rousseau2023_strong_monsoon_starts,41.19999999999989,8.0,3.0,0.0,3.0,7.0
rousseau2023_strong_monsoon_starts,41.39999999999989,8.0,3.0,0.0,3.0,7.0
rousseau2023_strong_monsoon_starts,41.59999999999989,8.0,3.0,0.0,3.0,7.0
rousseau2023_strong_monsoon_starts,41.79999999999988,8.0,3.0,0.0,3.0,7.0
rousseau2023_strong_monsoon_starts,41.999999999999886,8.0,3.0,0.0,3.0,7.0
rousseau2023_strong_monsoon_starts,42.19999999999989,8.0,3.0,0.0,3.0,7.0
rousseau2023_strong_monsoon_starts,42.399999999999885,8.0,3.0,0.0,3.0,7.0
rousseau2023_strong_monsoon_starts,42.59999999999988,8.0,3.0,0.0,3.0,7.0
rousseau2023_strong_monsoon_starts,42.79999999999988,7.0,3.0,0.0,3.0,7.0
rousseau2023_strong_monsoon_starts,42.999999999999886,7.0,3.0,0.0,3.0,7.0
rousseau2023_strong_monsoon_starts,43.19999999999988,7.0,3.0,0.0,3.0,7.0
rousseau2023_strong_monsoon_starts,43.39999999999988,7.0,3.0,0.0,3.0,7.0
rousseau2023_strong_monsoon_starts,43.59999999999988,7.0,3.0,0.0,3.0,7.0
rousseau2023_strong_monsoon_starts,43.79999999999988,7.0,3.0,0.0,3.0,7.0
rousseau2023_strong_monsoon_starts,43.99999999999988,7.0,3.0,0.0,3.0,7.0
rousseau2023_strong_monsoon_starts,44.199999999999875,7.0,3.0,0.0,3.0,7.0
rousseau2023_strong_monsoon_starts,44.39999999999988,8.0,3.0,0.0,3.0,7.0
rousseau2023_strong_monsoon_starts,44.59999999999988,8.0,3.0,0.0,3.0,7.0
rousseau2023_strong_monsoon_starts,44.799999999999876,8.0,3.0,0.0,3.0,7.0
rousseau2023_strong_monsoon_starts,44.99999999999987,8.0,3.0,0.0,3.0,7.0
rousseau2023_strong_monsoon_starts,45.199999999999875,8.0,3.0,0.0,3.0,7.0
rousseau2023_strong_monsoon_starts,45.39999999999988,8.0,3.0,0.0,3.0,7.0
rousseau2023_strong_monsoon_starts,45.59999999999987,7.0,3.0,0.0,3.0,7.0
rousseau2023_strong_monsoon_starts,45.79999999999987,8.0,3.0,0.0,3.0,7.0
rousseau2023_strong_monsoon_starts,45.99999999999987,8.0,3.0,0.0,3.0,7.0
rousseau2023_strong_monsoon_starts,46.199999999999875,8.0,3.0,0.0,3.0,7.0
rousseau2023_strong_monsoon_starts,46.39999999999987,8.0,3.0,0.0,3.0,7.0
rousseau2023_strong_monsoon_starts,46.599999999999866,8.0,3.0,0.0,3.0,7.0
rousseau2023_strong_monsoon_starts,46.79999999999987,8.0,3.0,0.0,3.0,7.0
rousseau2023_strong_monsoon_starts,46.99999999999987,8.0,3.0,0.0,3.0,7.0
rousseau2023_strong_monsoon_starts,47.19999999999987,8.0,3.0,0.0,3.0,7.0
rousseau2023_strong_monsoon_starts,47.399999999999864,8.0,3.0,0.0,3.0,7.0
rousseau2023_strong_monsoon_starts,47.599999999999866,8.0,3.0,0.0,3.0,7.0
rousseau2023_strong_monsoon_starts,47.79999999999987,8.0,3.0,0.0,3.0,7.0
rousseau2023_strong_monsoon_starts,47.999999999999865,8.0,3.0,0.0,3.0,7.0
rousseau2023_strong_monsoon_starts,48.19999999999986,8.0,3.0,0.0,3.0,7.0
rousseau2023_strong_monsoon_starts,48.399999999999864,8.0,3.0,0.0,3.0,7.0
rousseau2023_strong_monsoon_starts,48.599999999999866,8.0,3.0,0.0,3.0,7.0
rousseau2023_strong_monsoon_starts,48.79999999999986,8.0,3.0,0.0,3.0,7.0
rousseau2023_strong_monsoon_starts,48.99999999999986,8.0,3.0,0.0,3.0,7.0
rousseau2023_strong_monsoon_starts,49.19999999999986,8.0,3.0,0.0,3.0,7.0
rousseau2023_strong_monsoon_starts,49.399999999999864,8.0,3.0,0.0,3.0,7.0
rousseau2023_strong_monsoon_starts,49.59999999999986,8.0,3.0,0.0,3.0,7.0
rousseau2023_strong_monsoon_starts,49.799999999999855,9.0,3.0,0.0,3.0,7.0
rousseau2023_strong_monsoon_starts,49.99999999999986,9.0,3.0,0.0,3.0,7.0
rousseau2023_strong_monsoon_starts,50.19999999999986,9.0,3.0,0.0,3.0,7.0
rousseau2023_strong_monsoon_starts,50.39999999999986,9.0,3.0,0.0,3.0,7.0
rousseau2023_strong_monsoon_starts,50.59999999999985,9.0,3.0,0.0,3.0,7.0
rousseau2023_strong_monsoon_starts,50.799999999999855,9.0,3.0,0.0,3.0,7.0
rousseau2023_strong_monsoon_starts,50.99999999999986,9.0,3.0,0.0,3.0,7.0
rousseau2023_strong_monsoon_starts,51.199999999999854,9.0,3.0,0.0,3.0,7.0
rousseau2023_strong_monsoon_starts,51.39999999999985,9.0,3.0,0.0,3.0,7.0
rousseau2023_strong_monsoon_starts,51.59999999999985,8.0,3.0,0.0,3.0,7.0
rousseau2023_strong_monsoon_starts,51.799999999999855,8.0,3.0,0.0,3.0,7.0
rousseau2023_strong_monsoon_starts,51.99999999999985,8.0,3.0,0.0,3.0,7.0
rousseau2023_strong_monsoon_starts,52.19999999999985,8.0,3.0,0.0,3.0,7.0
rousseau2023_strong_monsoon_starts,52.39999999999985,8.0,3.0,0.0,3.0,7.0
rousseau2023_strong_monsoon_starts,52.59999999999985,8.0,3.0,0.0,3.0,7.0
rousseau2023_strong_monsoon_starts,52.79999999999985,8.0,3.0,0.0,3.0,7.0
rousseau2023_strong_monsoon_starts,52.999999999999844,8.0,3.0,0.0,3.0,7.0
rousseau2023_strong_monsoon_starts,53.19999999999985,8.0,3.0,0.0,3.0,7.0
rousseau2023_strong_monsoon_starts,53.39999999999985,8.0,3.0,0.0,3.0,7.0
rousseau2023_strong_monsoon_starts,53.599999999999845,8.0,3.0,0.0,3.0,7.0
rousseau2023_strong_monsoon_starts,53.79999999999984,7.0,3.0,0.0,3.0,7.0
rousseau2023_strong_monsoon_starts,53.999999999999844,7.0,3.0,0.0,3.0,7.0
rousseau2023_strong_monsoon_starts,54.19999999999985,7.0,3.0,0.0,3.0,7.0
rousseau2023_strong_monsoon_starts,54.39999999999984,7.0,3.0,0.0,3.0,7.0
rousseau2023_strong_monsoon_starts,54.59999999999984,7.0,3.0,0.0,3.0,7.0
rousseau2023_strong_monsoon_starts,54.79999999999984,7.0,3.0,0.0,3.0,7.0
rousseau2023_strong_monsoon_starts,54.999999999999844,7.0,3.0,0.0,3.0,7.0
rousseau2023_strong_monsoon_starts,55.19999999999984,7.0,3.0,0.0,3.0,7.0
rousseau2023_strong_monsoon_starts,55.399999999999835,7.0,3.0,0.0,3.0,7.0
rousseau2023_strong_monsoon_starts,55.59999999999984,8.0,3.0,0.0,3.0,7.0
rousseau2023_strong_monsoon_starts,55.79999999999984,8.0,3.0,0.0,3.0,7.0
rousseau2023_strong_monsoon_starts,55.99999999999984,8.0,3.0,0.0,3.0,7.0
rousseau2023_strong_monsoon_starts,56.19999999999983,8.0,3.0,0.0,3.0,7.0
rousseau2023_strong_monsoon_starts,56.399999999999835,8.0,3.0,0.0,3.0,7.0
rousseau2023_strong_monsoon_starts,56.59999999999984,8.0,3.0,0.0,3.0,7.0
rousseau2023_strong_monsoon_starts,56.799999999999834,8.0,3.0,0.0,3.0,7.0
rousseau2023_strong_monsoon_starts,56.99999999999983,8.0,3.0,0.0,3.0,7.0
rousseau2023_strong_monsoon_starts,57.19999999999983,8.0,3.0,0.0,3.0,7.0
rousseau2023_strong_monsoon_starts,57.399999999999835,7.0,3.0,0.0,3.0,7.0
rousseau2023_strong_monsoon_starts,57.59999999999983,7.0,3.0,0.0,3.0,7.0
rousseau2023_strong_monsoon_starts,57.79999999999983,7.0,3.0,0.0,3.0,7.0
rousseau2023_strong_monsoon_starts,57.99999999999983,7.0,3.0,0.0,3.0,7.0
rousseau2023_strong_monsoon_starts,58.19999999999983,7.0,3.0,0.0,3.0,7.0
rousseau2023_strong_monsoon_starts,58.39999999999983,7.0,3.0,0.0,3.0,7.0
rousseau2023_strong_monsoon_starts,58.599999999999824,7.0,3.0,0.0,3.0,7.0
rousseau2023_strong_monsoon_starts,58.79999999999983,7.0,3.0,0.0,3.0,7.0
rousseau2023_strong_monsoon_starts,58.99999999999983,7.0,3.0,0.0,3.0,7.0
rousseau2023_strong_monsoon_starts,59.199999999999825,8.0,3.0,0.0,3.0,7.0
rousseau2023_strong_monsoon_starts,59.39999999999982,8.0,3.0,0.0,3.0,7.0
rousseau2023_strong_monsoon_starts,59.599999999999824,8.0,3.0,0.0,3.0,7.0
rousseau2023_strong_monsoon_starts,59.79999999999983,7.0,3.0,0.0,3.0,7.0
rousseau2023_strong_monsoon_starts,59.99999999999982,7.0,3.0,0.0,3.0,7.0
rousseau2023_strong_monsoon_starts,60.19999999999982,7.0,3.0,0.0,3.0,7.0
rousseau2023_strong_monsoon_starts,60.39999999999982,7.0,3.0,0.0,3.0,7.0
rousseau2023_strong_monsoon_starts,60.599999999999824,7.0,3.0,0.0,3.0,7.0
rousseau2023_strong_monsoon_starts,60.79999999999982,7.0,3.0,0.0,3.0,7.0
rousseau2023_strong_monsoon_starts,60.999999999999815,7.0,3.0,0.0,3.0,7.0
rousseau2023_strong_monsoon_starts,61.19999999999982,7.0,3.0,0.0,3.0,7.0
rousseau2023_strong_monsoon_starts,61.39999999999982,7.0,3.0,0.0,3.0,7.0
rousseau2023_strong_monsoon_starts,61.59999999999982,7.0,3.0,0.0,3.0,7.0
rousseau2023_strong_monsoon_starts,61.79999999999981,7.0,3.0,0.0,3.0,7.0
rousseau2023_strong_monsoon_starts,61.999999999999815,7.0,3.0,0.0,3.0,7.0
rousseau2023_strong_monsoon_starts,62.19999999999982,7.0,3.0,0.0,3.0,7.0
rousseau2023_strong_monsoon_starts,62.399999999999814,8.0,3.0,0.0,3.0,7.0
rousseau2023_strong_monsoon_starts,62.59999999999981,8.0,3.0,0.0,3.0,7.0
rousseau2023_strong_monsoon_starts,62.79999999999981,8.0,3.0,0.0,3.0,7.0
rousseau2023_strong_monsoon_starts,62.999999999999815,8.0,3.0,0.0,3.0,7.0
rousseau2023_strong_monsoon_starts,63.19999999999981,8.0,3.0,0.0,3.0,7.0
rousseau2023_strong_monsoon_starts,63.39999999999981,8.0,3.0,0.0,3.0,7.0
rousseau2023_strong_monsoon_starts,63.59999999999981,8.0,3.0,0.0,3.0,7.0
rousseau2023_strong_monsoon_starts,63.79999999999981,8.0,3.0,0.0,3.0,7.0
rousseau2023_strong_monsoon_starts,63.99999999999981,7.0,3.0,0.0,3.0,7.0
rousseau2023_strong_monsoon_starts,64.1999999999998,7.0,3.0,0.0,3.0,7.0
rousseau2023_strong_monsoon_starts,64.3999999999998,6.0,3.0,0.0,3.0,7.0
rousseau2023_strong_monsoon_starts,64.59999999999981,6.0,3.0,0.0,3.0,7.0
