event_label,age_ka_b2k,age_ab2k_yr,source_event_label,ngrip_depth_m
GI-1,14.692,14692,GI-1e,1604.64
GI-2.1,23.02,23020,GI-2.1,1786.28
GI-2.2,23.34,23340,GI-2.2,1793.19
GI-3,27.78,27780,GI-3,1869.12
GI-4,28.9,28900,GI-4,1891.57
GI-5.1,30.84,30840,GI-5.1,1920.56
GI-5.2,32.5,32500,GI-5.2,1951.65
GI-6,33.74,33740,GI-6,1974.55
GI-7,35.48,35480,GI-7c,2009.44
GI-8,38.22,38220,GI-8c,2070.02
GI-9,40.16,40160,GI-9,2099.61
GI-10,41.46,41460,GI-10,2124.03
GI-11,43.34,43340,GI-11,2157.49
GI-12,46.86,46860,GI-12c,2222.3
GI-13,49.28,49280,GI-13c,2256.89
GI-14,54.22,54220,GI-14e,2345.52
GI-15.1,55,55000,GI-15.1,2355.34
GI-15.2,55.8,55800,GI-15.2,2366.32
GI-16.1,58.04,58040,GI-16.1c,2398.78
GI-16.2,58.28,58280,GI-16.2,2402.55
GI-17.1,59.08,59080,GI-17.1c,2415.01
GI-17.2,59.44,59440,GI-17.2,2420.44
GI-18,64.1,64100,GI-18,2465.85
GI-19.1,69.62,69620,GI-19.1,2507.59
GI-19.2,72.34,72340,GI-19.2,2535.96
GI-20,76.44,76440,GI-20c,2579.13
GI-21.1,84.76,84760,GI-21.1e,2687.29
GI-21.2,85.06,85060,GI-21.2,2691.13
GI-22,90.04,90040,GI-22g,2746.53
GI-23.1,104.04,104040,GI-23.1,2891.53
GI-23.2,104.52,104520,GI-23.2,2896.61
GI-24.1,106.75,106750,GI-24.1c,2920.6
GI-24.2,108.28,108280,GI-24.2,2938.19
GI-25,115.37,115370,GI-25c,3003.17
