order,start_time_ka_BP,original_value_in_table,transition_type,ks_window_kyr,relation_to_other_ks_window,paired_other_window_age_ka,difference_0p4_minus_0p6_ka,source_table,source_pdf_page,source_row_index_in_table
1,11.129,11.129,strong_monsoon_start,0.6-4,date_shifted_relative_to_other_window,10.824,-0.305,Rousseau et al. 2023 Scientific Reports Table 1,5,2
2,14.617,14.617,strong_monsoon_start,0.6-4,common_same_date,14.617,0,Rousseau et al. 2023 Scientific Reports Table 1,5,5
3,23.685,23.685,strong_monsoon_start,0.6-4,common_same_date,23.685,0,Rousseau et al. 2023 Scientific Reports Table 1,5,7
4,29.43,29.430,strong_monsoon_start,0.6-4,common_same_date,29.43,0,Rousseau et al. 2023 Scientific Reports Table 1,5,13
5,32.675,32.675,strong_monsoon_start,0.6-4,common_same_date,32.675,0,Rousseau et al. 2023 Scientific Reports Table 1,5,16
6,34.065,34.065,strong_monsoon_start,0.6-4,date_shifted_relative_to_other_window,33.995,-0.07,Rousseau et al. 2023 Scientific Reports Table 1,5,18
7,35.6,35.600,strong_monsoon_start,0.6-4,date_shifted_relative_to_other_window,35.535,-0.065,Rousseau et al. 2023 Scientific Reports Table 1,5,20
8,38.305,38.305,strong_monsoon_start,0.6-4,common_same_date,38.305,0,Rousseau et al. 2023 Scientific Reports Table 1,5,22
9,41.635,41.635,strong_monsoon_start,0.6-4,date_shifted_relative_to_other_window,41.595,-0.04,Rousseau et al. 2023 Scientific Reports Table 1,5,24
10,43.615,43.615,strong_monsoon_start,0.6-4,common_same_date,43.615,0,Rousseau et al. 2023 Scientific Reports Table 1,5,26
11,47.25,47.250,strong_monsoon_start,0.6-4,common_same_date,47.25,0,Rousseau et al. 2023 Scientific Reports Table 1,5,29
12,53.745,53.745,strong_monsoon_start,0.6-4,date_shifted_relative_to_other_window,53.8,0.055,Rousseau et al. 2023 Scientific Reports Table 1,5,33
13,58.21,58.210,strong_monsoon_start,0.6-4,common_same_date,58.21,0,Rousseau et al. 2023 Scientific Reports Table 1,5,38
14,59.785,59.785,strong_monsoon_start,0.6-4,common_same_date,59.785,0,Rousseau et al. 2023 Scientific Reports Table 1,5,39
15,65.48,65.480,strong_monsoon_start,0.6-4,common_same_date,65.48,0,Rousseau et al. 2023 Scientific Reports Table 1,5,40
16,72.285,72.285,strong_monsoon_start,0.6-4,common_same_date,72.285,0,Rousseau et al. 2023 Scientific Reports Table 1,5,45
17,75.28,75.280,strong_monsoon_start,0.6-4,common_same_date,75.28,0,Rousseau et al. 2023 Scientific Reports Table 1,5,47
18,76.245,76.245,strong_monsoon_start,0.6-4,common_same_date,76.245,0,Rousseau et al. 2023 Scientific Reports Table 1,5,48
19,84.03,84.030,strong_monsoon_start,0.6-4,date_shifted_relative_to_other_window,84.13,0.1,Rousseau et al. 2023 Scientific Reports Table 1,5,51
20,89.79,89.790,strong_monsoon_start,0.6-4,common_same_date,89.79,0,Rousseau et al. 2023 Scientific Reports Table 1,5,54
21,105.15,105.150,strong_monsoon_start,0.6-4,common_same_date,105.15,0,Rousseau et al. 2023 Scientific Reports Table 1,6,57
22,108.55,108.550,strong_monsoon_start,0.6-4,common_same_date,108.55,0,Rousseau et al. 2023 Scientific Reports Table 1,6,60
