order,start_time_ka_BP,original_value_in_SOM,CI_label,source_table,source_row_index_after_header
1,10.824,"10,824",,Extended Data Table S1,2
2,11.514,"11,514",,Extended Data Table S1,3
3,14.617,"14,617",A1,Extended Data Table S1,5
4,23.685,"23,685",A2,Extended Data Table S1,7
5,27.955,"27,955",A3,Extended Data Table S1,11
6,29.43,"29,430",A4,Extended Data Table S1,13
7,32.675,"32,675",A5,Extended Data Table S1,16
8,33.995,"33,995",A6,Extended Data Table S1,18
9,35.535,"35,535",A7,Extended Data Table S1,20
10,38.305,"38,305",A8,Extended Data Table S1,22
11,41.595,"41,595",A10,Extended Data Table S1,24
12,43.615,"43,615",A11,Extended Data Table S1,26
13,47.25,"47,250",A12,Extended Data Table S1,29
14,49.65,"49,650",A13,Extended Data Table S1,32
15,53.8,"53,800",A14,Extended Data Table S1,33
16,54.37,"54,370",,Extended Data Table S1,34
17,55.745,"55,745",A15,Extended Data Table S1,36
18,58.21,"58,210",A16,Extended Data Table S1,38
19,59.785,"59,785",A17,Extended Data Table S1,39
20,65.48,"65,480",A18,Extended Data Table S1,40
21,69.18,"69,180",,Extended Data Table S1,42
22,72.285,"72,285",A19,Extended Data Table S1,45
23,75.28,"75,280",,Extended Data Table S1,47
24,76.245,"76,245",A20,Extended Data Table S1,48
25,84.13,"84,130",,Extended Data Table S1,51
26,85,"85,000",A21,Extended Data Table S1,52
27,89.79,"89,790",A22,Extended Data Table S1,54
28,105.15,"105,150",A23,Extended Data Table S1,57
29,108.55,"108,550",A24,Extended Data Table S1,60
30,128.55,"128,550",,Extended Data Table S1,65
31,130.45,"130,450",?,Extended Data Table S1,66
32,147.65,"147,650",B7,Extended Data Table S1,67
33,149.05,"149,050",B8,Extended Data Table S1,68
34,151.75,"151,750",B10,Extended Data Table S1,70
35,157.05,"157,050",B11,Extended Data Table S1,71
36,158.15,"158,150",,Extended Data Table S1,72
37,160.5,"160,500",B12,Extended Data Table S1,74
38,163.8,"163,800",B13,Extended Data Table S1,76
39,168.75,"168,750",,Extended Data Table S1,79
40,169.55,"169,550",B15,Extended Data Table S1,80
41,173.15,"173,150",B16,Extended Data Table S1,83
42,176.25,"176,250",B17,Extended Data Table S1,86
43,177.95,"177,950",,Extended Data Table S1,87
44,182.55,"182,550",,Extended Data Table S1,90
45,190.65,"190,650",B19,Extended Data Table S1,93
46,192.75,"192,750",B20,Extended Data Table S1,95
47,198.95,"198,950",B21,Extended Data Table S1,97
48,219.05,"219,050",B23,Extended Data Table S1,102
49,225.2,"225,200",B24,Extended Data Table S1,104
50,230.75,"230,750",B25?,Extended Data Table S1,106
51,241.65,"241,650",B26?,Extended Data Table S1,110
52,248.25,"248,250",B28?,Extended Data Table S1,113
53,251.15,"251,150",,Extended Data Table S1,115
54,258.75,"258,750",,Extended Data Table S1,119
55,264,"264,000",,Extended Data Table S1,122
56,272.85,"272,850",,Extended Data Table S1,123
57,293.9,"293,900",,Extended Data Table S1,131
58,315.45,"315,450",,Extended Data Table S1,136
59,316.35,"316,350",,Extended Data Table S1,137
60,332.45,"332,450",,Extended Data Table S1,141
61,334.05,"334,050",,Extended Data Table S1,144
62,337.35,"337,350",,Extended Data Table S1,145
63,351.45,"351,450",,Extended Data Table S1,149
64,365.65,"365,650",,Extended Data Table S1,152
65,368.1,"368,100",,Extended Data Table S1,154
66,370.75,"370,750",,Extended Data Table S1,157
67,375.95,"375,950",,Extended Data Table S1,161
68,377.45,"377,450",,Extended Data Table S1,162
69,390.8,"390,800",,Extended Data Table S1,166
70,393.6,"393,600",,Extended Data Table S1,167
71,412.25,"412,250",,Extended Data Table S1,169
72,426.05,"426,050",,Extended Data Table S1,171
73,447.4,"447,400",,Extended Data Table S1,177
74,449.45,"449,450",,Extended Data Table S1,178
75,458.9,"458,900",,Extended Data Table S1,182
76,463.15,"463,150",,Extended Data Table S1,185
77,465.95,"465,950",,Extended Data Table S1,186
78,472.75,"472,750",,Extended Data Table S1,190
79,483.65,"483,650",,Extended Data Table S1,195
80,504.15,"504,150",,Extended Data Table S1,197
81,531.75,"531,750",,Extended Data Table S1,204
82,548.25,"548,250",,Extended Data Table S1,207
83,553.55,"553,550",,Extended Data Table S1,210
84,555.65,"555,650",,Extended Data Table S1,212
85,559.15,"559,150",,Extended Data Table S1,214
86,561.25,"561,250",,Extended Data Table S1,216
87,562.25,"562,250",,Extended Data Table S1,217
88,580.3,"580,300",,Extended Data Table S1,220
89,582.95,"582,950",,Extended Data Table S1,221
90,593.9,"593,900",,Extended Data Table S1,226
91,604,"604,000",,Extended Data Table S1,229
92,625.65,"625,650",,Extended Data Table S1,233
93,627.55,"627,550",,Extended Data Table S1,234
94,630.1,"630,100",,Extended Data Table S1,236
95,633.3,"633,300",,Extended Data Table S1,238
96,638.1,"638,100",,Extended Data Table S1,243
